username,qz_mean,final_score
Y1050274,0.904917912689,80.0
Y1050275,0.356573614603,20.0
Y1050276,0.904917912689,40.0
Y1050277,-0.191770683484,10.0
Y1050278,0.904917912689,54.0
Y1050279,0.904917912689,70.0
Y1050280,-0.191770683484,10.0
Y1050281,-0.191770683484,10.0
Y1050282,-0.191770683484,10.0
Y1050283,-0.191770683484,20.0
Y1050284,0.904917912689,30.0
Y1050285,-1.83680357774,0.0
Y1050286,0.904917912689,72.0
Y1050287,0.904917912689,50.0
Y1050288,-1.83680357774,0.0
Y1050289,0.904917912689,60.0
Y1050290,-1.83680357774,0.0
Y1050291,0.904917912689,40.0
Y1050292,0.904917912689,50.0
Y1050293,0.904917912689,80.0
Y1050294,0.904917912689,40.0
Y1050295,0.356573614603,30.0
Y1050296,0.356573614603,20.0
Y1050297,-1.83680357774,10.0
Y1050298,0.356573614603,10.0
Y1050299,-1.83680357774,10.0
Y1050300,0.904917912689,10.0
Y1050301,-1.83680357774,10.0
Y1050302,-1.83680357774,10.0
Y1050303,0.904917912689,20.0
Y1050304,-0.191770683484,10.0
Y1050305,0.904917912689,20.0
Y1050306,-1.83680357774,10.0
Y1050307,-1.83680357774,10.0
Y1050308,-1.83680357774,10.0
Y1050309,-1.83680357774,0.0
Y1050310,0.904917912689,10.0
Y1050311,-0.191770683484,20.0
Y1050312,-0.191770683484,10.0
Y1050313,0.356573614603,30.0
Y1050314,0.0824014655595,30.0
Y1050315,0.356573614603,20.0
Y1050316,-0.191770683484,10.0
Y1050317,0.904917912689,55.0
Y1050318,0.356573614603,40.0
Y1050319,0.904917912689,76.0
Y1050320,0.356573614603,10.0
Y1050321,0.356573614603,20.0
Y1050322,0.904917912689,99.0
Y1050323,0.904917912689,88.0
Y1050324,0.904917912689,30.0
Y1050325,-0.465942832527,20.0
Y1050326,-0.191770683484,20.0
Y1050327,-1.83680357774,0.0
Y1050328,0.0824014655595,71.0
Y1050329,-1.5626314287,20.0
Y1050330,0.904917912689,10.0
Y1050331,0.0824014655595,10.0
Y1050332,0.356573614603,40.0
Y1050333,0.904917912689,10.0
Y1050334,0.0824014655595,20.0
Y1050335,0.0824014655595,10.0
Y1050336,0.356573614603,50.0
Y1050337,0.0824014655595,10.0
Y1050338,-0.191770683484,10.0
Y1050339,0.904917912689,20.0
Y1050340,0.356573614603,10.0
Y1050341,-0.74011498157,20.0
Y1050342,0.356573614603,50.0
Y1050343,-1.83680357774,0.0
Y1050344,0.356573614603,40.0
Y1050345,-1.28845927966,10.0
Y1050346,0.356573614603,50.0
Y1050347,0.356573614603,20.0
Y1050348,0.904917912689,10.0
Y1050349,0.904917912689,65.0
Y1050350,0.904917912689,10.0
Y1050351,0.904917912689,70.0
Y1050352,0.904917912689,80.0
Y1050353,0.356573614603,50.0
Y1050354,0.630745763646,50.0
Y1050355,-0.191770683484,10.0
Y1050356,0.356573614603,30.0
Y1050357,0.356573614603,20.0
Y1050358,0.904917912689,50.0
Y1050359,-0.191770683484,20.0
Y1050360,0.904917912689,30.0
Y1050361,0.630745763646,30.0
Y1050362,0.630745763646,80.0
Y1050363,-1.83680357774,0.0
Y1050364,0.904917912689,72.0
Y1050365,0.904917912689,96.0
Y1050366,0.904917912689,10.0
Y1050367,0.904917912689,90.0
Y1050368,0.904917912689,20.0
Y1050369,0.904917912689,10.0
Y1050370,0.904917912689,20.0
Y1050371,0.904917912689,40.0
Y1050372,0.356573614603,50.0
Y1050373,0.904917912689,20.0
Y1050374,0.904917912689,30.0
Y1050375,0.904917912689,30.0
Y1050376,0.904917912689,90.0
Y1050377,0.904917912689,40.0
Y1050378,0.356573614603,93.0
Y1050379,0.904917912689,60.0
Y1050380,0.356573614603,80.0
Y1050381,0.904917912689,55.0
Y1050382,0.904917912689,20.0
Y1050383,-0.191770683484,10.0
Y1050384,0.904917912689,30.0
Y1050385,0.904917912689,40.0
Y1050386,0.904917912689,30.0
Y1050387,-1.83680357774,10.0
Y1050388,-0.191770683484,20.0
Y1050389,-1.83680357774,0.0
Y1050390,-0.74011498157,10.0
Y1050391,0.356573614603,10.0
Y1050392,-0.465942832527,20.0
Y1050393,-1.83680357774,0.0
Y1050394,0.630745763646,20.0
Y1050395,-1.83680357774,10.0
Y1050396,0.904917912689,20.0
Y1050397,0.356573614603,20.0
Y1050398,-1.83680357774,0.0
Y1050399,-1.83680357774,0.0
Y1050400,0.904917912689,20.0
Y1050401,-0.191770683484,10.0
Y1050402,-1.83680357774,0.0
Y1050403,0.356573614603,20.0
Y1050404,0.356573614603,10.0
Y1050405,-1.28845927966,10.0
Y1050406,-0.74011498157,10.0
Y1050407,-1.28845927966,10.0
Y1050408,0.356573614603,10.0
Y1050409,-0.191770683484,10.0
Y1050410,0.904917912689,20.0
Y1050411,0.356573614603,10.0
Y1050412,0.904917912689,30.0
Y1050413,0.356573614603,60.0
Y1050414,-0.191770683484,53.0
Y1050415,0.356573614603,30.0
Y1050416,0.356573614603,63.0
Y1050417,0.904917912689,62.0
Y1050418,-0.74011498157,20.0
Y1050419,-0.74011498157,10.0
Y1050420,0.904917912689,75.0
Y1050421,0.904917912689,60.0
Y1050422,0.904917912689,40.0
Y1050423,-0.74011498157,10.0
Y1050424,0.904917912689,30.0
Y1050425,-0.191770683484,10.0
Y1050426,0.356573614603,40.0
Y1050427,0.904917912689,96.0
Y1050428,0.904917912689,20.0
Y1050429,-1.28845927966,10.0
Y1050430,-1.83680357774,0.0
Y1050431,-1.83680357774,0.0
Y1050432,-1.83680357774,0.0
Y1050433,-1.83680357774,0.0
Y1050434,0.904917912689,20.0
Y1050435,0.630745763646,10.0
Y1050436,-0.74011498157,10.0
Y1050437,-1.83680357774,0.0
Y1050438,-1.83680357774,10.0
Y1050439,0.356573614603,10.0
Y1050440,-0.191770683484,10.0
Y1050441,-1.83680357774,0.0
Y1050442,-0.191770683484,10.0
Y1050443,-1.83680357774,0.0
Y1050444,0.356573614603,10.0
Y1050445,0.904917912689,20.0
Y1050446,-1.83680357774,0.0
Y1050447,0.0824014655595,10.0
Y1050448,0.904917912689,20.0
Y1050449,0.356573614603,20.0
Y1050450,0.356573614603,10.0
Y1050451,-1.83680357774,0.0
Y1050452,0.904917912689,40.0
Y1050453,0.356573614603,20.0
Y1050454,-1.83680357774,90.0
Y9999984,-0.74011498157,66.0
Y9999985,0.630745763646,59.0
