evaluation_num,score,num_of_same,num_of_positive,num_of_negative,posi_error,nega_error,max_posi_error,min_nega_error,mean_posi_error_rate,mean_nega_error_rate,max_posi_error_rate,min_naga_error_rate
1,0 to 10,0,21,0,0.985547246359,,1.15261316372,0.0,inf,0.0,inf,0.0
1,10 to 20,0,34,23,3.49284168321,-3.40048810183,6.1308739279,-9.42274663078,0.349284168321,-0.340048810183,0.61308739279,-0.942274663078
1,20 to 30,0,23,13,3.73999268376,-2.0006274954,10.3017978999,-4.9608992287,0.186999634188,-0.10003137477,0.515089894995,-0.248044961435
1,30 to 40,0,6,9,3.7614337373,-7.6045964445,8.4435461249,-12.9388358879,0.125381124577,-0.25348654815,0.281451537497,-0.431294529597
1,40 to 50,0,7,5,5.06140756664,-5.7212955252,16.9634901445,-9.5000549889,0.126535189166,-0.14303238813,0.424087253612,-0.237501374722
1,50 to 60,0,3,11,1.3689103284,-7.66030802191,2.0390262151,-18.1024643152,0.0261424331043,-0.148545966867,0.0370732039109,-0.362049286304
1,60 to 70,0,3,5,6.77224211713,-3.17767602184,11.0782592269,-7.5889761315,0.108682757231,-0.0498800422608,0.175845384554,-0.114984486841
1,70 to 80,0,3,4,3.80838194667,-2.97195684813,5.6578159746,-4.7812631165,0.0537280241157,-0.0408746174846,0.0808259424943,-0.0664064321736
1,80 to 90,0,4,2,4.94580375915,-0.82002553765,8.1072753258,-0.9940011558,0.0595193437718,-0.0102503192206,0.101095165684,-0.0124250144475
1,90 to 100,0,1,6,1.7142751369,-4.64930573875,1.7142751369,-8.9957040263,0.0190475015211,-0.0497775858517,0.0190475015211,-0.0999522669589
2,0 to 10,0,21,0,0.972020186235,,1.15383339748,0.0,inf,0.0,inf,0.0
2,10 to 20,0,34,23,3.56706912013,-3.31783399031,6.6078813007,-8.70885301949,0.356706912013,-0.331783399031,0.66078813007,-0.870885301949
2,20 to 30,0,23,13,3.92126450763,-2.13460079882,10.9656740632,-5.3132330796,0.196063225382,-0.106730039941,0.54828370316,-0.26566165398
2,30 to 40,0,5,10,4.13470836334,-6.83940037113,8.1583401828,-13.2949113775,0.137823612111,-0.227980012371,0.27194467276,-0.443163712583
2,40 to 50,0,6,6,5.81946436542,-4.98219703388,17.8439818165,-9.6895316515,0.145486609135,-0.124554925847,0.446099545412,-0.242238291288
2,50 to 60,0,2,12,2.6449115578,-6.814620332,3.1409669016,-17.7938263981,0.0500428067,-0.132357260378,0.05710848912,-0.355876527962
2,60 to 70,0,4,4,6.237856476,-3.67244592395,11.868531282,-7.5057056901,0.100590638476,-0.0573568155127,0.188389385429,-0.113722813486
2,70 to 80,0,4,3,3.2406166629,-4.04422099183,5.9330069364,-4.5072462185,0.0456097470734,-0.0551800825468,0.0847572419486,-0.0626006419236
2,80 to 90,0,4,2,5.00932970405,-1.3982506225,7.854463762,-1.7021813853,0.0603852395501,-0.0174781327813,0.0910906735225,-0.0212772673162
2,90 to 100,0,1,6,0.5037947682,-4.3598360329,0.5037947682,-7.9916002116,0.00559771964667,-0.0465213116912,0.00559771964667,-0.0887955579067
3,0 to 10,0,21,0,0.978807328909,,1.1791909118,0.0,inf,0.0,inf,0.0
3,10 to 20,0,34,23,3.49489911599,-3.43084979824,5.7094704123,-9.26724326669,0.349489911599,-0.343084979824,0.57094704123,-0.926724326669
3,20 to 30,0,22,14,3.98478053346,-1.93861221023,11.0670688798,-5.475798383,0.199239026673,-0.0969306105114,0.55335344399,-0.27378991915
3,30 to 40,0,6,9,3.40339302168,-7.55805001741,7.5030174083,-12.9858715107,0.113446434056,-0.25193500058,0.250100580277,-0.43286238369
3,40 to 50,0,7,5,5.3583159582,-5.88294459158,17.3580947845,-10.0591947051,0.133957898955,-0.14707361479,0.433952369612,-0.251479867628
3,50 to 60,0,3,11,2.05871262237,-7.89491688736,2.8353502778,-17.7867611344,0.0394558583396,-0.153187559022,0.0515518232327,-0.355735222688
3,60 to 70,0,5,3,4.90055049246,-5.0882885286,11.0787773789,-7.2489549072,0.079115343027,-0.0799263449634,0.175853609189,-0.109832650109
3,70 to 80,0,4,3,2.78771878403,-3.84741594787,5.9583762935,-4.369363759,0.0392283681066,-0.0526478118034,0.0851196613357,-0.0606856077639
3,80 to 90,0,4,2,5.5712197467,-1.1438454513,9.0609176979,-1.1825969475,0.0672117232564,-0.0142980681413,0.113261471224,-0.0147824618438
3,90 to 100,0,1,6,0.8978594115,-4.76367338792,0.8978594115,-8.2670341139,0.00997621568333,-0.0509563452357,0.00997621568333,-0.0918559345989
4,0 to 10,0,21,0,0.982670996422,,1.21433948524,0.0,inf,0.0,inf,0.0
4,10 to 20,0,34,23,3.4556537335,-3.44213637441,5.6477614623,-9.24103800576,0.34556537335,-0.344213637441,0.56477614623,-0.924103800576
4,20 to 30,0,22,14,3.89758407668,-2.01396767135,11.510429393,-5.3007777659,0.194879203834,-0.100698383568,0.57552146965,-0.265038888295
4,30 to 40,0,6,9,3.24189658333,-7.37742658498,7.7055205604,-13.2097007499,0.108063219444,-0.245914219499,0.256850685347,-0.44032335833
4,40 to 50,0,7,5,4.91230267189,-6.09154663936,16.4481783254,-9.6568597351,0.122807566797,-0.152288665984,0.411204458135,-0.241421493378
4,50 to 60,0,2,12,2.14618742555,-6.90656386089,2.1504566526,-17.6594513,0.0409687879177,-0.133915627288,0.04283836397,-0.353189026
4,60 to 70,0,5,3,4.68939737406,-4.43117740543,10.7477412875,-7.2619246627,0.0756199263786,-0.0693282433067,0.170599068056,-0.110029161556
4,70 to 80,0,4,3,3.95237831512,-3.85468497803,6.4919390006,-4.6195282315,0.0555441841771,-0.0526182518618,0.0914357605718,-0.0641601143264
4,80 to 90,0,3,3,6.56619673877,-1.0481304766,8.3458343821,-2.0257241644,0.0789161583323,-0.0131016309575,0.0994331046675,-0.025321552055
4,90 to 100,0,1,6,0.8424862461,-5.18425083722,0.8424862461,-8.8255720172,0.00936095829,-0.0554287782984,0.00936095829,-0.0980619113022
5,0 to 10,0,21,0,0.983953479007,,1.25342329079,0.0,inf,0.0,inf,0.0
5,10 to 20,0,34,23,3.45200822209,-3.44630513927,6.0377976778,-8.84158287712,0.345200822209,-0.344630513927,0.60377976778,-0.884158287712
5,20 to 30,0,22,14,3.93094924226,-1.89428096859,11.1519325619,-5.0127518269,0.196547462113,-0.0947140484296,0.557596628095,-0.250637591345
5,30 to 40,0,6,9,3.38400262625,-7.43326056589,8.4547691642,-13.1059491778,0.112800087542,-0.247775352196,0.281825638807,-0.436864972593
5,40 to 50,0,6,6,5.98984883692,-5.17286557582,16.9842848734,-9.6218806026,0.149746220923,-0.129321639395,0.424607121835,-0.240547015065
5,50 to 60,0,2,12,1.84731682415,-7.08995609857,1.9648757896,-18.0712711149,0.0353738293387,-0.137405932083,0.039297515792,-0.361425422298
5,60 to 70,0,5,3,4.52375313418,-4.5159976884,10.7000059992,-6.5450289495,0.0729157308672,-0.0709178901921,0.169841365067,-0.0991671052955
5,70 to 80,0,3,4,3.32791998783,-2.99843245075,5.7527521467,-4.8041911335,0.0467832291966,-0.0410732825952,0.0821821735243,-0.0667248768542
5,80 to 90,0,4,2,4.84713490085,-1.37802453395,7.8855146768,-2.0730184673,0.0583489832274,-0.0172253066744,0.0896081213273,-0.0259127308413
5,90 to 100,0,1,6,0.7124486401,-4.35283024907,0.7124486401,-8.2644312746,0.00791609600111,-0.0464679795965,0.00791609600111,-0.0918270141622
6,0 to 10,0,21,0,1.0426888795,,1.3817273893,0.0,inf,0.0,inf,0.0
6,10 to 20,0,34,23,3.40654217624,-3.40159529448,6.0088925849,-9.49437688811,0.340654217624,-0.340159529448,0.60088925849,-0.949437688811
6,20 to 30,0,23,13,3.8158894946,-2.13161474707,11.2529999929,-5.3254537447,0.19079447473,-0.106580737353,0.562649999645,-0.266272687235
6,30 to 40,0,6,9,3.84881559528,-7.44864712796,8.9700064118,-12.9567192422,0.128293853176,-0.248288237599,0.299000213727,-0.431890641407
6,40 to 50,0,6,6,5.91890024485,-4.85435480855,16.9401931866,-9.2558558618,0.147972506121,-0.121358870214,0.423504829665,-0.231396396545
6,50 to 60,0,3,11,1.75765425237,-7.71261339909,3.2859136796,-18.019670215,0.0331616222112,-0.149421520348,0.0597438850836,-0.3603934043
6,60 to 70,0,4,4,5.6188852648,-3.6842780362,11.2928139444,-7.1583234242,0.0903992070843,-0.0578664507908,0.17925101499,-0.108459445821
6,70 to 80,0,4,3,3.41808229023,-3.82835928147,6.137649872,-4.1403316465,0.0479439289722,-0.0523129369278,0.0864457728451,-0.0575046062014
6,80 to 90,0,4,2,4.75489413753,-1.25519007905,7.5093162601,-1.5517736512,0.0573028482361,-0.0156898759881,0.0915942774025,-0.01939717064
6,90 to 100,0,1,6,1.296502347,-4.62528738215,1.296502347,-8.1060667816,0.0144055816333,-0.049454280947,0.0144055816333,-0.0900674086844
7,0 to 10,0,21,0,0.958745341251,,1.12647428124,0.0,inf,0.0,inf,0.0
7,10 to 20,0,34,23,3.48702542592,-3.30693877015,5.8361493593,-9.23831366386,0.348702542592,-0.330693877015,0.58361493593,-0.923831366386
7,20 to 30,0,23,13,3.88632856497,-2.12053525115,11.411634113,-5.1569372967,0.194316428248,-0.106026762558,0.57058170565,-0.257846864835
7,30 to 40,0,6,9,3.75959155695,-7.61191256977,8.7144712293,-13.5207683963,0.125319718565,-0.253730418992,0.29048237431,-0.450692279877
7,40 to 50,0,6,6,6.1237762123,-5.03987736793,17.6936131061,-9.8321049845,0.153094405307,-0.125996934198,0.442340327652,-0.245802624612
7,50 to 60,0,2,12,1.9146208527,-7.41006437567,2.3499017964,-18.2742192911,0.0369475625913,-0.143765426309,0.046998035928,-0.365484385822
7,60 to 70,0,5,3,5.5794971693,-4.9923859633,11.9384056745,-7.140485583,0.090233972775,-0.0783714055852,0.18949850277,-0.1081891755
7,70 to 80,0,4,3,3.44138283218,-4.3699631104,6.7258219043,-5.232357716,0.0484055737997,-0.059662879226,0.0960831700614,-0.0726716349444
7,80 to 90,0,4,2,4.8820892772,-0.9282379875,8.3205520133,-1.4516678121,0.0586623227794,-0.0116029748437,0.0945517274239,-0.0181458476512
7,90 to 100,0,1,6,1.1456168925,-4.46901592052,1.1456168925,-8.3735851734,0.0127290765833,-0.0477175915162,0.0127290765833,-0.09303983526
8,0 to 10,0,21,0,1.0382265996,,1.4246195162,0.0,inf,0.0,inf,0.0
8,10 to 20,0,34,23,3.42758953349,-3.40512875713,6.2668401075,-9.21549912204,0.342758953349,-0.340512875713,0.62668401075,-0.921549912204
8,20 to 30,0,23,13,3.70806988759,-2.00219325857,11.7891748163,-4.9807708246,0.18540349438,-0.100109662928,0.589458740815,-0.24903854123
8,30 to 40,0,6,9,3.47744394995,-7.45241316217,8.667861332,-12.9915756585,0.115914798332,-0.248413772072,0.288928711067,-0.43305252195
8,40 to 50,0,6,6,5.67159562973,-5.05337506647,16.6045596162,-9.8318565728,0.141789890743,-0.126334376662,0.415113990405,-0.24579641432
8,50 to 60,0,3,11,1.3840075315,-8.21084453439,2.6426731502,-17.6865543914,0.026078530539,-0.158915048287,0.0480486027309,-0.353731087828
8,60 to 70,0,5,3,4.56619082216,-4.6713067935,10.5216346768,-7.5996421775,0.0736740474149,-0.0729919383274,0.167010074235,-0.115146093598
8,70 to 80,0,4,3,3.32899024552,-3.6102889421,5.8656069067,-4.2426259701,0.0469066835503,-0.0495528779589,0.0826141817845,-0.0589253606958
8,80 to 90,0,4,2,5.03776758885,-1.37459546005,7.9214660171,-1.4932591963,0.0607523372556,-0.0171824432506,0.0990183252137,-0.0186657399538
8,90 to 100,0,1,6,1.1140777938,-4.16819356933,1.1140777938,-8.3607284737,0.0123786421533,-0.0446218438366,0.0123786421533,-0.0928969830411
9,0 to 10,0,21,0,0.962094091816,,1.14139536871,0.0,inf,0.0,inf,0.0
9,10 to 20,0,34,23,3.38173411889,-3.4025004243,6.1178812016,-9.38677006919,0.338173411889,-0.34025004243,0.61178812016,-0.938677006919
9,20 to 30,0,22,14,3.91090065586,-1.88223757352,11.7141389881,-5.4678160815,0.195545032793,-0.0941118786761,0.585706949405,-0.273390804075
9,30 to 40,0,5,10,4.25657468578,-6.68515161654,8.2578935919,-13.0965666296,0.141885822859,-0.222838387218,0.27526311973,-0.436552220987
9,40 to 50,0,6,6,6.06467555015,-5.01451879495,17.3542328792,-10.3849403844,0.151616888754,-0.125362969874,0.43385582198,-0.25962350961
9,50 to 60,0,2,12,3.1345727122,-7.26594751601,3.8530682742,-17.7290497155,0.0591886649038,-0.140816007535,0.0700557868036,-0.35458099431
9,60 to 70,0,5,3,4.60298535862,-5.38659926507,11.3887856461,-7.5965572402,0.0741425859331,-0.0848544330024,0.180774375335,-0.115099352124
9,70 to 80,0,4,3,3.05940247585,-3.76069385727,5.8745431484,-4.2536953843,0.0428647537458,-0.0514078615498,0.0839220449771,-0.0590791025597
9,80 to 90,0,4,2,4.8006499815,-2.0896266584,8.2005155006,-3.4599933039,0.0576784328652,-0.02612033323,0.10008457846,-0.0432499162988
9,90 to 100,0,1,6,1.4855398857,-4.7364246539,1.4855398857,-7.9891906546,0.01650599873,-0.0506416769954,0.01650599873,-0.0887687850511
10,0 to 10,0,21,0,1.01116589949,,1.2439923553,0.0,inf,0.0,inf,0.0
10,10 to 20,0,34,23,3.38639428915,-3.37708655511,6.1341427336,-8.83899365602,0.338639428915,-0.337708655511,0.61341427336,-0.883899365602
10,20 to 30,0,23,13,3.91745388626,-2.12733177495,10.6197155217,-5.38758695,0.195872694313,-0.106366588748,0.530985776085,-0.2693793475
10,30 to 40,0,6,9,3.47402926607,-7.56037670962,8.0223891976,-13.1886685914,0.115800975536,-0.252012556987,0.267412973253,-0.43962228638
10,40 to 50,0,6,6,6.0063041418,-5.02227668753,17.5160436097,-9.9047071578,0.150157603545,-0.125556917188,0.437901090243,-0.247617678945
10,50 to 60,0,2,12,2.0241915287,-7.15235622723,2.1663956955,-17.5323799856,0.0385143799417,-0.138650957403,0.0393890126455,-0.350647599712
10,60 to 70,0,5,3,4.43013963046,-4.8318111343,11.0258073647,-7.2034612856,0.0713478141363,-0.075720155073,0.175012815313,-0.109143352812
10,70 to 80,0,4,3,3.49811080615,-4.32556048163,5.9120581938,-4.8707212114,0.0492736757571,-0.0589808827737,0.0832684252648,-0.0676489057139
10,80 to 90,0,4,2,4.35926140412,-0.97408531045,7.8993574731,-1.0833759746,0.0526749543928,-0.0121760663806,0.0987419684137,-0.0135421996825
10,90 to 100,0,1,6,1.4055425201,-4.33121891048,1.4055425201,-8.0397987724,0.0156171391122,-0.0462501895302,0.0156171391122,-0.0893310974711
11,0 to 10,0,21,0,0.964851960522,,1.14710896564,0.0,inf,0.0,inf,0.0
11,10 to 20,0,34,23,3.44789989633,-3.40868290926,5.6331340779,-8.65568561498,0.344789989633,-0.340868290926,0.56331340779,-0.865568561498
11,20 to 30,0,22,14,3.86026372752,-1.89941089059,10.9322883637,-5.3242485634,0.193013186376,-0.0949705445296,0.546614418185,-0.26621242817
11,30 to 40,0,6,9,3.44158245607,-7.49821625122,8.1302472852,-13.1062477083,0.114719415202,-0.249940541707,0.27100824284,-0.43687492361
11,40 to 50,0,7,5,5.04162586866,-5.6773290962,17.264985538,-9.8682119489,0.126040646716,-0.141933227405,0.43162463845,-0.246705298722
11,50 to 60,0,3,11,1.54691836447,-7.83487500307,2.3022733905,-18.0768623409,0.029543050083,-0.151732704756,0.0418595161909,-0.361537246818
11,60 to 70,0,5,3,4.80733171126,-4.54651303347,10.919399387,-7.7962199013,0.0775972101058,-0.0712241142984,0.173323799794,-0.118124543959
11,70 to 80,0,3,4,4.41008883167,-3.33576472575,6.2444487493,-4.5119311395,0.0619880585666,-0.0456165203809,0.0892064107043,-0.0626657102708
11,80 to 90,0,4,2,5.3942486883,-1.4761988082,8.0308948402,-2.1204417826,0.0651466043878,-0.0184524851025,0.0931051943788,-0.0265055222825
11,90 to 100,0,1,6,1.7320607248,-5.18105290738,1.7320607248,-9.0074062062,0.0192451191644,-0.0553785023427,0.0192451191644,-0.10008229118
12,0 to 10,0,21,0,0.955178200286,,1.14251772285,0.0,inf,0.0,inf,0.0
12,10 to 20,0,34,23,3.51394789695,-3.4507907203,5.7029515554,-9.25323977756,0.351394789695,-0.34507907203,0.57029515554,-0.925323977756
12,20 to 30,0,22,14,3.96944339229,-1.97800026424,10.9592940058,-5.0679005812,0.198472169614,-0.0989000132121,0.54796470029,-0.25339502906
12,30 to 40,0,6,9,3.5985678672,-7.45860473889,8.3785230832,-13.0267408366,0.11995226224,-0.248620157963,0.279284102773,-0.434224694553
12,40 to 50,0,6,6,5.73763592112,-5.03218345963,16.0582740418,-10.3277570554,0.143440898028,-0.125804586491,0.401456851045,-0.258193926385
12,50 to 60,0,3,11,1.60362201223,-7.70330474023,2.4838579115,-18.2473886238,0.0306707551262,-0.149470999266,0.04967715823,-0.364947772476
12,60 to 70,0,5,3,4.33794145792,-4.2293482174,10.658132717,-6.2505887193,0.0698499046166,-0.0662296755069,0.169176709794,-0.0947058896864
12,70 to 80,0,3,4,4.41222921467,-2.76997581252,5.9645846979,-4.3189551525,0.0619361040355,-0.0379209801033,0.0852083528271,-0.0599854882292
12,80 to 90,0,4,2,4.62470698975,-0.82454915405,7.9340440963,-1.2720912361,0.0556583375209,-0.0103068644256,0.0991755512037,-0.0159011404512
12,90 to 100,0,1,6,0.9012022399,-4.38692313195,0.9012022399,-8.1687361308,0.0100133582211,-0.0468967915876,0.0100133582211,-0.0907637347867
