username,num_days,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,incomplete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050274,2.0,2.0,400.5,737.5,2.0,38.333333335,63.0,2.0,34.166666665,60.5,0.0,0.0,0.0,11.5,9.0,2.5,0.763392857,0.236607143,4.793989607,3.5,6.0,0.455357143,11.5,1.0,0.0,0.0,22.0,2.2589285715,7.0,0.5982142855,13.0,1.09375,4.0,0.2901785715,0.0,0.0,35.0,3.3526785715,11.0,0.888392857,46.0,4.2410714285,28.0,2.3125,0.0,0.0,57.5,5.2410714285,131.5,11.794642855,1.5,1.5,0.5,1.5,9.083333333,4.5,80.0
Y1050275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Y1050276,1.5,1.5,338.75,571.5,1.0,66.5,66.5,1.0,54.5,54.5,0.0,0.0,0.0,8.0,7.0,1.0,0.923076923,0.076923077,2.370402495,7.0,1.0,0.076923077,7.0,0.794871795,1.0,0.205128205,1.5,0.1153846155,2.0,0.153846154,37.5,3.141025641,4.0,0.5641025645,0.0,0.0,39.0,3.2564102565,6.0,0.717948718,45.0,3.974358974,48.5,4.5,1.0,0.205128205,53.0,4.974358974,147.5,13.653846155,1.5,1.5,1.0,1.5,8.75,2.5,40.0
Y1050277,0.5,0.5,247.0,247.0,0.0,0.0,0.0,0.5,3.0,3.0,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.5,7.00992735,1.5,0.0,0.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,0.0,0.0,1.5,0.5,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Y1050278,3.5,3.5,148.75,380.0,0.5,10.5,10.5,2.5,8.0,14.0,0.0,0.0,0.0,5.5,2.0,3.5,0.35,0.65,10.5533893555,4.0,3.0,0.5666666665,4.5,0.8,0.5,0.0833333335,0.0,0.0,3.0,0.55,3.0,0.5666666665,1.0,0.1833333335,0.0,0.0,3.0,0.5666666665,4.0,0.7333333335,7.0,1.3,7.0,1.2666666665,0.5,0.0833333335,12.5,2.3,27.0,4.95,1.5,1.5,1.5,1.5,6.0,3.0,54.0
Y1050279,4.0,4.0,371.25,1485.0,4.0,34.5,138.0,3.0,48.5,139.0,0.0,0.0,0.0,13.0,11.0,2.0,0.846153846,0.153846154,8.6509446055,1.5,3.0,0.230769231,13.0,1.0,0.5,0.0384615385,2.0,0.153846154,2.5,0.1923076925,82.0,6.307692308,31.0,2.384615385,0.5,0.0384615385,84.0,6.4615384615,34.0,2.6153846155,118.0,9.076923075,124.5,9.5769230775,0.5,0.0384615385,131.0,10.076923075,374.0,28.76923077,1.5,1.5,1.5,1.5,10.0,5.5,70.0
Y1050280,1.5,1.5,110.25,129.5,0.5,13.0,13.0,1.0,6.0,6.0,0.0,0.0,0.0,3.0,2.5,0.5,0.8333333335,0.1666666665,0.713932009,3.0,0.0,0.0,3.0,1.0,0.5,0.1666666665,0.0,0.0,0.0,0.0,1.5,0.5,0.5,0.1666666665,0.0,0.0,1.5,0.5,0.5,0.1666666665,2.0,0.6666666665,4.5,1.5,0.5,0.1666666665,5.0,1.6666666665,12.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0
Y1050281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Y1050282,0.5,0.5,62.5,62.5,0.5,7.5,7.5,0.5,2.0,2.0,0.0,0.0,0.0,1.5,1.0,0.5,0.3333333335,0.1666666665,0.0930578995,1.5,0.5,0.1666666665,1.0,0.3333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333335,0.0,0.0,1.5,0.5,2.5,0.8333333335,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Y1050283,1.5,1.5,82.0,140.5,0.5,7.5,7.5,1.5,7.25,13.5,0.0,0.0,0.0,3.0,2.0,1.0,0.8,0.2,4.268154553,2.5,1.5,0.3,2.5,0.9,0.5,0.1,1.5,0.3,1.5,0.3,2.5,0.5,2.5,0.9,0.5,0.1,4.0,0.8,4.5,1.3,8.5,2.1,7.0,2.2,0.5,0.1,11.5,3.1,27.5,7.5,0.0,0.0,0.0,0.0,0.0,3.5,20.0
