username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050274,2.833333333,237.625,599.1666667000001,1.5,23.36111111,34.5,2.0,32.66666667,73.66666667,12.83333333,9.833333332999999,3.0,0.765827922,6.4841035620000005,5.5,0.411886724,12.66666667,0.994949495,0.166666667,8.833333332999999,0.604707792,30.83333333,1.971906566,3.833333333,0.24950396800000002,0.0,44.83333333,3.258973665,12.66666667,0.85421176,57.5,4.113185426,46.83333333,3.172348485,0.166666667,70.33333333,5.113185426,174.83333330000002,12.40376984,2.166666667,2.166666667,1.0,2.166666667,8.578888889,7.1333333329999995,3
Y1050275,1.333333333,73.88888888,325.6666667,0.666666667,7.777777778,12.33333333,1.0,15.13333333,57.66666667,7.0,5.833333333,1.166666667,0.267156863,4.145784498,4.5,0.212009804,6.5,0.302696079,0.5,14.33333333,0.517156863,17.5,0.5625,7.166666667,0.21078431399999997,0.0,22.83333333,0.830882353,21.5,0.727941177,44.33333333,1.558823529,30.0,1.041666667,0.5,51.33333333,1.892156863,126.16666670000001,4.507352942,0.5,0.5,0.166666667,0.5,2.222222222,2.5,0
Y1050276,2.5,273.7722222,757.3333332999999,1.8333333330000001,59.73333333,92.66666667,1.6666666669999999,27.8,46.16666667,10.0,7.166666667,2.833333333,0.632553419,1.800904265,2.0,0.09980769199999999,9.5,0.758290598,0.666666667,3.0,0.155865385,20.83333333,1.5229807690000001,7.0,0.542478633,0.0,22.83333333,1.6251923080000001,10.0,0.698344017,32.83333333,2.323536325,37.16666667,2.8170833330000002,0.666666667,42.83333333,3.156869658,113.5,8.379198718,2.166666667,2.166666667,1.333333333,2.166666667,7.143333332999999,2.666666667,1
Y1050277,0.833333333,224.88888889999998,464.0,0.5,6.944444445,20.83333333,0.833333333,20.72222222,59.5,4.833333333,4.0,0.833333333,0.166666667,6.898256575,2.666666667,0.111111111,4.833333333,0.5,0.666666667,9.166666667000001,0.381944445,29.66666667,1.236111111,6.833333333,0.28472222199999997,0.0,33.66666667,1.4027777780000001,16.0,0.666666667,49.66666667,2.069444445,40.66666667,1.9930555559999998,0.666666667,54.5,2.569444445,145.5,6.659722222,0.0,0.0,0.0,0.0,0.0,2.0,0
Y1050278,3.5,293.75,932.0,2.0,47.62500001,131.1666667,2.166666667,7.527777778,20.66666667,5.666666667,3.5,2.166666667,0.509259259,8.987765185,2.166666667,0.314814815,4.666666667,0.65,1.0,4.166666667,0.5277777779999999,5.166666667,0.648148148,1.8333333330000001,0.22407407399999998,0.0,6.166666667,0.75,6.0,0.751851852,12.16666667,1.501851852,10.83333333,1.392592593,1.0,17.83333333,2.335185185,41.83333333,5.39074074,2.166666667,2.166666667,1.5,2.166666667,7.227222222000001,4.833333333,1
Y1050279,4.5,400.3333333,1833.1666670000002,4.333333333,32.31944445,139.0,3.333333333,51.13333334,174.16666669999998,13.33333333,10.66666667,2.666666667,0.8109113109999999,7.358733503,6.333333333,0.465090465,13.16666667,0.988095238,1.0,13.66666667,0.952269952,88.33333333,6.776626152,30.5,2.420954046,0.333333333,98.33333333,7.483391609,44.5,3.4138222889999996,142.83333330000002,10.8972139,129.8333333,10.03429903,1.0,156.16666669999998,11.8972139,429.83333330000005,32.92415917,2.0,2.0,1.5,2.0,8.930555556,6.0,2
Y1050280,2.166666667,63.97222222,115.5,0.333333333,4.5,4.5,1.5,7.444444445,12.83333333,3.5,2.5,1.0,0.805555556,4.136861886,0.5,0.083333333,3.166666667,0.944444445,1.0,0.5,0.083333333,4.333333333,1.083333333,1.6666666669999999,0.305555556,0.0,5.166666667,1.222222222,2.166666667,0.38888888899999996,7.333333333,1.611111111,8.5,2.083333333,1.0,10.83333333,2.611111111,27.66666667,6.6111111110000005,0.333333333,0.333333333,0.333333333,0.333333333,0.38888888899999996,1.45,0
Y1050281,0.333333333,43.0,43.0,0.166666667,1.333333333,1.333333333,0.166666667,6.666666667,6.666666667,0.5,0.166666667,0.333333333,0.055555556,2.0353665000000003,0.5,0.166666667,0.5,0.166666667,0.166666667,0.666666667,0.222222222,4.166666667,1.388888889,0.333333333,0.111111111,0.0,4.666666667,1.5555555559999998,1.0,0.333333333,5.666666667,1.888888888,4.833333333,1.611111111,0.166666667,6.166666667,2.055555555,16.83333333,5.611111112000001,0.0,0.0,0.0,0.0,0.0,1.0,0
Y1050282,1.0,93.05555555,195.66666669999998,0.833333333,7.083333333,11.66666667,1.0,11.80555556,28.0,2.5,1.8333333330000001,0.666666667,0.319444445,2.490241186,1.166666667,0.222222222,2.0,0.381944445,0.666666667,1.6666666669999999,0.229166667,5.5,0.854166667,0.833333333,0.125,0.0,9.0,1.6875,2.5,0.35416666700000005,11.5,2.041666667,7.666666667,1.256944445,0.666666667,14.0,2.541666667,33.83333333,5.944444445,0.0,0.0,0.0,0.0,0.0,2.0,0
Y1050283,1.6666666669999999,91.72222222,178.5,0.5,8.916666667000001,15.33333333,1.166666667,9.0,17.66666667,3.0,1.166666667,1.8333333330000001,0.38333333299999994,2.754289162,1.5,0.333333333,2.666666667,0.55,0.333333333,4.333333333,0.55,2.333333333,0.316666667,1.333333333,0.41666666700000005,0.166666667,6.166666667,1.083333333,5.833333333,1.0,12.0,2.083333333,6.0,1.233333333,0.333333333,15.0,2.75,33.33333333,6.1166666670000005,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333,3.45,0
