evaluation_num,acc,precision,recall,f1_score
1,0.830601093,0.815300546,0.830601093,0.821387137
2,0.836065574,0.819526718,0.836065574,0.823688772
3,0.825136612,0.802537383,0.825136612,0.811811564
4,0.830601093,0.819420267,0.830601093,0.822320126
5,0.841530055,0.834142576,0.841530055,0.834818967
6,0.792349727,0.761674118,0.792349727,0.776412045
7,0.808743169,0.777507314,0.808743169,0.790162022
8,0.857923497,0.849570049,0.857923497,0.847932331
9,0.808743169,0.792424242,0.808743169,0.799212734
10,0.852459016,0.847209663,0.852459016,0.847575522
11,0.846994536,0.84031974,0.846994536,0.841586396
12,0.841530055,0.830721486,0.841530055,0.835374761
13,0.808743169,0.791330094,0.808743169,0.799375509
14,0.819672131,0.812551086,0.819672131,0.814933161
15,0.830601093,0.825681604,0.830601093,0.827467631
16,0.819672131,0.796918512,0.819672131,0.805343828
17,0.808743169,0.773230442,0.808743169,0.788482789
18,0.81420765,0.800846328,0.81420765,0.80402252
19,0.825136612,0.811415239,0.825136612,0.81170362
20,0.825136612,0.804110048,0.825136612,0.813435473
21,0.87431694,0.870294234,0.87431694,0.871869229
22,0.808743169,0.800712386,0.808743169,0.803668264
23,0.792349727,0.790603558,0.792349727,0.78713347
24,0.819672131,0.823212284,0.819672131,0.819474137
25,0.852459016,0.828172435,0.852459016,0.834097448
26,0.852459016,0.843362781,0.852459016,0.842539652
27,0.830601093,0.807576598,0.830601093,0.816607607
28,0.830601093,0.802113604,0.830601093,0.812934805
29,0.819672131,0.803029985,0.819672131,0.808000284
30,0.792349727,0.785766382,0.792349727,0.787326002
31,0.836065574,0.818740164,0.836065574,0.82353478
32,0.852459016,0.84495285,0.852459016,0.844302694
33,0.830601093,0.822002799,0.830601093,0.825400608
34,0.836065574,0.823978987,0.836065574,0.827388087
35,0.836065574,0.814147929,0.836065574,0.822969343
36,0.841530055,0.83669536,0.841530055,0.836513259
37,0.825136612,0.809907242,0.825136612,0.816051844
38,0.846994536,0.836054972,0.846994536,0.836622448
39,0.775956284,0.747102529,0.775956284,0.758609646
40,0.841530055,0.83407849,0.841530055,0.835191644
41,0.803278689,0.780180165,0.803278689,0.789977279
42,0.857923497,0.848604517,0.857923497,0.851362565
43,0.863387978,0.858018755,0.863387978,0.858368168
44,0.836065574,0.803856815,0.836065574,0.816227914
45,0.81420765,0.796507234,0.81420765,0.803437426
46,0.825136612,0.813063825,0.825136612,0.818192005
47,0.819672131,0.80633383,0.819672131,0.811437759
48,0.841530055,0.835459585,0.841530055,0.837433742
49,0.825136612,0.822247346,0.825136612,0.823556664
50,0.81420765,0.795342483,0.81420765,0.802899769
51,0.841530055,0.825904843,0.841530055,0.830801766
52,0.852459016,0.85409105,0.852459016,0.851556462
53,0.797814208,0.795441396,0.797814208,0.793851155
54,0.841530055,0.822344831,0.841530055,0.831188632
55,0.846994536,0.846102027,0.846994536,0.845409848
56,0.808743169,0.792945394,0.808743169,0.798961879
57,0.836065574,0.828394652,0.836065574,0.831324973
58,0.852459016,0.849579449,0.852459016,0.847828294
59,0.819672131,0.810371289,0.819672131,0.811653179
60,0.819672131,0.810642847,0.819672131,0.814108528
61,0.841530055,0.83318476,0.841530055,0.834347224
62,0.803278689,0.782385085,0.803278689,0.791634702
63,0.819672131,0.802435683,0.819672131,0.808738664
64,0.797814208,0.789397574,0.797814208,0.790386625
65,0.846994536,0.835012311,0.846994536,0.837632367
66,0.830601093,0.822392856,0.830601093,0.82501874
67,0.836065574,0.818991937,0.836065574,0.826583298
68,0.830601093,0.828261416,0.830601093,0.829240134
69,0.819672131,0.807488011,0.819672131,0.810839427
70,0.846994536,0.837394436,0.846994536,0.840987758
71,0.819672131,0.81453422,0.819672131,0.812264057
72,0.836065574,0.830038708,0.836065574,0.831857942
73,0.803278689,0.798331895,0.803278689,0.799261162
74,0.803278689,0.773051839,0.803278689,0.785133313
75,0.819672131,0.802024325,0.819672131,0.809199137
76,0.825136612,0.810250584,0.825136612,0.815529126
77,0.830601093,0.814522815,0.830601093,0.820398728
78,0.830601093,0.824279052,0.830601093,0.82426329
79,0.81420765,0.811582633,0.81420765,0.810199195
80,0.830601093,0.813777658,0.830601093,0.818581194
81,0.841530055,0.82931314,0.841530055,0.829140806
82,0.825136612,0.805821724,0.825136612,0.811082894
83,0.803278689,0.79084022,0.803278689,0.795460073
84,0.868852459,0.85918377,0.868852459,0.860928602
85,0.836065574,0.824187652,0.836065574,0.8280087
86,0.846994536,0.836882345,0.846994536,0.839208739
87,0.825136612,0.806452194,0.825136612,0.813480117
88,0.808743169,0.797823761,0.808743169,0.800205956
89,0.836065574,0.821452771,0.836065574,0.826075604
90,0.819672131,0.801747309,0.819672131,0.807519777
91,0.836065574,0.809789355,0.836065574,0.81985417
92,0.857923497,0.852158434,0.857923497,0.854348604
93,0.841530055,0.834470489,0.841530055,0.837402995
94,0.857923497,0.844830571,0.857923497,0.849367214
95,0.81420765,0.783817624,0.81420765,0.795539085
96,0.797814208,0.771532436,0.797814208,0.782456523
97,0.836065574,0.820096752,0.836065574,0.826435967
98,0.81420765,0.797713547,0.81420765,0.801778434
99,0.852459016,0.850444606,0.852459016,0.851256339
100,0.81420765,0.790622856,0.81420765,0.800321568
,0.828579235,0.815228947,0.828579235,0.819488284
