evaluation_num,acc,precision,recall,f1_score
48,0.87431694,0.872208099,0.87431694,0.87009686
54,0.868852459,0.85735334,0.868852459,0.858937535
19,0.863387978,0.860382514,0.863387978,0.859820125
86,0.863387978,0.864606085,0.863387978,0.860584055
1,0.857923497,0.85151685,0.857923497,0.85253122
44,0.857923497,0.853335328,0.857923497,0.854816639
18,0.852459016,0.843257289,0.852459016,0.846849417
40,0.852459016,0.845081967,0.852459016,0.847447314
68,0.852459016,0.84905014,0.852459016,0.849642922
95,0.852459016,0.842808104,0.852459016,0.844148964
100,0.852459016,0.839689917,0.852459016,0.841206868
9,0.846994536,0.830909155,0.846994536,0.835408608
10,0.846994536,0.83430525,0.846994536,0.83586029
15,0.846994536,0.833865916,0.846994536,0.838511588
50,0.846994536,0.829737373,0.846994536,0.83673181
51,0.846994536,0.838290964,0.846994536,0.840901295
62,0.846994536,0.837452984,0.846994536,0.840084941
90,0.846994536,0.837758357,0.846994536,0.840820382
3,0.841530055,0.81583721,0.841530055,0.824353236
12,0.841530055,0.834903586,0.841530055,0.836376093
16,0.841530055,0.835018533,0.841530055,0.836710249
23,0.841530055,0.837442203,0.841530055,0.837798734
30,0.841530055,0.836796212,0.841530055,0.835218555
39,0.841530055,0.820305502,0.841530055,0.824669026
43,0.841530055,0.834478191,0.841530055,0.836594794
52,0.841530055,0.816840604,0.841530055,0.827472766
74,0.841530055,0.83376217,0.841530055,0.835622217
75,0.841530055,0.831988205,0.841530055,0.835556305
79,0.841530055,0.830729425,0.841530055,0.834726491
83,0.841530055,0.82444171,0.841530055,0.830726195
84,0.841530055,0.83649548,0.841530055,0.831652951
13,0.836065574,0.835519126,0.836065574,0.833834544
21,0.836065574,0.823451858,0.836065574,0.826496681
26,0.836065574,0.833847088,0.836065574,0.832296606
29,0.836065574,0.827120841,0.836065574,0.830648825
31,0.836065574,0.81439316,0.836065574,0.820833278
46,0.836065574,0.826352449,0.836065574,0.830183504
47,0.836065574,0.827345991,0.836065574,0.830638878
85,0.836065574,0.820101161,0.836065574,0.82564818
97,0.836065574,0.831032747,0.836065574,0.832352529
99,0.836065574,0.82724855,0.836065574,0.830816858
7,0.830601093,0.799953663,0.830601093,0.81366874
32,0.830601093,0.814261786,0.830601093,0.821502252
35,0.830601093,0.82277282,0.830601093,0.824714142
49,0.830601093,0.82380153,0.830601093,0.820658531
58,0.830601093,0.813795241,0.830601093,0.81940914
64,0.830601093,0.813030776,0.830601093,0.817742442
92,0.830601093,0.818531718,0.830601093,0.822676937
4,0.825136612,0.813428244,0.825136612,0.81818784
17,0.825136612,0.815682105,0.825136612,0.817102372
20,0.825136612,0.817671153,0.825136612,0.820047657
25,0.825136612,0.817520897,0.825136612,0.820522042
28,0.825136612,0.806819311,0.825136612,0.814289619
55,0.825136612,0.800520104,0.825136612,0.810737504
59,0.825136612,0.811650941,0.825136612,0.816864355
60,0.825136612,0.808041228,0.825136612,0.813061824
63,0.825136612,0.824686743,0.825136612,0.822017572
77,0.825136612,0.816373287,0.825136612,0.817767375
80,0.825136612,0.806804257,0.825136612,0.814506036
81,0.825136612,0.813409927,0.825136612,0.816617096
96,0.825136612,0.814261224,0.825136612,0.817076481
5,0.819672131,0.797332743,0.819672131,0.80717554
8,0.819672131,0.799045342,0.819672131,0.804876382
34,0.819672131,0.800971529,0.819672131,0.807614671
36,0.819672131,0.804505409,0.819672131,0.808588618
37,0.819672131,0.805451773,0.819672131,0.810310019
38,0.819672131,0.802269327,0.819672131,0.807620043
41,0.819672131,0.802612288,0.819672131,0.807864251
45,0.819672131,0.785408061,0.819672131,0.800173291
57,0.819672131,0.81558208,0.819672131,0.816408665
66,0.819672131,0.820300393,0.819672131,0.814540271
69,0.819672131,0.811803618,0.819672131,0.81381645
72,0.819672131,0.795314307,0.819672131,0.80569505
91,0.819672131,0.799511696,0.819672131,0.807543979
94,0.819672131,0.809075942,0.819672131,0.808816617
2,0.81420765,0.80619157,0.81420765,0.807978443
6,0.81420765,0.806897112,0.81420765,0.807118299
22,0.81420765,0.787999446,0.81420765,0.799223438
61,0.81420765,0.798114165,0.81420765,0.803621526
76,0.81420765,0.796916149,0.81420765,0.803343137
56,0.808743169,0.790094101,0.808743169,0.797514773
67,0.808743169,0.788620999,0.808743169,0.796269477
70,0.808743169,0.790457266,0.808743169,0.797323231
87,0.808743169,0.778541247,0.808743169,0.791339947
89,0.808743169,0.793468004,0.808743169,0.799257376
24,0.803278689,0.788804436,0.803278689,0.793350904
27,0.803278689,0.777461665,0.803278689,0.788441585
33,0.803278689,0.785941568,0.803278689,0.792813639
42,0.803278689,0.772384216,0.803278689,0.786347737
53,0.803278689,0.806284153,0.803278689,0.799481575
73,0.803278689,0.767166134,0.803278689,0.782494421
88,0.803278689,0.797266388,0.803278689,0.797232701
14,0.797814208,0.771598137,0.797814208,0.782568725
71,0.797814208,0.794241631,0.797814208,0.794737216
93,0.797814208,0.784883862,0.797814208,0.787355948
82,0.792349727,0.7688859,0.792349727,0.778539511
98,0.792349727,0.780470379,0.792349727,0.785203482
11,0.786885246,0.771911965,0.786885246,0.777018974
65,0.786885246,0.786976039,0.786885246,0.781279601
78,0.786885246,0.750883148,0.786885246,0.767911897
,0.827704918,0.814417228,0.827704918,0.818536097
