evaluation_num,acc,precision,recall,f1_score
9,0.868852459,0.858041375,0.868852459,0.862503805
42,0.868852459,0.863959124,0.868852459,0.865531897
36,0.863387978,0.85635873,0.863387978,0.858304292
76,0.863387978,0.846969733,0.863387978,0.851108191
31,0.857923497,0.846916472,0.857923497,0.849630603
75,0.857923497,0.855551097,0.857923497,0.854908882
10,0.852459016,0.840633571,0.852459016,0.841529578
25,0.852459016,0.842962277,0.852459016,0.84195731
37,0.852459016,0.843659653,0.852459016,0.842712484
40,0.852459016,0.849246521,0.852459016,0.850197852
43,0.852459016,0.836005853,0.852459016,0.840550717
46,0.852459016,0.836193439,0.852459016,0.841515792
49,0.852459016,0.836429872,0.852459016,0.842230629
66,0.852459016,0.845306092,0.852459016,0.845298144
16,0.846994536,0.838584959,0.846994536,0.839144937
19,0.846994536,0.833180747,0.846994536,0.837531954
72,0.846994536,0.829066947,0.846994536,0.834153614
85,0.846994536,0.845469657,0.846994536,0.845377233
2,0.841530055,0.825731485,0.841530055,0.831379976
12,0.841530055,0.821772725,0.841530055,0.825244983
15,0.841530055,0.829721398,0.841530055,0.834169246
39,0.841530055,0.837826603,0.841530055,0.835107892
47,0.841530055,0.83613358,0.841530055,0.838062038
59,0.841530055,0.828237952,0.841530055,0.832215122
63,0.841530055,0.809198292,0.841530055,0.822316252
64,0.841530055,0.829090278,0.841530055,0.83340879
3,0.836065574,0.81949066,0.836065574,0.825263643
13,0.836065574,0.827829513,0.836065574,0.830261492
24,0.836065574,0.825013923,0.836065574,0.82970422
50,0.836065574,0.825170795,0.836065574,0.825849629
51,0.836065574,0.838166159,0.836065574,0.832622568
54,0.836065574,0.836798533,0.836065574,0.831608479
69,0.836065574,0.831273034,0.836065574,0.832845119
81,0.836065574,0.820517303,0.836065574,0.82508477
90,0.836065574,0.811442835,0.836065574,0.818955961
92,0.836065574,0.830393619,0.836065574,0.832751167
94,0.836065574,0.82947765,0.836065574,0.831883733
5,0.830601093,0.818688335,0.830601093,0.823355937
22,0.830601093,0.813923136,0.830601093,0.820466859
44,0.830601093,0.82513596,0.830601093,0.826675265
65,0.830601093,0.814952807,0.830601093,0.820346471
20,0.825136612,0.800962004,0.825136612,0.810806601
30,0.825136612,0.812619098,0.825136612,0.814769044
35,0.825136612,0.821157349,0.825136612,0.82213612
38,0.825136612,0.811517468,0.825136612,0.817421874
41,0.825136612,0.813917834,0.825136612,0.818715174
58,0.825136612,0.810837887,0.825136612,0.815670922
60,0.825136612,0.808929459,0.825136612,0.813866823
71,0.825136612,0.815653836,0.825136612,0.819887773
79,0.825136612,0.811305264,0.825136612,0.817089774
88,0.825136612,0.818634717,0.825136612,0.820065751
91,0.825136612,0.810564663,0.825136612,0.816281351
95,0.825136612,0.816927817,0.825136612,0.82022875
100,0.825136612,0.798112813,0.825136612,0.807415746
1,0.819672131,0.799687532,0.819672131,0.806456765
4,0.819672131,0.800064731,0.819672131,0.807888618
6,0.819672131,0.801007777,0.819672131,0.807749649
21,0.819672131,0.815263555,0.819672131,0.812274335
32,0.819672131,0.803459586,0.819672131,0.810592178
55,0.819672131,0.798578981,0.819672131,0.804785351
56,0.819672131,0.803036452,0.819672131,0.809544414
73,0.819672131,0.809577383,0.819672131,0.81288034
77,0.819672131,0.803452881,0.819672131,0.807044801
7,0.81420765,0.796727743,0.81420765,0.802896638
8,0.81420765,0.796006359,0.81420765,0.803141561
18,0.81420765,0.807574452,0.81420765,0.810447365
27,0.81420765,0.795656104,0.81420765,0.802483715
28,0.81420765,0.795470308,0.81420765,0.801766474
57,0.81420765,0.800241454,0.81420765,0.804975645
62,0.81420765,0.799442907,0.81420765,0.80510143
86,0.81420765,0.804534427,0.81420765,0.807385844
98,0.81420765,0.800161451,0.81420765,0.806086591
33,0.808743169,0.782988444,0.808743169,0.792815334
48,0.808743169,0.796254899,0.808743169,0.799350227
52,0.808743169,0.79692002,0.808743169,0.801751696
74,0.808743169,0.785611548,0.808743169,0.79474996
96,0.808743169,0.802903076,0.808743169,0.803468935
97,0.808743169,0.785116507,0.808743169,0.794065765
99,0.808743169,0.781574037,0.808743169,0.792756795
14,0.803278689,0.784533863,0.803278689,0.79245738
17,0.803278689,0.782411107,0.803278689,0.789911815
26,0.803278689,0.784420524,0.803278689,0.792120235
29,0.803278689,0.7900495,0.803278689,0.79469473
45,0.803278689,0.784795102,0.803278689,0.79102423
53,0.803278689,0.795987419,0.803278689,0.796019403
67,0.803278689,0.794953095,0.803278689,0.798629046
83,0.803278689,0.784666682,0.803278689,0.7928097
87,0.803278689,0.785161682,0.803278689,0.790069381
23,0.797814208,0.784677269,0.797814208,0.788672775
61,0.797814208,0.781904403,0.797814208,0.788599734
68,0.797814208,0.771403031,0.797814208,0.782873483
70,0.797814208,0.792610656,0.797814208,0.790140365
78,0.797814208,0.786612022,0.797814208,0.790672409
80,0.797814208,0.781794021,0.797814208,0.787213084
34,0.792349727,0.772357545,0.792349727,0.780514478
84,0.792349727,0.763745226,0.792349727,0.774325106
11,0.786885246,0.759796655,0.786885246,0.771651919
89,0.786885246,0.780787108,0.786885246,0.781694152
93,0.781420765,0.760303286,0.781420765,0.767942551
82,0.770491803,0.768754379,0.770491803,0.768671338
,0.824590164,0.810947001,0.824590164,0.81531291
