,comp 1,comp 2
active_num_days,-0.265131784964,-0.0199285558239
active_sum_count,-0.277054041689,0.0387998127021
video_num_days,-0.26822743263,0.102922557808
num_watched,-0.281386193404,0.196905247366
num_complete,-0.250694177642,0.237922667959
seek_video_sum,-0.271167543768,0.104839090579
pause_video_sum,-0.288381056762,0.131339261273
stop_video_sum,-0.215799908358,0.25319704631
video_sum_count,-0.212473034723,0.0973599580061
video_forward_seek_sum,-0.184028568303,0.00911276674991
video_backward_seek_sum,-0.221775881763,0.0445534983811
video_pause_sum,-0.259387791488,0.0604317316323
video_stop_sum,-0.214163444277,0.258621433347
mt_practice_sum,-0.175134515593,-0.378025258056
mt_unit_sum,-0.206218576606,-0.398768056111
mt_online_num_day,-0.210546726798,-0.372743883109
mt_online_practice_num_day,-0.206209246784,-0.397845602316
hw_mean,-0.139443686171,-0.233522095141
qz_mean,-0.121945212107,-0.253023141559
Regression P>|t|,0.003,0.009
