,comp 1,comp 2,comp 3
active_num_days,0.332651825779,0.191986078004,0.0759021575625
active_avg_count,0.273694960024,0.460895862018,-0.0944489386982
active_sum_count,0.311536750005,0.439095686978,-0.0475019488353
problem_sum_count,0.215321749623,0.310716500811,0.102155971461
video_pause_backward_seek_sum,0.267305383742,0.292906254934,-0.0905868118491
mt_practice_sum,0.357890066009,-0.26385867278,0.175229422921
mt_unit_sum,0.363182583426,-0.282169357071,0.148803516825
mt_online_num_day,0.363538261014,-0.285276447674,0.19204324407
mt_online_practice_num_day,0.373090644419,-0.276709488039,0.187710889227
hw_mean,0.192351452693,-0.180237930999,-0.641822841329
qz_mean,0.176692940552,-0.189459917762,-0.653849852697
Regression P>|t|,0.002,0.024,0.005
