evaluation_num,score,num_of_same,num_of_positive,num_of_negative,posi_error,nega_error,max_posi_error,min_nega_error,mean_posi_error_rate,mean_nega_error_rate,max_posi_error_rate,min_naga_error_rate
1,0 to 10,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
1,10 to 20,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
1,20 to 30,0,2,0,24.9871865594,,28.1136880728,0.0,0.974213613436,0.0,1.09349234044,0.0
1,30 to 40,0,1,0,20.9103162878,,20.9103162878,0.0,0.524462410028,0.0,0.524462410028,0.0
1,40 to 50,0,3,1,13.2398147318,-4.127063986,15.3270494699,-4.127063986,0.276150160559,-0.0869771124552,0.31752743878,-0.0869771124552
1,50 to 60,0,9,5,13.3805976143,-9.61844916578,24.4573831614,-23.1706668297,0.243754446593,-0.180433243098,0.462944977501,-0.440758357042
1,60 to 70,0,7,5,5.2113306267,-4.45031263336,16.8301991139,-10.4894310598,0.0822007527437,-0.0701275615385,0.273173171789,-0.171957886226
1,70 to 80,0,6,6,2.57960146752,-4.89391862518,4.9190612611,-8.2919001656,0.035536177456,-0.0644065756395,0.0665388761384,-0.108419196726
1,80 to 90,0,1,9,2.3318378951,-13.147697825,2.3318378951,-24.4995793669,0.0289741289153,-0.159792936807,0.0289741289153,-0.303927296451
1,90 to 100,0,0,3,,-14.8846334714,0.0,-17.6687512345,0.0,-0.156998156436,0.0,-0.186045606344
2,0 to 10,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
2,10 to 20,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
2,20 to 30,0,2,0,25.3349328945,,27.6378653479,0.0,0.987864057168,0.0,1.07498503881,0.0
2,30 to 40,0,1,0,20.9391639394,,20.9391639394,0.0,0.525185952832,0.0,0.525185952832,0.0
2,40 to 50,0,3,1,13.5521380236,-1.8362965851,15.381203112,-1.8362965851,0.283324498925,-0.0386996119094,0.326218517752,-0.0386996119094
2,50 to 60,0,10,4,12.8764522042,-9.71116669305,27.6111954927,-17.1101037538,0.235298297541,-0.181627795234,0.522642352692,-0.325472774468
2,60 to 70,0,7,5,6.18276927946,-4.91355354846,16.8606303263,-13.3033773154,0.0967520434199,-0.0779116619225,0.273667104793,-0.218088152711
2,70 to 80,0,7,5,2.99301914467,-5.9366318008,6.0316435836,-8.3266113374,0.0410905519475,-0.0781095522331,0.0860434177404,-0.114581138536
2,80 to 90,0,1,9,1.2137024536,-14.2869403317,1.2137024536,-26.9353881107,0.0150807958946,-0.173625953845,0.0150807958946,-0.334144499574
2,90 to 100,0,0,3,,-18.2502363676,0.0,-21.8919404817,0.0,-0.192590499583,0.0,-0.230514272736
3,0 to 10,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
3,10 to 20,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
3,20 to 30,0,2,0,27.0372979165,,31.1824207785,0.0,1.05406328853,0.0,1.21285183891,0.0
3,30 to 40,0,1,0,22.4249856924,,22.4249856924,0.0,0.562452613303,0.0,0.562452613303,0.0
3,40 to 50,0,3,1,15.9024342934,-2.4343268397,18.8399926368,-2.4343268397,0.332596490793,-0.0513029892455,0.39957566568,-0.0513029892455
3,50 to 60,0,7,7,18.4433327337,-7.95663145161,25.3352672844,-23.7562544703,0.33817995439,-0.149240766687,0.494875105797,-0.451897555075
3,60 to 70,0,7,5,6.11849464003,-4.81452343734,18.6090809147,-11.3527511214,0.0960569470231,-0.0751426214359,0.302046435882,-0.186110674121
3,70 to 80,0,5,7,3.7672567355,-5.36155045999,7.4742488659,-13.3760418385,0.0519706635978,-0.07119295552,0.106622665705,-0.184065526882
3,80 to 90,0,2,8,1.2536690896,-16.2261620657,1.7585926006,-28.2891726751,0.015293041237,-0.197242082284,0.0218512997092,-0.350938750466
3,90 to 100,0,0,3,,-16.3421081853,0.0,-20.2359664093,0.0,-0.172437918087,0.0,-0.213077460349
4,0 to 10,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
4,10 to 20,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
4,20 to 30,0,2,0,25.6501545567,,28.1368915282,0.0,1.00013871402,0.0,1.09439484746,0.0
4,30 to 40,0,1,0,18.2470547194,,18.2470547194,0.0,0.457663775255,0.0,0.457663775255,0.0
4,40 to 50,0,3,1,12.5596955113,-2.8047821784,14.0230475771,-2.8047821784,0.262270068289,-0.0591102671949,0.290693357734,-0.0591102671949
4,50 to 60,0,8,6,14.7656196943,-9.46661160168,22.5328763081,-23.779724786,0.269814786329,-0.176203557007,0.426516681963,-0.45234401343
