evaluation_num,kfold_split_num,label_val_predict,label_val_test,positive_error,negative_error,positive_error_rate,negative_error_rate
1.0,1.0,71.1808470496,58.21,12.9708470496,0.0,0.22282850111,0.0
1.0,1.0,65.4370657014,55.3,10.1370657014,0.0,0.183310410514,0.0
1.0,1.0,78.2893336044,88.14,0.0,-9.8506663956,0.0,-0.111761588332
1.0,1.0,47.5294563794,54.11,0.0,-6.5805436206,0.0,-0.121614186298
1.0,1.0,63.4692259218,82.94,0.0,-19.4707740782,0.0,-0.2347573436
1.0,1.0,67.2870364369,63.62,3.6670364369,0.0,0.0576396799261,0.0
1.0,2.0,50.5105689402,61.0,0.0,-10.4894310598,0.0,-0.171957886226
1.0,2.0,77.0827741434,76.68,0.4027741434,0.0,0.005252662277,0.0
1.0,2.0,67.4436980438,72.67,0.0,-5.2263019562,0.0,-0.0719182875492
1.0,2.0,47.430685046,25.57,21.860685046,0.0,0.854934886429,0.0
1.0,2.0,63.3437743581,67.13,0.0,-3.7862256419,0.0,-0.0564013949337
1.0,2.0,63.0515104191,68.02,0.0,-4.9684895809,0.0,-0.0730445395604
1.0,3.0,79.0390612611,74.12,4.9190612611,0.0,0.0663661799933,0.0
1.0,3.0,85.2509509217,85.72,0.0,-0.4690490783,0.0,-0.0054718744552
1.0,3.0,40.0018900163,50.89,0.0,-10.8881099837,0.0,-0.213953821649
1.0,3.0,77.2873831614,52.83,24.4573831614,0.0,0.462944977501,0.0
1.0,3.0,81.9157430426,93.69,0.0,-11.7742569574,0.0,-0.125672504615
1.0,3.0,60.2690782611,59.34,0.9290782611,0.0,0.01565686318,0.0
1.0,4.0,75.8696906986,66.43,9.4396906986,0.0,0.142099814822,0.0
1.0,4.0,67.6329501826,51.06,16.5729501826,0.0,0.324577951089,0.0
1.0,4.0,63.5970494699,48.27,15.3270494699,0.0,0.31752743878,0.0
1.0,4.0,60.7803162878,39.87,20.9103162878,0.0,0.524462410028,0.0
1.0,4.0,59.4911556191,60.32,0.0,-0.8288443809,0.0,-0.013740788808
