features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,6,12,1,36,0.763636363636
1,2,6,12,5,32,0.690909090909
1,3,7,11,5,32,0.709090909091
1,4,6,12,5,32,0.690909090909
1,5,7,11,9,28,0.636363636364
1,6,6,12,7,30,0.654545454545
1,7,8,10,8,29,0.672727272727
1,8,9,9,9,28,0.672727272727
1,9,10,8,10,27,0.672727272727
1,10,12,6,10,27,0.709090909091
1,11,11,7,8,29,0.727272727273
2,2,3,15,1,36,0.709090909091
2,3,4,14,5,32,0.654545454545
2,4,4,14,6,31,0.636363636364
2,5,7,11,8,29,0.654545454545
2,6,6,12,7,30,0.654545454545
2,7,8,10,7,30,0.690909090909
2,8,11,7,8,29,0.727272727273
2,9,13,5,10,27,0.727272727273
2,10,11,7,10,27,0.690909090909
2,11,11,7,8,29,0.727272727273
3,3,3,15,0,37,0.727272727273
3,4,4,14,3,34,0.690909090909
3,5,4,14,5,32,0.654545454545
3,6,5,13,6,31,0.654545454545
3,7,9,9,6,31,0.727272727273
3,8,9,9,10,27,0.654545454545
3,9,13,5,10,27,0.727272727273
3,10,12,6,10,27,0.709090909091
3,11,11,7,7,30,0.745454545455
4,4,3,15,1,36,0.709090909091
4,5,3,15,0,37,0.727272727273
4,6,4,14,4,33,0.672727272727
4,7,9,9,5,32,0.745454545455
4,8,10,8,9,28,0.690909090909
4,9,12,6,9,28,0.727272727273
4,10,11,7,9,28,0.709090909091
4,11,11,7,7,30,0.745454545455
5,5,0,18,0,37,0.672727272727
5,6,4,14,2,35,0.709090909091
5,7,9,9,8,29,0.690909090909
5,8,10,8,9,28,0.690909090909
5,9,11,7,9,28,0.709090909091
5,10,12,6,9,28,0.727272727273
5,11,11,7,7,30,0.745454545455
6,6,3,15,2,35,0.690909090909
6,7,7,11,5,32,0.709090909091
6,8,10,8,9,28,0.690909090909
6,9,11,7,9,28,0.709090909091
6,10,11,7,9,28,0.709090909091
6,11,11,7,7,30,0.745454545455
7,7,6,12,4,33,0.709090909091
7,8,10,8,7,30,0.727272727273
7,9,11,7,9,28,0.709090909091
7,10,12,6,8,29,0.745454545455
7,11,11,7,7,30,0.745454545455
8,8,2,16,4,33,0.636363636364
8,9,10,8,9,28,0.690909090909
8,10,7,11,7,30,0.672727272727
8,11,11,7,6,31,0.763636363636
9,9,9,9,7,30,0.709090909091
9,10,5,13,6,31,0.654545454545
9,11,8,10,5,32,0.727272727273
10,10,5,13,3,34,0.709090909091
10,11,8,10,4,33,0.745454545455
11,11,8,10,3,34,0.763636363636
