features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,2,15,2,35,0.6851851851851852
1,2,6,11,3,34,0.7407407407407407
1,3,9,8,9,28,0.6851851851851852
1,4,9,8,9,28,0.6851851851851852
1,5,10,7,10,27,0.6851851851851852
1,6,9,8,11,26,0.6481481481481481
1,7,10,7,13,24,0.6296296296296297
1,8,9,8,13,24,0.6111111111111112
1,9,10,7,13,24,0.6296296296296297
1,10,11,6,12,25,0.6666666666666666
1,11,12,5,10,27,0.7222222222222222
1,12,12,5,9,28,0.7407407407407407
1,13,11,6,9,28,0.7222222222222222
1,14,10,7,9,28,0.7037037037037037
1,15,11,6,8,29,0.7407407407407407
2,2,1,16,4,33,0.6296296296296297
2,3,7,10,10,27,0.6296296296296297
2,4,8,9,9,28,0.6666666666666666
2,5,9,8,9,28,0.6851851851851852
2,6,10,7,11,26,0.6666666666666666
2,7,10,7,12,25,0.6481481481481481
2,8,9,8,14,23,0.5925925925925926
2,9,10,7,14,23,0.6111111111111112
2,10,11,6,12,25,0.6666666666666666
2,11,11,6,10,27,0.7037037037037037
2,12,12,5,10,27,0.7222222222222222
2,13,11,6,8,29,0.7407407407407407
2,14,11,6,9,28,0.7222222222222222
2,15,11,6,8,29,0.7407407407407407
3,3,0,17,0,37,0.6851851851851852
3,4,5,12,5,32,0.6851851851851852
3,5,6,11,6,31,0.6851851851851852
3,6,7,10,10,27,0.6296296296296297
3,7,7,10,14,23,0.5555555555555556
3,8,8,9,13,24,0.5925925925925926
3,9,9,8,14,23,0.5925925925925926
3,10,9,8,13,24,0.6111111111111112
3,11,10,7,9,28,0.7037037037037037
3,12,11,6,9,28,0.7222222222222222
3,13,10,7,9,28,0.7037037037037037
3,14,10,7,9,28,0.7037037037037037
3,15,9,8,8,29,0.7037037037037037
4,4,1,16,0,37,0.7037037037037037
4,5,2,15,4,33,0.6481481481481481
4,6,4,13,5,32,0.6666666666666666
4,7,5,12,7,30,0.6481481481481481
4,8,7,10,13,24,0.5740740740740741
4,9,7,10,12,25,0.5925925925925926
4,10,8,9,12,25,0.6111111111111112
4,11,7,10,9,28,0.6481481481481481
4,12,9,8,9,28,0.6851851851851852
4,13,10,7,7,30,0.7407407407407407
4,14,10,7,6,31,0.7592592592592593
4,15,9,8,7,30,0.7222222222222222
5,5,2,15,1,36,0.7037037037037037
5,6,3,14,4,33,0.6666666666666666
5,7,5,12,9,28,0.6111111111111112
5,8,8,9,13,24,0.5925925925925926
5,9,8,9,14,23,0.5740740740740741
5,10,7,10,13,24,0.5740740740740741
5,11,7,10,8,29,0.6666666666666666
5,12,8,9,8,29,0.6851851851851852
5,13,9,8,7,30,0.7222222222222222
5,14,9,8,7,30,0.7222222222222222
5,15,9,8,8,29,0.7037037037037037
6,6,0,17,0,37,0.6851851851851852
6,7,4,13,9,28,0.5925925925925926
6,8,9,8,13,24,0.6111111111111112
6,9,10,7,13,24,0.6296296296296297
6,10,7,10,12,25,0.5925925925925926
6,11,7,10,8,29,0.6666666666666666
6,12,8,9,8,29,0.6851851851851852
6,13,9,8,7,30,0.7222222222222222
6,14,8,9,7,30,0.7037037037037037
6,15,9,8,7,30,0.7222222222222222
7,7,0,17,0,37,0.6851851851851852
7,8,8,9,11,26,0.6296296296296297
7,9,8,9,12,25,0.6111111111111112
7,10,6,11,10,27,0.6111111111111112
7,11,6,11,5,32,0.7037037037037037
7,12,9,8,5,32,0.7592592592592593
7,13,10,7,6,31,0.7592592592592593
7,14,9,8,6,31,0.7407407407407407
7,15,9,8,6,31,0.7407407407407407
8,8,0,17,0,37,0.6851851851851852
8,9,6,11,9,28,0.6296296296296297
8,10,4,13,5,32,0.6666666666666666
8,11,6,11,4,33,0.7222222222222222
8,12,6,11,4,33,0.7222222222222222
8,13,9,8,4,33,0.7777777777777778
8,14,6,11,6,31,0.6851851851851852
8,15,8,9,6,31,0.7222222222222222
9,9,1,16,0,37,0.7037037037037037
9,10,4,13,1,36,0.7407407407407407
9,11,3,14,2,35,0.7037037037037037
9,12,4,13,4,33,0.6851851851851852
9,13,5,12,4,33,0.7037037037037037
9,14,4,13,5,32,0.6666666666666666
9,15,5,12,4,33,0.7037037037037037
10,10,5,12,1,36,0.7592592592592593
10,11,4,13,2,35,0.7222222222222222
10,12,4,13,2,35,0.7222222222222222
10,13,5,12,3,34,0.7222222222222222
10,14,5,12,4,33,0.7037037037037037
10,15,4,13,5,32,0.6666666666666666
11,11,2,15,2,35,0.6851851851851852
11,12,5,12,2,35,0.7407407407407407
11,13,6,11,4,33,0.7222222222222222
11,14,5,12,4,33,0.7037037037037037
11,15,5,12,5,32,0.6851851851851852
12,12,3,14,1,36,0.7222222222222222
12,13,5,12,3,34,0.7222222222222222
12,14,3,14,5,32,0.6481481481481481
12,15,3,14,6,31,0.6296296296296297
13,13,2,15,1,36,0.7037037037037037
13,14,3,14,5,32,0.6481481481481481
13,15,4,13,6,31,0.6481481481481481
14,14,1,16,4,33,0.6296296296296297
14,15,2,15,5,32,0.6296296296296297
15,15,3,14,4,33,0.6666666666666666
