features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,0,13,0,35,0.7291666666666666
1,2,0,13,0,35,0.7291666666666666
1,3,6,7,7,28,0.7083333333333334
1,4,6,7,9,26,0.6666666666666666
1,5,7,6,9,26,0.6875
1,6,9,4,9,26,0.7291666666666666
1,7,8,5,8,27,0.7291666666666666
2,2,0,13,0,35,0.7291666666666666
2,3,7,6,7,28,0.7291666666666666
2,4,7,6,9,26,0.6875
2,5,7,6,9,26,0.6875
2,6,9,4,8,27,0.75
2,7,8,5,8,27,0.7291666666666666
3,3,1,12,1,34,0.7291666666666666
3,4,4,9,7,28,0.6666666666666666
3,5,6,7,9,26,0.6666666666666666
3,6,7,6,8,27,0.7083333333333334
3,7,7,6,4,31,0.7916666666666666
4,4,0,13,0,35,0.7291666666666666
4,5,4,9,7,28,0.6666666666666666
4,6,4,9,5,30,0.7083333333333334
4,7,5,8,4,31,0.75
5,5,0,13,0,35,0.7291666666666666
5,6,2,11,2,33,0.7291666666666666
5,7,5,8,4,31,0.75
6,6,2,11,2,33,0.7291666666666666
6,7,5,8,3,32,0.7708333333333334
7,7,5,8,2,33,0.7916666666666666
