features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,2,15,2,35,0.685185185185
1,2,5,12,4,33,0.703703703704
1,3,8,9,9,28,0.666666666667
1,4,9,8,11,26,0.648148148148
1,5,9,8,11,26,0.648148148148
1,6,9,8,14,23,0.592592592593
1,7,10,7,15,22,0.592592592593
1,8,10,7,15,22,0.592592592593
1,9,10,7,15,22,0.592592592593
1,10,11,6,17,20,0.574074074074
1,11,12,5,19,18,0.555555555556
1,12,13,4,17,20,0.611111111111
1,13,12,5,17,20,0.592592592593
1,14,14,3,17,20,0.62962962963
1,15,13,4,15,22,0.648148148148
1,16,13,4,15,22,0.648148148148
1,17,12,5,15,22,0.62962962963
1,18,14,3,14,23,0.685185185185
1,19,13,4,14,23,0.666666666667
1,20,13,4,12,25,0.703703703704
1,21,14,3,15,22,0.666666666667
2,2,0,17,0,37,0.685185185185
2,3,6,11,11,26,0.592592592593
2,4,9,8,12,25,0.62962962963
2,5,8,9,12,25,0.611111111111
2,6,10,7,14,23,0.611111111111
2,7,11,6,14,23,0.62962962963
2,8,11,6,14,23,0.62962962963
2,9,11,6,15,22,0.611111111111
2,10,10,7,19,18,0.518518518519
2,11,13,4,19,18,0.574074074074
2,12,13,4,18,19,0.592592592593
2,13,13,4,18,19,0.592592592593
2,14,14,3,17,20,0.62962962963
2,15,13,4,16,21,0.62962962963
2,16,13,4,15,22,0.648148148148
2,17,13,4,15,22,0.648148148148
2,18,14,3,14,23,0.685185185185
2,19,13,4,13,24,0.685185185185
2,20,13,4,12,25,0.703703703704
2,21,14,3,14,23,0.685185185185
3,3,0,17,0,37,0.685185185185
3,4,4,13,9,28,0.592592592593
3,5,4,13,9,28,0.592592592593
3,6,9,8,14,23,0.592592592593
3,7,11,6,15,22,0.611111111111
3,8,11,6,15,22,0.611111111111
3,9,11,6,16,21,0.592592592593
3,10,10,7,18,19,0.537037037037
3,11,10,7,18,19,0.537037037037
3,12,12,5,17,20,0.592592592593
3,13,12,5,17,20,0.592592592593
3,14,12,5,17,20,0.592592592593
3,15,13,4,17,20,0.611111111111
3,16,12,5,17,20,0.592592592593
3,17,12,5,15,22,0.62962962963
3,18,13,4,13,24,0.685185185185
3,19,12,5,12,25,0.685185185185
3,20,12,5,12,25,0.685185185185
3,21,12,5,15,22,0.62962962963
4,4,0,17,0,37,0.685185185185
4,5,2,15,6,31,0.611111111111
4,6,10,7,11,26,0.666666666667
4,7,11,6,15,22,0.611111111111
4,8,11,6,15,22,0.611111111111
4,9,10,7,16,21,0.574074074074
4,10,11,6,18,19,0.555555555556
4,11,12,5,18,19,0.574074074074
4,12,14,3,18,19,0.611111111111
4,13,12,5,17,20,0.592592592593
4,14,13,4,17,20,0.611111111111
4,15,12,5,17,20,0.592592592593
4,16,12,5,17,20,0.592592592593
