features_begin_index,features_mid_index,leaf_node_num,tn,fp,fn,tp,acc
1,1,3,10,7,4,33,0.7962962962962963
1,2,3,15,2,4,33,0.8888888888888888
1,3,3,15,2,5,32,0.8703703703703703
1,4,3,15,2,5,32,0.8703703703703703
1,5,3,15,2,5,32,0.8703703703703703
1,6,3,15,2,5,32,0.8703703703703703
1,7,3,15,2,5,32,0.8703703703703703
1,8,3,16,1,2,35,0.9444444444444444
1,9,3,16,1,2,35,0.9444444444444444
1,10,3,16,1,2,35,0.9444444444444444
1,11,3,15,2,3,34,0.9074074074074074
1,12,3,14,3,2,35,0.9074074074074074
1,13,3,16,1,2,35,0.9444444444444444
2,2,3,12,5,4,33,0.8333333333333334
2,3,3,14,3,4,33,0.8703703703703703
2,4,3,15,2,2,35,0.9259259259259259
2,5,3,15,2,2,35,0.9259259259259259
2,6,3,15,2,2,35,0.9259259259259259
2,7,3,15,2,4,33,0.8888888888888888
2,8,3,16,1,4,33,0.9074074074074074
2,9,3,16,1,4,33,0.9074074074074074
2,10,3,16,1,4,33,0.9074074074074074
2,11,3,16,1,3,34,0.9259259259259259
2,12,3,16,1,4,33,0.9074074074074074
2,13,3,15,2,4,33,0.8888888888888888
3,3,3,14,3,6,31,0.8333333333333334
3,4,3,16,1,4,33,0.9074074074074074
3,5,3,16,1,4,33,0.9074074074074074
3,6,3,16,1,4,33,0.9074074074074074
3,7,3,16,1,5,32,0.8888888888888888
3,8,3,16,1,4,33,0.9074074074074074
3,9,3,16,1,4,33,0.9074074074074074
3,10,3,16,1,4,33,0.9074074074074074
3,11,3,15,2,3,34,0.9074074074074074
3,12,3,16,1,4,33,0.9074074074074074
3,13,3,15,2,4,33,0.8888888888888888
4,4,3,15,2,8,29,0.8148148148148148
4,5,3,13,4,5,32,0.8333333333333334
4,6,3,14,3,6,31,0.8333333333333334
4,7,3,14,3,4,33,0.8703703703703703
4,8,3,16,1,4,33,0.9074074074074074
4,9,3,16,1,4,33,0.9074074074074074
4,10,3,16,1,4,33,0.9074074074074074
4,11,3,16,1,5,32,0.8888888888888888
4,12,3,16,1,5,32,0.8888888888888888
4,13,3,15,2,4,33,0.8888888888888888
5,5,3,13,4,5,32,0.8333333333333334
5,6,3,16,1,7,30,0.8518518518518519
5,7,3,16,1,6,31,0.8703703703703703
5,8,3,15,2,4,33,0.8888888888888888
5,9,3,16,1,4,33,0.9074074074074074
5,10,3,16,1,4,33,0.9074074074074074
5,11,3,16,1,4,33,0.9074074074074074
5,12,3,16,1,5,32,0.8888888888888888
5,13,3,16,1,4,33,0.9074074074074074
6,6,3,11,6,3,34,0.8333333333333334
6,7,3,11,6,3,34,0.8333333333333334
6,8,3,15,2,4,33,0.8888888888888888
6,9,3,15,2,4,33,0.8888888888888888
6,10,3,15,2,4,33,0.8888888888888888
6,11,3,14,3,3,34,0.8888888888888888
6,12,3,15,2,4,33,0.8888888888888888
6,13,3,16,1,4,33,0.9074074074074074
7,7,3,15,2,2,35,0.9259259259259259
7,8,3,15,2,4,33,0.8888888888888888
7,9,3,14,3,3,34,0.8888888888888888
7,10,3,14,3,3,34,0.8888888888888888
7,11,3,16,1,5,32,0.8888888888888888
7,12,3,14,3,4,33,0.8703703703703703
7,13,3,16,1,4,33,0.9074074074074074
8,8,3,11,6,6,31,0.7777777777777778
8,9,3,14,3,5,32,0.8518518518518519
8,10,3,14,3,5,32,0.8518518518518519
8,11,3,12,5,3,34,0.8518518518518519
8,12,3,14,3,5,32,0.8518518518518519
8,13,3,15,2,4,33,0.8888888888888888
9,9,3,13,4,7,30,0.7962962962962963
9,10,3,12,5,3,34,0.8518518518518519
9,11,3,11,6,2,35,0.8518518518518519
9,12,3,12,5,3,34,0.8518518518518519
9,13,3,13,4,2,35,0.8888888888888888
10,10,3,10,7,8,29,0.7222222222222222
10,11,3,12,5,6,31,0.7962962962962963
10,12,3,12,5,3,34,0.8518518518518519
10,13,3,13,4,1,36,0.9074074074074074
11,11,3,13,4,8,29,0.7777777777777778
11,12,3,12,5,2,35,0.8703703703703703
11,13,3,13,4,1,36,0.9074074074074074
12,12,3,12,5,4,33,0.8333333333333334
12,13,3,15,2,3,34,0.9074074074074074
13,13,3,13,4,5,32,0.8333333333333334
1,1,4,8,9,3,34,0.7777777777777778
1,2,4,13,4,3,34,0.8703703703703703
1,3,4,16,1,7,30,0.8518518518518519
1,4,4,16,1,7,30,0.8518518518518519
1,5,4,17,0,8,29,0.8518518518518519
1,6,4,16,1,5,32,0.8888888888888888
1,7,4,15,2,6,31,0.8518518518518519
1,8,4,15,2,4,33,0.8888888888888888
1,9,4,13,4,2,35,0.8888888888888888
1,10,4,13,4,2,35,0.8888888888888888
1,11,4,16,1,6,31,0.8703703703703703
1,12,4,16,1,6,31,0.8703703703703703
1,13,4,13,4,2,35,0.8888888888888888
2,2,4,12,5,4,33,0.8333333333333334
2,3,4,11,6,4,33,0.8148148148148148
2,4,4,11,6,3,34,0.8333333333333334
2,5,4,11,6,3,34,0.8333333333333334
2,6,4,13,4,3,34,0.8703703703703703
2,7,4,15,2,7,30,0.8333333333333334
2,8,4,13,4,4,33,0.8518518518518519
2,9,4,14,3,4,33,0.8703703703703703
2,10,4,13,4,3,34,0.8703703703703703
2,11,4,13,4,3,34,0.8703703703703703
2,12,4,16,1,7,30,0.8518518518518519
2,13,4,15,2,4,33,0.8888888888888888
3,3,4,13,4,6,31,0.8148148148148148
3,4,4,15,2,8,29,0.8148148148148148
3,5,4,13,4,6,31,0.8148148148148148
3,6,4,14,3,7,30,0.8148148148148148
3,7,4,15,2,7,30,0.8333333333333334
3,8,4,13,4,5,32,0.8333333333333334
3,9,4,13,4,3,34,0.8703703703703703
3,10,4,13,4,3,34,0.8703703703703703
3,11,4,13,4,3,34,0.8703703703703703
3,12,4,16,1,7,30,0.8518518518518519
3,13,4,15,2,4,33,0.8888888888888888
4,4,4,13,4,8,29,0.7777777777777778
4,5,4,14,3,8,29,0.7962962962962963
4,6,4,16,1,11,26,0.7777777777777778
4,7,4,13,4,5,32,0.8333333333333334
4,8,4,14,3,6,31,0.8333333333333334
4,9,4,13,4,3,34,0.8703703703703703
4,10,4,13,4,3,34,0.8703703703703703
4,11,4,13,4,3,34,0.8703703703703703
4,12,4,16,1,7,30,0.8518518518518519
4,13,4,15,2,4,33,0.8888888888888888
5,5,4,14,3,9,28,0.7777777777777778
5,6,4,16,1,7,30,0.8518518518518519
5,7,4,14,3,6,31,0.8333333333333334
5,8,4,14,3,6,31,0.8333333333333334
5,9,4,13,4,3,34,0.8703703703703703
5,10,4,13,4,3,34,0.8703703703703703
5,11,4,13,4,3,34,0.8703703703703703
5,12,4,16,1,7,30,0.8518518518518519
5,13,4,14,3,4,33,0.8703703703703703
6,6,4,13,4,7,30,0.7962962962962963
6,7,4,12,5,2,35,0.8703703703703703
6,8,4,16,1,9,28,0.8148148148148148
6,9,4,13,4,3,34,0.8703703703703703
6,10,4,13,4,3,34,0.8703703703703703
6,11,4,13,4,3,34,0.8703703703703703
6,12,4,16,1,7,30,0.8518518518518519
6,13,4,14,3,4,33,0.8703703703703703
7,7,4,15,2,2,35,0.9259259259259259
7,8,4,14,3,7,30,0.8148148148148148
7,9,4,14,3,4,33,0.8703703703703703
7,10,4,14,3,4,33,0.8703703703703703
7,11,4,14,3,4,33,0.8703703703703703
7,12,4,16,1,7,30,0.8518518518518519
7,13,4,14,3,4,33,0.8703703703703703
8,8,4,12,5,7,30,0.7777777777777778
8,9,4,15,2,8,29,0.8148148148148148
8,10,4,15,2,8,29,0.8148148148148148
8,11,4,15,2,8,29,0.8148148148148148
8,12,4,14,3,5,32,0.8518518518518519
8,13,4,14,3,4,33,0.8703703703703703
9,9,4,14,3,9,28,0.7777777777777778
9,10,4,10,7,3,34,0.8148148148148148
9,11,4,11,6,3,34,0.8333333333333334
9,12,4,12,5,3,34,0.8518518518518519
9,13,4,12,5,2,35,0.8703703703703703
10,10,4,9,8,7,30,0.7222222222222222
10,11,4,9,8,5,32,0.7592592592592593
10,12,4,12,5,3,34,0.8518518518518519
10,13,4,13,4,1,36,0.9074074074074074
11,11,4,11,6,8,29,0.7407407407407407
11,12,4,12,5,2,35,0.8703703703703703
11,13,4,13,4,1,36,0.9074074074074074
12,12,4,12,5,4,33,0.8333333333333334
12,13,4,12,5,2,35,0.8703703703703703
13,13,4,13,4,6,31,0.8148148148148148
1,1,5,6,11,1,36,0.7777777777777778
1,2,5,14,3,6,31,0.8333333333333334
1,3,5,13,4,4,33,0.8518518518518519
1,4,5,13,4,4,33,0.8518518518518519
1,5,5,13,4,4,33,0.8518518518518519
1,6,5,16,1,6,31,0.8703703703703703
1,7,5,13,4,4,33,0.8518518518518519
1,8,5,12,5,2,35,0.8703703703703703
1,9,5,11,6,0,37,0.8888888888888888
1,10,5,11,6,0,37,0.8888888888888888
1,11,5,14,3,4,33,0.8703703703703703
1,12,5,14,3,4,33,0.8703703703703703
1,13,5,11,6,0,37,0.8888888888888888
2,2,5,12,5,5,32,0.8148148148148148
2,3,5,9,8,3,34,0.7962962962962963
2,4,5,9,8,3,34,0.7962962962962963
2,5,5,9,8,3,34,0.7962962962962963
2,6,5,12,5,5,32,0.8148148148148148
2,7,5,11,6,6,31,0.7777777777777778
2,8,5,9,8,1,36,0.8333333333333334
2,9,5,12,5,3,34,0.8518518518518519
2,10,5,12,5,3,34,0.8518518518518519
2,11,5,12,5,3,34,0.8518518518518519
2,12,5,12,5,3,34,0.8518518518518519
2,13,5,12,5,2,35,0.8703703703703703
3,3,5,11,6,5,32,0.7962962962962963
3,4,5,8,9,4,33,0.7592592592592593
3,5,5,8,9,4,33,0.7592592592592593
3,6,5,9,8,4,33,0.7777777777777778
3,7,5,11,6,6,31,0.7777777777777778
3,8,5,9,8,1,36,0.8333333333333334
3,9,5,12,5,3,34,0.8518518518518519
3,10,5,12,5,3,34,0.8518518518518519
3,11,5,12,5,3,34,0.8518518518518519
3,12,5,12,5,3,34,0.8518518518518519
3,13,5,12,5,2,35,0.8703703703703703
4,4,5,11,6,6,31,0.7777777777777778
4,5,5,9,8,5,32,0.7592592592592593
4,6,5,11,6,7,30,0.7592592592592593
4,7,5,8,9,2,35,0.7962962962962963
4,8,5,10,7,3,34,0.8148148148148148
4,9,5,12,5,3,34,0.8518518518518519
4,10,5,12,5,3,34,0.8518518518518519
4,11,5,12,5,3,34,0.8518518518518519
