features_begin_index,features_mid_index,leaf_node_num,tn,fp,fn,tp,acc
1,1,3,14,7,5,33,0.796610169492
1,2,3,17,4,4,34,0.864406779661
1,3,3,17,4,4,34,0.864406779661
1,4,3,19,2,4,34,0.898305084746
1,5,3,19,2,4,34,0.898305084746
1,6,3,18,3,1,37,0.932203389831
1,7,3,18,3,1,37,0.932203389831
1,8,3,18,3,1,37,0.932203389831
1,9,3,18,3,1,37,0.932203389831
1,10,3,19,2,2,36,0.932203389831
1,11,3,19,2,2,36,0.932203389831
1,12,3,19,2,3,35,0.915254237288
1,13,3,19,2,3,35,0.915254237288
1,14,3,20,1,5,33,0.898305084746
1,15,3,18,3,3,35,0.898305084746
1,16,3,18,3,1,37,0.932203389831
1,17,3,18,3,3,35,0.898305084746
1,18,3,19,2,3,35,0.915254237288
1,19,3,19,2,3,35,0.915254237288
1,20,3,19,2,2,36,0.932203389831
1,21,3,19,2,2,36,0.932203389831
2,2,3,18,3,6,32,0.847457627119
2,3,3,17,4,4,34,0.864406779661
2,4,3,17,4,2,36,0.898305084746
2,5,3,17,4,2,36,0.898305084746
2,6,3,18,3,1,37,0.932203389831
2,7,3,18,3,1,37,0.932203389831
2,8,3,18,3,2,36,0.915254237288
2,9,3,18,3,1,37,0.932203389831
2,10,3,19,2,2,36,0.932203389831
2,11,3,19,2,2,36,0.932203389831
2,12,3,19,2,3,35,0.915254237288
2,13,3,19,2,3,35,0.915254237288
2,14,3,17,4,3,35,0.881355932203
2,15,3,18,3,1,37,0.932203389831
2,16,3,18,3,1,37,0.932203389831
2,17,3,18,3,1,37,0.932203389831
2,18,3,19,2,2,36,0.932203389831
2,19,3,19,2,3,35,0.915254237288
2,20,3,19,2,2,36,0.932203389831
2,21,3,19,2,2,36,0.932203389831
3,3,3,9,12,5,33,0.71186440678
3,4,3,14,7,6,32,0.779661016949
3,5,3,16,5,4,34,0.847457627119
3,6,3,19,2,5,33,0.881355932203
3,7,3,18,3,4,34,0.881355932203
3,8,3,18,3,4,34,0.881355932203
3,9,3,18,3,4,34,0.881355932203
3,10,3,18,3,4,34,0.881355932203
3,11,3,19,2,5,33,0.881355932203
3,12,3,17,4,3,35,0.881355932203
3,13,3,17,4,3,35,0.881355932203
3,14,3,17,4,3,35,0.881355932203
3,15,3,18,3,1,37,0.932203389831
3,16,3,18,3,1,37,0.932203389831
3,17,3,18,3,1,37,0.932203389831
3,18,3,19,2,2,36,0.932203389831
3,19,3,19,2,2,36,0.932203389831
3,20,3,19,2,2,36,0.932203389831
3,21,3,19,2,2,36,0.932203389831
4,4,3,13,8,7,31,0.745762711864
4,5,3,14,7,4,34,0.813559322034
4,6,3,19,2,5,33,0.881355932203
4,7,3,19,2,5,33,0.881355932203
4,8,3,19,2,5,33,0.881355932203
4,9,3,19,2,5,33,0.881355932203
4,10,3,19,2,5,33,0.881355932203
4,11,3,19,2,5,33,0.881355932203
4,12,3,18,3,4,34,0.881355932203
4,13,3,18,3,4,34,0.881355932203
4,14,3,17,4,3,35,0.881355932203
4,15,3,17,4,1,37,0.915254237288
4,16,3,17,4,1,37,0.915254237288
4,17,3,17,4,1,37,0.915254237288
4,18,3,19,2,3,35,0.915254237288
4,19,3,19,2,3,35,0.915254237288
4,20,3,19,2,2,36,0.932203389831
4,21,3,19,2,2,36,0.932203389831
5,5,3,13,8,7,31,0.745762711864
5,6,3,16,5,4,34,0.847457627119
5,7,3,18,3,6,32,0.847457627119
5,8,3,18,3,6,32,0.847457627119
5,9,3,18,3,6,32,0.847457627119
5,10,3,18,3,6,32,0.847457627119
5,11,3,18,3,4,34,0.881355932203
5,12,3,18,3,4,34,0.881355932203
5,13,3,18,3,4,34,0.881355932203
5,14,3,18,3,3,35,0.898305084746
5,15,3,17,4,1,37,0.915254237288
5,16,3,17,4,1,37,0.915254237288
5,17,3,17,4,1,37,0.915254237288
5,18,3,19,2,3,35,0.915254237288
5,19,3,19,2,2,36,0.932203389831
5,20,3,19,2,2,36,0.932203389831
5,21,3,19,2,2,36,0.932203389831
6,6,3,15,6,7,31,0.779661016949
6,7,3,19,2,7,31,0.847457627119
6,8,3,18,3,6,32,0.847457627119
6,9,3,18,3,6,32,0.847457627119
6,10,3,18,3,6,32,0.847457627119
6,11,3,18,3,6,32,0.847457627119
6,12,3,16,5,3,35,0.864406779661
6,13,3,16,5,3,35,0.864406779661
6,14,3,18,3,4,34,0.881355932203
6,15,3,17,4,1,37,0.915254237288
6,16,3,17,4,1,37,0.915254237288
6,17,3,17,4,1,37,0.915254237288
6,18,3,19,2,2,36,0.932203389831
6,19,3,19,2,3,35,0.915254237288
6,20,3,19,2,2,36,0.932203389831
6,21,3,19,2,3,35,0.915254237288
7,7,3,15,6,6,32,0.796610169492
7,8,3,16,5,6,32,0.813559322034
7,9,3,19,2,8,30,0.830508474576
7,10,3,18,3,5,33,0.864406779661
7,11,3,18,3,5,33,0.864406779661
7,12,3,16,5,4,34,0.847457627119
7,13,3,16,5,4,34,0.847457627119
7,14,3,17,4,2,36,0.898305084746
7,15,3,17,4,1,37,0.915254237288
7,16,3,17,4,1,37,0.915254237288
7,17,3,17,4,1,37,0.915254237288
7,18,3,19,2,2,36,0.932203389831
7,19,3,19,2,2,36,0.932203389831
7,20,3,19,2,3,35,0.915254237288
7,21,3,19,2,2,36,0.932203389831
8,8,3,15,6,12,26,0.694915254237
8,9,3,18,3,9,29,0.796610169492
8,10,3,18,3,5,33,0.864406779661
8,11,3,18,3,5,33,0.864406779661
8,12,3,17,4,5,33,0.847457627119
8,13,3,17,4,5,33,0.847457627119
8,14,3,18,3,3,35,0.898305084746
8,15,3,18,3,2,36,0.915254237288
8,16,3,18,3,2,36,0.915254237288
8,17,3,18,3,2,36,0.915254237288
8,18,3,19,2,3,35,0.915254237288
8,19,3,19,2,3,35,0.915254237288
8,20,3,19,2,2,36,0.932203389831
8,21,3,19,2,2,36,0.932203389831
9,9,3,15,6,7,31,0.779661016949
9,10,3,16,5,8,30,0.779661016949
9,11,3,17,4,8,30,0.796610169492
9,12,3,19,2,6,32,0.864406779661
9,13,3,17,4,5,33,0.847457627119
9,14,3,18,3,3,35,0.898305084746
9,15,3,18,3,2,36,0.915254237288
9,16,3,18,3,2,36,0.915254237288
9,17,3,18,3,2,36,0.915254237288
9,18,3,19,2,2,36,0.932203389831
9,19,3,19,2,2,36,0.932203389831
9,20,3,19,2,2,36,0.932203389831
9,21,3,19,2,2,36,0.932203389831
10,10,3,17,4,7,31,0.813559322034
10,11,3,16,5,8,30,0.779661016949
10,12,3,16,5,4,34,0.847457627119
10,13,3,17,4,6,32,0.830508474576
10,14,3,18,3,4,34,0.881355932203
10,15,3,19,2,4,34,0.898305084746
10,16,3,19,2,4,34,0.898305084746
10,17,3,19,2,4,34,0.898305084746
10,18,3,19,2,3,35,0.915254237288
10,19,3,19,2,3,35,0.915254237288
10,20,3,19,2,3,35,0.915254237288
10,21,3,19,2,3,35,0.915254237288
11,11,3,12,9,6,32,0.745762711864
11,12,3,17,4,6,32,0.830508474576
11,13,3,17,4,6,32,0.830508474576
11,14,3,18,3,4,34,0.881355932203
11,15,3,18,3,4,34,0.881355932203
11,16,3,18,3,4,34,0.881355932203
11,17,3,18,3,4,34,0.881355932203
11,18,3,19,2,3,35,0.915254237288
11,19,3,19,2,3,35,0.915254237288
11,20,3,19,2,3,35,0.915254237288
11,21,3,19,2,3,35,0.915254237288
12,12,3,16,5,6,32,0.813559322034
12,13,3,18,3,7,31,0.830508474576
12,14,3,18,3,5,33,0.864406779661
12,15,3,16,5,3,35,0.864406779661
12,16,3,16,5,3,35,0.864406779661
12,17,3,16,5,3,35,0.864406779661
12,18,3,18,3,3,35,0.898305084746
12,19,3,17,4,3,35,0.881355932203
12,20,3,18,3,3,35,0.898305084746
12,21,3,18,3,3,35,0.898305084746
13,13,3,16,5,13,25,0.694915254237
13,14,3,17,4,8,30,0.796610169492
13,15,3,18,3,7,31,0.830508474576
13,16,3,18,3,6,32,0.847457627119
13,17,3,18,3,6,32,0.847457627119
13,18,3,18,3,4,34,0.881355932203
13,19,3,17,4,2,36,0.898305084746
13,20,3,18,3,3,35,0.898305084746
13,21,3,18,3,3,35,0.898305084746
14,14,3,16,5,4,34,0.847457627119
14,15,3,19,2,9,29,0.813559322034
14,16,3,18,3,6,32,0.847457627119
14,17,3,20,1,8,30,0.847457627119
14,18,3,18,3,5,33,0.864406779661
14,19,3,17,4,3,35,0.881355932203
14,20,3,18,3,4,34,0.881355932203
14,21,3,18,3,4,34,0.881355932203
15,15,3,15,6,7,31,0.779661016949
15,16,3,16,5,6,32,0.813559322034
15,17,3,16,5,6,32,0.813559322034
15,18,3,17,4,4,34,0.864406779661
15,19,3,16,5,2,36,0.881355932203
15,20,3,17,4,3,35,0.881355932203
15,21,3,17,4,3,35,0.881355932203
16,16,3,7,14,2,36,0.728813559322
16,17,3,16,5,8,30,0.779661016949
16,18,3,19,2,7,31,0.847457627119
16,19,3,20,1,7,31,0.864406779661
16,20,3,19,2,5,33,0.881355932203
16,21,3,19,2,5,33,0.881355932203
17,17,3,14,7,8,30,0.745762711864
17,18,3,19,2,7,31,0.847457627119
17,19,3,20,1,7,31,0.864406779661
17,20,3,19,2,5,33,0.881355932203
17,21,3,19,2,5,33,0.881355932203
18,18,3,17,4,5,33,0.847457627119
18,19,3,18,3,4,34,0.881355932203
18,20,3,17,4,2,36,0.898305084746
18,21,3,17,4,2,36,0.898305084746
19,19,3,16,5,4,34,0.847457627119
19,20,3,18,3,3,35,0.898305084746
19,21,3,18,3,3,35,0.898305084746
20,20,3,15,6,7,31,0.779661016949
20,21,3,15,6,7,31,0.779661016949
21,21,3,0,21,0,38,0.64406779661
1,1,4,15,6,7,31,0.779661016949
1,2,4,15,6,4,34,0.830508474576
1,3,4,15,6,4,34,0.830508474576
1,4,4,18,3,4,34,0.881355932203
1,5,4,18,3,4,34,0.881355932203
1,6,4,18,3,2,36,0.915254237288
1,7,4,19,2,3,35,0.915254237288
1,8,4,18,3,2,36,0.915254237288
1,9,4,19,2,3,35,0.915254237288
1,10,4,18,3,2,36,0.915254237288
1,11,4,18,3,2,36,0.915254237288
1,12,4,17,4,2,36,0.898305084746
1,13,4,16,5,2,36,0.881355932203
1,14,4,19,2,5,33,0.881355932203
1,15,4,16,5,3,35,0.864406779661
1,16,4,16,5,3,35,0.864406779661
1,17,4,16,5,3,35,0.864406779661
1,18,4,17,4,7,31,0.813559322034
1,19,4,17,4,7,31,0.813559322034
1,20,4,19,2,9,29,0.813559322034
1,21,4,19,2,9,29,0.813559322034
2,2,4,16,5,7,31,0.796610169492
2,3,4,17,4,7,31,0.813559322034
2,4,4,18,3,4,34,0.881355932203
2,5,4,18,3,4,34,0.881355932203
2,6,4,18,3,2,36,0.915254237288
2,7,4,18,3,2,36,0.915254237288
2,8,4,18,3,4,34,0.881355932203
2,9,4,18,3,2,36,0.915254237288
2,10,4,18,3,2,36,0.915254237288
2,11,4,18,3,2,36,0.915254237288
2,12,4,16,5,2,36,0.881355932203
2,13,4,16,5,2,36,0.881355932203
2,14,4,17,4,3,35,0.881355932203
2,15,4,16,5,3,35,0.864406779661
2,16,4,16,5,3,35,0.864406779661
2,17,4,16,5,3,35,0.864406779661
2,18,4,17,4,7,31,0.813559322034
2,19,4,17,4,7,31,0.813559322034
2,20,4,19,2,9,29,0.813559322034
2,21,4,19,2,9,29,0.813559322034
3,3,4,9,12,5,33,0.71186440678
3,4,4,12,9,4,34,0.779661016949
3,5,4,13,8,3,35,0.813559322034
3,6,4,18,3,6,32,0.847457627119
3,7,4,19,2,7,31,0.847457627119
3,8,4,19,2,7,31,0.847457627119
3,9,4,19,2,7,31,0.847457627119
3,10,4,19,2,7,31,0.847457627119
3,11,4,19,2,7,31,0.847457627119
3,12,4,18,3,5,33,0.864406779661
3,13,4,18,3,5,33,0.864406779661
3,14,4,17,4,3,35,0.881355932203
3,15,4,18,3,5,33,0.864406779661
3,16,4,16,5,3,35,0.864406779661
3,17,4,18,3,5,33,0.864406779661
3,18,4,20,1,8,30,0.847457627119
3,19,4,19,2,9,29,0.813559322034
3,20,4,19,2,9,29,0.813559322034
3,21,4,17,4,7,31,0.813559322034
4,4,4,11,10,5,33,0.745762711864
4,5,4,12,9,3,35,0.796610169492
4,6,4,16,5,4,34,0.847457627119
4,7,4,16,5,4,34,0.847457627119
4,8,4,18,3,6,32,0.847457627119
4,9,4,18,3,6,32,0.847457627119
4,10,4,18,3,6,32,0.847457627119
4,11,4,18,3,6,32,0.847457627119
4,12,4,16,5,5,33,0.830508474576
4,13,4,16,5,5,33,0.830508474576
4,14,4,17,4,3,35,0.881355932203
4,15,4,17,4,5,33,0.847457627119
4,16,4,15,6,3,35,0.847457627119
4,17,4,15,6,3,35,0.847457627119
4,18,4,17,4,7,31,0.813559322034
4,19,4,17,4,7,31,0.813559322034
4,20,4,19,2,9,29,0.813559322034
4,21,4,17,4,7,31,0.813559322034
5,5,4,13,8,7,31,0.745762711864
5,6,4,16,5,5,33,0.830508474576
5,7,4,17,4,6,32,0.830508474576
5,8,4,18,3,7,31,0.830508474576
5,9,4,18,3,7,31,0.830508474576
5,10,4,18,3,7,31,0.830508474576
5,11,4,18,3,7,31,0.830508474576
5,12,4,16,5,5,33,0.830508474576
5,13,4,16,5,5,33,0.830508474576
5,14,4,19,2,5,33,0.881355932203
5,15,4,17,4,5,33,0.847457627119
5,16,4,15,6,3,35,0.847457627119
5,17,4,15,6,3,35,0.847457627119
5,18,4,19,2,9,29,0.813559322034
5,19,4,17,4,7,31,0.813559322034
5,20,4,19,2,9,29,0.813559322034
5,21,4,17,4,7,31,0.813559322034
6,6,4,13,8,6,32,0.762711864407
6,7,4,15,6,7,31,0.779661016949
6,8,4,18,3,7,31,0.830508474576
6,9,4,18,3,7,31,0.830508474576
6,10,4,18,3,8,30,0.813559322034
6,11,4,18,3,8,30,0.813559322034
6,12,4,20,1,9,29,0.830508474576
6,13,4,20,1,9,29,0.830508474576
6,14,4,17,4,5,33,0.847457627119
6,15,4,15,6,3,35,0.847457627119
6,16,4,17,4,5,33,0.847457627119
6,17,4,15,6,3,35,0.847457627119
6,18,4,17,4,7,31,0.813559322034
6,19,4,19,2,9,29,0.813559322034
6,20,4,17,4,7,31,0.813559322034
6,21,4,19,2,9,29,0.813559322034
7,7,4,16,5,8,30,0.779661016949
7,8,4,16,5,7,31,0.796610169492
7,9,4,18,3,8,30,0.813559322034
7,10,4,16,5,6,32,0.813559322034
7,11,4,16,5,6,32,0.813559322034
7,12,4,16,5,5,33,0.830508474576
7,13,4,16,5,5,33,0.830508474576
7,14,4,18,3,4,34,0.881355932203
7,15,4,15,6,3,35,0.847457627119
7,16,4,17,4,5,33,0.847457627119
7,17,4,17,4,5,33,0.847457627119
7,18,4,17,4,7,31,0.813559322034
7,19,4,19,2,9,29,0.813559322034
7,20,4,19,2,9,29,0.813559322034
7,21,4,19,2,9,29,0.813559322034
8,8,4,14,7,11,27,0.694915254237
8,9,4,15,6,7,31,0.779661016949
8,10,4,13,8,5,33,0.779661016949
8,11,4,16,5,8,30,0.779661016949
8,12,4,16,5,6,32,0.813559322034
8,13,4,16,5,6,32,0.813559322034
8,14,4,17,4,5,33,0.847457627119
8,15,4,17,4,6,32,0.830508474576
8,16,4,15,6,4,34,0.830508474576
8,17,4,15,6,4,34,0.830508474576
8,18,4,20,1,8,30,0.847457627119
8,19,4,19,2,9,29,0.813559322034
8,20,4,19,2,9,29,0.813559322034
8,21,4,17,4,7,31,0.813559322034
9,9,4,12,9,6,32,0.745762711864
9,10,4,16,5,9,29,0.762711864407
9,11,4,17,4,9,29,0.779661016949
9,12,4,19,2,8,30,0.830508474576
9,13,4,19,2,8,30,0.830508474576
9,14,4,21,0,7,31,0.881355932203
9,15,4,15,6,4,34,0.830508474576
9,16,4,15,6,4,34,0.830508474576
9,17,4,15,6,4,34,0.830508474576
9,18,4,17,4,7,31,0.813559322034
9,19,4,17,4,7,31,0.813559322034
9,20,4,17,4,7,31,0.813559322034
9,21,4,17,4,7,31,0.813559322034
10,10,4,15,6,7,31,0.779661016949
10,11,4,18,3,11,27,0.762711864407
10,12,4,17,4,6,32,0.830508474576
10,13,4,17,4,6,32,0.830508474576
10,14,4,18,3,4,34,0.881355932203
10,15,4,15,6,4,34,0.830508474576
10,16,4,15,6,4,34,0.830508474576
10,17,4,15,6,4,34,0.830508474576
10,18,4,19,2,9,29,0.813559322034
10,19,4,19,2,9,29,0.813559322034
10,20,4,17,4,7,31,0.813559322034
10,21,4,17,4,7,31,0.813559322034
11,11,4,12,9,7,31,0.728813559322
11,12,4,15,6,5,33,0.813559322034
11,13,4,17,4,7,31,0.813559322034
11,14,4,19,2,5,33,0.881355932203
11,15,4,15,6,4,34,0.830508474576
11,16,4,15,6,4,34,0.830508474576
11,17,4,15,6,4,34,0.830508474576
11,18,4,19,2,9,29,0.813559322034
11,19,4,19,2,9,29,0.813559322034
11,20,4,17,4,7,31,0.813559322034
11,21,4,17,4,7,31,0.813559322034
12,12,4,15,6,6,32,0.796610169492
12,13,4,14,7,6,32,0.779661016949
12,14,4,17,4,6,32,0.830508474576
12,15,4,15,6,4,34,0.830508474576
12,16,4,15,6,4,34,0.830508474576
12,17,4,15,6,4,34,0.830508474576
12,18,4,19,2,9,29,0.813559322034
12,19,4,19,2,9,29,0.813559322034
12,20,4,18,3,6,32,0.847457627119
12,21,4,18,3,6,32,0.847457627119
13,13,4,16,5,14,24,0.677966101695
13,14,4,17,4,10,28,0.762711864407
13,15,4,18,3,10,28,0.779661016949
13,16,4,17,4,7,31,0.813559322034
13,17,4,17,4,7,31,0.813559322034
13,18,4,19,2,9,29,0.813559322034
13,19,4,19,2,9,29,0.813559322034
13,20,4,16,5,4,34,0.847457627119
13,21,4,18,3,6,32,0.847457627119
14,14,4,15,6,5,33,0.813559322034
14,15,4,18,3,10,28,0.779661016949
14,16,4,17,4,7,31,0.813559322034
14,17,4,17,4,7,31,0.813559322034
14,18,4,19,2,9,29,0.813559322034
14,19,4,19,2,9,29,0.813559322034
14,20,4,16,5,4,34,0.847457627119
14,21,4,16,5,4,34,0.847457627119
15,15,4,15,6,7,31,0.779661016949
15,16,4,14,7,4,34,0.813559322034
15,17,4,14,7,4,34,0.813559322034
15,18,4,18,3,6,32,0.847457627119
15,19,4,18,3,6,32,0.847457627119
15,20,4,19,2,7,31,0.847457627119
15,21,4,19,2,7,31,0.847457627119
16,16,4,7,14,2,36,0.728813559322
16,17,4,15,6,7,31,0.779661016949
16,18,4,18,3,7,31,0.830508474576
16,19,4,19,2,6,32,0.864406779661
16,20,4,18,3,7,31,0.830508474576
16,21,4,18,3,7,31,0.830508474576
17,17,4,14,7,8,30,0.745762711864
17,18,4,18,3,7,31,0.830508474576
17,19,4,19,2,6,32,0.864406779661
17,20,4,18,3,7,31,0.830508474576
17,21,4,18,3,7,31,0.830508474576
18,18,4,18,3,7,31,0.830508474576
18,19,4,19,2,6,32,0.864406779661
18,20,4,18,3,7,31,0.830508474576
18,21,4,18,3,7,31,0.830508474576
19,19,4,17,4,7,31,0.813559322034
19,20,4,17,4,2,36,0.898305084746
19,21,4,17,4,2,36,0.898305084746
20,20,4,13,8,5,33,0.779661016949
20,21,4,13,8,5,33,0.779661016949
21,21,4,0,21,0,38,0.64406779661
1,1,5,15,6,10,28,0.728813559322
1,2,5,10,11,1,37,0.796610169492
1,3,5,10,11,1,37,0.796610169492
1,4,5,18,3,4,34,0.881355932203
1,5,5,18,3,4,34,0.881355932203
1,6,5,15,6,1,37,0.881355932203
1,7,5,19,2,5,33,0.881355932203
1,8,5,15,6,1,37,0.881355932203
1,9,5,19,2,5,33,0.881355932203
1,10,5,18,3,3,35,0.898305084746
1,11,5,18,3,3,35,0.898305084746
1,12,5,17,4,3,35,0.881355932203
1,13,5,16,5,3,35,0.864406779661
1,14,5,19,2,5,33,0.881355932203
1,15,5,15,6,3,35,0.847457627119
1,16,5,17,4,6,32,0.830508474576
1,17,5,15,6,3,35,0.847457627119
1,18,5,15,6,3,35,0.847457627119
1,19,5,15,6,3,35,0.847457627119
1,20,5,15,6,3,35,0.847457627119
1,21,5,15,6,3,35,0.847457627119
2,2,5,13,8,4,34,0.796610169492
2,3,5,14,7,4,34,0.813559322034
2,4,5,18,3,4,34,0.881355932203
2,5,5,18,3,4,34,0.881355932203
2,6,5,15,6,1,37,0.881355932203
2,7,5,15,6,1,37,0.881355932203
2,8,5,14,7,1,37,0.864406779661
2,9,5,15,6,1,37,0.881355932203
2,10,5,18,3,3,35,0.898305084746
2,11,5,18,3,3,35,0.898305084746
2,12,5,16,5,3,35,0.864406779661
2,13,5,16,5,3,35,0.864406779661
2,14,5,18,3,6,32,0.847457627119
2,15,5,16,5,5,33,0.830508474576
2,16,5,16,5,5,33,0.830508474576
2,17,5,16,5,5,33,0.830508474576
2,18,5,16,5,5,33,0.830508474576
2,19,5,16,5,5,33,0.830508474576
2,20,5,16,5,5,33,0.830508474576
2,21,5,16,5,5,33,0.830508474576
