features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,0,13,0,35,0.7291666666666666
1,2,4,9,2,33,0.7708333333333334
1,3,2,11,3,32,0.7083333333333334
1,4,3,10,3,32,0.7291666666666666
1,5,2,11,3,32,0.7083333333333334
1,6,3,10,2,33,0.75
1,7,3,10,2,33,0.75
2,2,4,9,4,31,0.7291666666666666
2,3,1,12,1,34,0.7291666666666666
2,4,3,10,1,34,0.7708333333333334
2,5,2,11,1,34,0.75
2,6,5,8,5,30,0.7291666666666666
2,7,7,6,3,32,0.8125
3,3,2,11,1,34,0.75
3,4,2,11,2,33,0.7291666666666666
3,5,2,11,2,33,0.7291666666666666
3,6,5,8,5,30,0.7291666666666666
3,7,7,6,2,33,0.8333333333333334
4,4,3,10,2,33,0.75
4,5,2,11,2,33,0.7291666666666666
4,6,5,8,5,30,0.7291666666666666
4,7,6,7,3,32,0.7916666666666666
5,5,2,11,1,34,0.75
5,6,6,7,5,30,0.75
5,7,5,8,3,32,0.7708333333333334
6,6,5,8,4,31,0.75
6,7,2,11,0,35,0.7708333333333334
7,7,3,10,0,35,0.7916666666666666
