features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,6,11,3,34,0.7407407407407407
1,2,3,14,1,36,0.7222222222222222
1,3,4,13,2,35,0.7222222222222222
1,4,3,14,2,35,0.7037037037037037
1,5,4,13,3,34,0.7037037037037037
1,6,5,12,5,32,0.6851851851851852
1,7,3,14,7,30,0.6111111111111112
1,8,5,12,8,29,0.6296296296296297
1,9,11,6,6,31,0.7777777777777778
1,10,11,6,7,30,0.7592592592592593
1,11,11,6,9,28,0.7222222222222222
1,12,11,6,9,28,0.7222222222222222
1,13,11,6,6,31,0.7777777777777778
2,2,8,9,7,30,0.7037037037037037
2,3,7,10,2,35,0.7777777777777778
2,4,5,12,5,32,0.6851851851851852
2,5,4,13,4,33,0.6851851851851852
2,6,6,11,8,29,0.6481481481481481
2,7,7,10,10,27,0.6296296296296297
2,8,13,4,9,28,0.7592592592592593
2,9,12,5,9,28,0.7407407407407407
2,10,10,7,10,27,0.6851851851851852
2,11,12,5,11,26,0.7037037037037037
2,12,13,4,9,28,0.7592592592592593
2,13,12,5,9,28,0.7407407407407407
3,3,8,9,5,32,0.7407407407407407
3,4,4,13,5,32,0.6666666666666666
3,5,6,11,6,31,0.6851851851851852
3,6,5,12,4,33,0.7037037037037037
3,7,5,12,6,31,0.6666666666666666
3,8,10,7,7,30,0.7407407407407407
3,9,12,5,7,30,0.7777777777777778
3,10,12,5,8,29,0.7592592592592593
3,11,12,5,7,30,0.7777777777777778
3,12,12,5,8,29,0.7592592592592593
3,13,12,5,7,30,0.7777777777777778
4,4,3,14,4,33,0.6666666666666666
4,5,7,10,8,29,0.6666666666666666
4,6,6,11,6,31,0.6851851851851852
4,7,6,11,8,29,0.6481481481481481
4,8,9,8,8,29,0.7037037037037037
4,9,12,5,8,29,0.7592592592592593
4,10,12,5,7,30,0.7777777777777778
4,11,12,5,6,31,0.7962962962962963
4,12,12,5,5,32,0.8148148148148148
4,13,12,5,6,31,0.7962962962962963
5,5,4,13,2,35,0.7222222222222222
5,6,7,10,6,31,0.7037037037037037
5,7,4,13,4,33,0.6851851851851852
5,8,8,9,3,34,0.7777777777777778
5,9,13,4,5,32,0.8333333333333334
5,10,11,6,5,32,0.7962962962962963
5,11,11,6,7,30,0.7592592592592593
5,12,13,4,8,29,0.7777777777777778
5,13,11,6,7,30,0.7592592592592593
6,6,9,8,4,33,0.7777777777777778
6,7,10,7,12,25,0.6481481481481481
6,8,9,8,10,27,0.6666666666666666
6,9,14,3,9,28,0.7777777777777778
6,10,14,3,9,28,0.7777777777777778
6,11,12,5,9,28,0.7407407407407407
6,12,13,4,6,31,0.8148148148148148
6,13,12,5,7,30,0.7777777777777778
7,7,11,6,11,26,0.6851851851851852
7,8,7,10,9,28,0.6481481481481481
7,9,12,5,8,29,0.7592592592592593
7,10,13,4,11,26,0.7222222222222222
7,11,12,5,11,26,0.7037037037037037
7,12,12,5,6,31,0.7962962962962963
7,13,11,6,5,32,0.7962962962962963
8,8,6,11,4,33,0.7222222222222222
8,9,13,4,7,30,0.7962962962962963
8,10,10,7,9,28,0.7037037037037037
8,11,11,6,9,28,0.7222222222222222
8,12,11,6,5,32,0.7962962962962963
8,13,9,8,3,34,0.7962962962962963
9,9,14,3,9,28,0.7777777777777778
9,10,9,8,9,28,0.6851851851851852
9,11,9,8,9,28,0.6851851851851852
9,12,11,6,5,32,0.7962962962962963
9,13,7,10,2,35,0.7777777777777778
10,10,10,7,8,29,0.7222222222222222
10,11,12,5,8,29,0.7592592592592593
10,12,10,7,6,31,0.7592592592592593
10,13,9,8,5,32,0.7592592592592593
11,11,11,6,8,29,0.7407407407407407
11,12,13,4,7,30,0.7962962962962963
11,13,10,7,5,32,0.7777777777777778
12,12,11,6,7,30,0.7592592592592593
12,13,9,8,6,31,0.7407407407407407
13,13,8,9,4,33,0.7592592592592593
