features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,4,13,3,34,0.703703703704
1,2,1,16,0,37,0.703703703704
1,3,1,16,1,36,0.685185185185
1,4,2,15,0,37,0.722222222222
1,5,2,15,3,34,0.666666666667
1,6,2,15,4,33,0.648148148148
1,7,2,15,3,34,0.666666666667
1,8,2,15,2,35,0.685185185185
1,9,2,15,4,33,0.648148148148
1,10,2,15,1,36,0.703703703704
1,11,2,15,0,37,0.722222222222
1,12,2,15,1,36,0.703703703704
1,13,2,15,0,37,0.722222222222
1,14,1,16,0,37,0.703703703704
1,15,3,14,1,36,0.722222222222
1,16,3,14,1,36,0.722222222222
1,17,4,13,0,37,0.759259259259
1,18,4,13,0,37,0.759259259259
1,19,3,14,1,36,0.722222222222
1,20,6,11,3,34,0.740740740741
1,21,6,11,3,34,0.740740740741
2,2,4,13,1,36,0.740740740741
2,3,1,16,0,37,0.703703703704
2,4,1,16,0,37,0.703703703704
2,5,1,16,1,36,0.685185185185
2,6,2,15,2,35,0.685185185185
2,7,1,16,3,34,0.648148148148
2,8,3,14,3,34,0.685185185185
2,9,0,17,2,35,0.648148148148
2,10,1,16,2,35,0.666666666667
2,11,1,16,3,34,0.648148148148
2,12,3,14,1,36,0.722222222222
2,13,1,16,1,36,0.685185185185
2,14,1,16,3,34,0.648148148148
2,15,3,14,2,35,0.703703703704
2,16,3,14,1,36,0.722222222222
2,17,6,11,2,35,0.759259259259
2,18,5,12,2,35,0.740740740741
2,19,7,10,1,36,0.796296296296
2,20,8,9,3,34,0.777777777778
2,21,7,10,3,34,0.759259259259
3,3,2,15,2,35,0.685185185185
3,4,3,14,0,37,0.740740740741
3,5,2,15,1,36,0.703703703704
3,6,1,16,1,36,0.685185185185
3,7,1,16,1,36,0.685185185185
3,8,1,16,1,36,0.685185185185
3,9,2,15,1,36,0.703703703704
3,10,2,15,1,36,0.703703703704
3,11,2,15,0,37,0.722222222222
3,12,4,13,3,34,0.703703703704
3,13,3,14,1,36,0.722222222222
3,14,1,16,4,33,0.62962962963
3,15,1,16,3,34,0.648148148148
3,16,5,12,1,36,0.759259259259
3,17,7,10,1,36,0.796296296296
3,18,5,12,3,34,0.722222222222
3,19,9,8,1,36,0.833333333333
3,20,8,9,2,35,0.796296296296
3,21,7,10,2,35,0.777777777778
4,4,6,11,4,33,0.722222222222
4,5,3,14,3,34,0.685185185185
4,6,2,15,4,33,0.648148148148
4,7,4,13,4,33,0.685185185185
4,8,4,13,3,34,0.703703703704
4,9,2,15,3,34,0.666666666667
4,10,1,16,3,34,0.648148148148
4,11,1,16,1,36,0.685185185185
4,12,3,14,3,34,0.685185185185
4,13,3,14,4,33,0.666666666667
4,14,2,15,2,35,0.685185185185
4,15,6,11,3,34,0.740740740741
4,16,5,12,2,35,0.740740740741
4,17,6,11,3,34,0.740740740741
4,18,5,12,2,35,0.740740740741
4,19,7,10,1,36,0.796296296296
4,20,7,10,2,35,0.777777777778
