features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,1,16,0,37,0.7037037037037037
1,2,3,14,4,33,0.6666666666666666
1,3,3,14,4,33,0.6666666666666666
1,4,3,14,2,35,0.7037037037037037
1,5,3,14,4,33,0.6666666666666666
1,6,3,14,5,32,0.6481481481481481
1,7,3,14,5,32,0.6481481481481481
1,8,3,14,5,32,0.6481481481481481
1,9,4,13,4,33,0.6851851851851852
1,10,4,13,4,33,0.6851851851851852
1,11,5,12,3,34,0.7222222222222222
1,12,6,11,2,35,0.7592592592592593
1,13,7,10,4,33,0.7407407407407407
1,14,7,10,2,35,0.7777777777777778
1,15,8,9,4,33,0.7592592592592593
2,2,3,14,4,33,0.6666666666666666
2,3,3,14,4,33,0.6666666666666666
2,4,3,14,4,33,0.6666666666666666
2,5,3,14,5,32,0.6481481481481481
2,6,3,14,5,32,0.6481481481481481
2,7,3,14,4,33,0.6666666666666666
2,8,3,14,4,33,0.6666666666666666
2,9,3,14,4,33,0.6666666666666666
2,10,5,12,4,33,0.7037037037037037
2,11,5,12,4,33,0.7037037037037037
2,12,5,12,4,33,0.7037037037037037
2,13,6,11,4,33,0.7222222222222222
2,14,6,11,3,34,0.7407407407407407
2,15,9,8,5,32,0.7592592592592593
3,3,2,15,1,36,0.7037037037037037
3,4,2,15,1,36,0.7037037037037037
3,5,3,14,1,36,0.7222222222222222
3,6,4,13,1,36,0.7407407407407407
3,7,3,14,1,36,0.7222222222222222
3,8,3,14,1,36,0.7222222222222222
3,9,3,14,0,37,0.7407407407407407
3,10,3,14,0,37,0.7407407407407407
3,11,7,10,4,33,0.7407407407407407
3,12,6,11,3,34,0.7407407407407407
3,13,6,11,5,32,0.7037037037037037
3,14,6,11,2,35,0.7592592592592593
3,15,9,8,4,33,0.7777777777777778
4,4,0,17,0,37,0.6851851851851852
4,5,0,17,0,37,0.6851851851851852
4,6,2,15,2,35,0.6851851851851852
4,7,2,15,2,35,0.6851851851851852
4,8,2,15,2,35,0.6851851851851852
4,9,2,15,1,36,0.7037037037037037
4,10,2,15,1,36,0.7037037037037037
4,11,7,10,4,33,0.7407407407407407
4,12,7,10,3,34,0.7592592592592593
4,13,6,11,5,32,0.7037037037037037
4,14,6,11,2,35,0.7592592592592593
4,15,9,8,4,33,0.7777777777777778
5,5,0,17,0,37,0.6851851851851852
5,6,1,16,0,37,0.7037037037037037
5,7,1,16,0,37,0.7037037037037037
5,8,1,16,0,37,0.7037037037037037
5,9,1,16,0,37,0.7037037037037037
5,10,1,16,0,37,0.7037037037037037
5,11,4,13,2,35,0.7222222222222222
5,12,5,12,2,35,0.7407407407407407
5,13,6,11,2,35,0.7592592592592593
5,14,4,13,2,35,0.7222222222222222
5,15,8,9,5,32,0.7407407407407407
6,6,2,15,0,37,0.7222222222222222
6,7,2,15,0,37,0.7222222222222222
6,8,0,17,0,37,0.6851851851851852
6,9,0,17,0,37,0.6851851851851852
6,10,1,16,0,37,0.7037037037037037
6,11,4,13,3,34,0.7037037037037037
6,12,5,12,3,34,0.7222222222222222
6,13,5,12,3,34,0.7222222222222222
6,14,4,13,3,34,0.7037037037037037
6,15,8,9,4,33,0.7592592592592593
7,7,0,17,0,37,0.6851851851851852
7,8,0,17,0,37,0.6851851851851852
7,9,0,17,0,37,0.6851851851851852
7,10,1,16,0,37,0.7037037037037037
7,11,4,13,3,34,0.7037037037037037
7,12,5,12,3,34,0.7222222222222222
7,13,5,12,3,34,0.7222222222222222
7,14,4,13,3,34,0.7037037037037037
7,15,8,9,4,33,0.7592592592592593
8,8,0,17,0,37,0.6851851851851852
8,9,1,16,0,37,0.7037037037037037
8,10,1,16,1,36,0.6851851851851852
8,11,4,13,3,34,0.7037037037037037
8,12,5,12,3,34,0.7222222222222222
8,13,4,13,3,34,0.7037037037037037
8,14,4,13,3,34,0.7037037037037037
8,15,8,9,5,32,0.7407407407407407
9,9,0,17,0,37,0.6851851851851852
9,10,1,16,0,37,0.7037037037037037
9,11,3,14,3,34,0.6851851851851852
9,12,4,13,3,34,0.7037037037037037
9,13,5,12,3,34,0.7222222222222222
9,14,5,12,3,34,0.7222222222222222
9,15,9,8,4,33,0.7777777777777778
10,10,0,17,0,37,0.6851851851851852
10,11,3,14,3,34,0.6851851851851852
10,12,4,13,3,34,0.7037037037037037
10,13,5,12,3,34,0.7222222222222222
10,14,6,11,2,35,0.7592592592592593
10,15,9,8,4,33,0.7777777777777778
11,11,2,15,2,35,0.6851851851851852
11,12,2,15,2,35,0.6851851851851852
11,13,2,15,2,35,0.6851851851851852
11,14,2,15,2,35,0.6851851851851852
11,15,7,10,3,34,0.7592592592592593
12,12,3,14,1,36,0.7222222222222222
12,13,2,15,1,36,0.7037037037037037
12,14,2,15,1,36,0.7037037037037037
12,15,7,10,4,33,0.7407407407407407
13,13,2,15,1,36,0.7037037037037037
13,14,2,15,1,36,0.7037037037037037
13,15,8,9,5,32,0.7407407407407407
14,14,1,16,0,37,0.7037037037037037
14,15,2,15,4,33,0.6481481481481481
15,15,2,15,3,34,0.6666666666666666
