features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,5,16,2,36,0.694915254237
1,2,6,15,0,38,0.745762711864
1,3,4,17,0,38,0.71186440678
1,4,4,17,0,38,0.71186440678
1,5,4,17,0,38,0.71186440678
1,6,4,17,0,38,0.71186440678
1,7,4,17,0,38,0.71186440678
1,8,4,17,0,38,0.71186440678
1,9,5,16,0,38,0.728813559322
1,10,5,16,0,38,0.728813559322
1,11,5,16,0,38,0.728813559322
1,12,5,16,0,38,0.728813559322
1,13,5,16,0,38,0.728813559322
1,14,6,15,0,38,0.745762711864
1,15,8,13,1,37,0.762711864407
1,16,8,13,1,37,0.762711864407
1,17,8,13,1,37,0.762711864407
1,18,11,10,1,37,0.813559322034
1,19,10,11,1,37,0.796610169492
1,20,10,11,1,37,0.796610169492
1,21,10,11,0,38,0.813559322034
2,2,5,16,0,38,0.728813559322
2,3,4,17,0,38,0.71186440678
2,4,4,17,0,38,0.71186440678
2,5,4,17,0,38,0.71186440678
2,6,4,17,0,38,0.71186440678
2,7,4,17,0,38,0.71186440678
2,8,4,17,0,38,0.71186440678
2,9,5,16,0,38,0.728813559322
2,10,5,16,0,38,0.728813559322
2,11,5,16,0,38,0.728813559322
2,12,5,16,0,38,0.728813559322
2,13,4,17,0,38,0.71186440678
2,14,6,15,1,37,0.728813559322
2,15,7,14,1,37,0.745762711864
2,16,8,13,1,37,0.762711864407
2,17,8,13,1,37,0.762711864407
2,18,11,10,1,37,0.813559322034
2,19,10,11,1,37,0.796610169492
2,20,10,11,1,37,0.796610169492
2,21,10,11,0,38,0.813559322034
3,3,5,16,2,36,0.694915254237
3,4,5,16,2,36,0.694915254237
3,5,4,17,1,37,0.694915254237
3,6,4,17,0,38,0.71186440678
3,7,2,19,0,38,0.677966101695
3,8,2,19,0,38,0.677966101695
3,9,3,18,0,38,0.694915254237
3,10,1,20,0,38,0.661016949153
3,11,1,20,0,38,0.661016949153
3,12,1,20,0,38,0.661016949153
3,13,1,20,0,38,0.661016949153
3,14,7,14,1,37,0.745762711864
3,15,7,14,1,37,0.745762711864
3,16,8,13,1,37,0.762711864407
3,17,9,12,1,37,0.779661016949
3,18,11,10,1,37,0.813559322034
3,19,11,10,1,37,0.813559322034
3,20,10,11,1,37,0.796610169492
3,21,10,11,0,38,0.813559322034
4,4,0,21,0,38,0.64406779661
4,5,0,21,0,38,0.64406779661
4,6,0,21,0,38,0.64406779661
4,7,0,21,0,38,0.64406779661
4,8,0,21,0,38,0.64406779661
4,9,1,20,0,38,0.661016949153
4,10,1,20,0,38,0.661016949153
4,11,1,20,0,38,0.661016949153
4,12,1,20,0,38,0.661016949153
4,13,1,20,0,38,0.661016949153
4,14,6,15,1,37,0.728813559322
4,15,7,14,1,37,0.745762711864
4,16,8,13,1,37,0.762711864407
4,17,9,12,1,37,0.779661016949
4,18,11,10,1,37,0.813559322034
4,19,10,11,1,37,0.796610169492
4,20,10,11,1,37,0.796610169492
4,21,10,11,0,38,0.813559322034
5,5,0,21,0,38,0.64406779661
5,6,0,21,0,38,0.64406779661
5,7,0,21,0,38,0.64406779661
5,8,0,21,0,38,0.64406779661
5,9,1,20,0,38,0.661016949153
5,10,1,20,0,38,0.661016949153
5,11,1,20,0,38,0.661016949153
5,12,1,20,0,38,0.661016949153
5,13,1,20,0,38,0.661016949153
