features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,3,18,0,38,0.694915254237
1,2,7,14,0,38,0.762711864407
1,3,6,15,0,38,0.745762711864
1,4,6,15,0,38,0.745762711864
1,5,7,14,0,38,0.762711864407
1,6,5,16,0,38,0.728813559322
1,7,5,16,0,38,0.728813559322
1,8,5,16,0,38,0.728813559322
1,9,6,15,0,38,0.745762711864
1,10,6,15,0,38,0.745762711864
1,11,6,15,0,38,0.745762711864
1,12,6,15,0,38,0.745762711864
1,13,6,15,0,38,0.745762711864
1,14,6,15,0,38,0.745762711864
1,15,6,15,0,38,0.745762711864
1,16,6,15,0,38,0.745762711864
1,17,6,15,0,38,0.745762711864
1,18,6,15,0,38,0.745762711864
1,19,7,14,0,38,0.762711864407
1,20,7,14,0,38,0.762711864407
1,21,7,14,0,38,0.762711864407
2,2,5,16,0,38,0.728813559322
2,3,4,17,0,38,0.71186440678
2,4,5,16,0,38,0.728813559322
2,5,5,16,0,38,0.728813559322
2,6,5,16,0,38,0.728813559322
2,7,5,16,0,38,0.728813559322
2,8,5,16,0,38,0.728813559322
2,9,6,15,0,38,0.745762711864
2,10,6,15,0,38,0.745762711864
2,11,6,15,0,38,0.745762711864
2,12,6,15,0,38,0.745762711864
2,13,6,15,0,38,0.745762711864
2,14,6,15,0,38,0.745762711864
2,15,6,15,0,38,0.745762711864
2,16,6,15,0,38,0.745762711864
2,17,6,15,0,38,0.745762711864
2,18,6,15,0,38,0.745762711864
2,19,7,14,0,38,0.762711864407
2,20,6,15,0,38,0.745762711864
2,21,7,14,0,38,0.762711864407
3,3,5,16,2,36,0.694915254237
3,4,6,15,2,36,0.71186440678
3,5,6,15,1,37,0.728813559322
3,6,5,16,1,37,0.71186440678
3,7,5,16,0,38,0.728813559322
3,8,5,16,1,37,0.71186440678
3,9,6,15,1,37,0.728813559322
3,10,6,15,1,37,0.728813559322
3,11,6,15,1,37,0.728813559322
3,12,7,14,1,37,0.745762711864
3,13,7,14,1,37,0.745762711864
3,14,6,15,0,38,0.745762711864
3,15,6,15,1,37,0.728813559322
3,16,6,15,1,37,0.728813559322
3,17,6,15,1,37,0.728813559322
3,18,6,15,0,38,0.745762711864
3,19,6,15,0,38,0.745762711864
3,20,6,15,0,38,0.745762711864
3,21,7,14,0,38,0.762711864407
4,4,0,21,0,38,0.64406779661
4,5,1,20,0,38,0.661016949153
4,6,3,18,1,37,0.677966101695
4,7,5,16,1,37,0.71186440678
4,8,5,16,1,37,0.71186440678
4,9,4,17,1,37,0.694915254237
4,10,4,17,0,38,0.71186440678
4,11,2,19,0,38,0.677966101695
4,12,2,19,0,38,0.677966101695
4,13,2,19,0,38,0.677966101695
4,14,6,15,1,37,0.728813559322
4,15,6,15,1,37,0.728813559322
4,16,6,15,1,37,0.728813559322
4,17,6,15,1,37,0.728813559322
4,18,6,15,1,37,0.728813559322
4,19,6,15,1,37,0.728813559322
4,20,6,15,0,38,0.745762711864
4,21,7,14,0,38,0.762711864407
5,5,0,21,0,38,0.64406779661
5,6,1,20,0,38,0.661016949153
5,7,4,17,1,37,0.694915254237
5,8,1,20,0,38,0.661016949153
5,9,2,19,0,38,0.677966101695
5,10,2,19,0,38,0.677966101695
5,11,2,19,0,38,0.677966101695
5,12,2,19,0,38,0.677966101695
5,13,2,19,0,38,0.677966101695
5,14,6,15,1,37,0.728813559322
5,15,6,15,1,37,0.728813559322
5,16,6,15,1,37,0.728813559322
5,17,6,15,1,37,0.728813559322
5,18,6,15,1,37,0.728813559322
5,19,6,15,0,38,0.745762711864
5,20,6,15,0,38,0.745762711864
5,21,7,14,0,38,0.762711864407
6,6,0,21,0,38,0.64406779661
6,7,5,16,2,36,0.694915254237
