features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,0,17,0,37,0.6851851851851852
1,2,3,14,1,36,0.7222222222222222
1,3,4,13,0,37,0.7592592592592593
1,4,4,13,0,37,0.7592592592592593
1,5,3,14,0,37,0.7407407407407407
1,6,3,14,0,37,0.7407407407407407
1,7,3,14,0,37,0.7407407407407407
1,8,2,15,0,37,0.7222222222222222
1,9,3,14,0,37,0.7407407407407407
1,10,5,12,0,37,0.7777777777777778
1,11,5,12,0,37,0.7777777777777778
1,12,5,12,0,37,0.7777777777777778
1,13,5,12,0,37,0.7777777777777778
1,14,5,12,0,37,0.7777777777777778
1,15,5,12,0,37,0.7777777777777778
2,2,0,17,0,37,0.6851851851851852
2,3,2,15,0,37,0.7222222222222222
2,4,2,15,1,36,0.7037037037037037
2,5,2,15,0,37,0.7222222222222222
2,6,1,16,0,37,0.7037037037037037
2,7,3,14,0,37,0.7407407407407407
2,8,3,14,0,37,0.7407407407407407
2,9,2,15,0,37,0.7222222222222222
2,10,5,12,0,37,0.7777777777777778
2,11,5,12,0,37,0.7777777777777778
2,12,5,12,0,37,0.7777777777777778
2,13,5,12,0,37,0.7777777777777778
2,14,5,12,0,37,0.7777777777777778
2,15,5,12,0,37,0.7777777777777778
3,3,2,15,0,37,0.7222222222222222
3,4,2,15,1,36,0.7037037037037037
3,5,3,14,0,37,0.7407407407407407
3,6,1,16,0,37,0.7037037037037037
3,7,3,14,0,37,0.7407407407407407
3,8,3,14,0,37,0.7407407407407407
3,9,3,14,0,37,0.7407407407407407
3,10,4,13,0,37,0.7592592592592593
3,11,6,11,0,37,0.7962962962962963
3,12,5,12,0,37,0.7777777777777778
3,13,5,12,0,37,0.7777777777777778
3,14,5,12,0,37,0.7777777777777778
3,15,5,12,0,37,0.7777777777777778
4,4,0,17,0,37,0.6851851851851852
4,5,0,17,0,37,0.6851851851851852
4,6,2,15,0,37,0.7222222222222222
4,7,2,15,0,37,0.7222222222222222
4,8,2,15,0,37,0.7222222222222222
4,9,4,13,0,37,0.7592592592592593
4,10,6,11,0,37,0.7962962962962963
4,11,6,11,0,37,0.7962962962962963
4,12,6,11,0,37,0.7962962962962963
4,13,5,12,0,37,0.7777777777777778
4,14,5,12,0,37,0.7777777777777778
4,15,5,12,0,37,0.7777777777777778
5,5,0,17,0,37,0.6851851851851852
5,6,3,14,0,37,0.7407407407407407
5,7,2,15,0,37,0.7222222222222222
5,8,4,13,0,37,0.7592592592592593
5,9,5,12,0,37,0.7777777777777778
5,10,6,11,0,37,0.7962962962962963
5,11,7,10,0,37,0.8148148148148148
5,12,5,12,0,37,0.7777777777777778
5,13,5,12,0,37,0.7777777777777778
5,14,4,13,0,37,0.7592592592592593
5,15,5,12,0,37,0.7777777777777778
6,6,0,17,0,37,0.6851851851851852
6,7,3,14,0,37,0.7407407407407407
6,8,1,16,0,37,0.7037037037037037
6,9,3,14,0,37,0.7407407407407407
6,10,3,14,0,37,0.7407407407407407
6,11,5,12,0,37,0.7777777777777778
6,12,5,12,0,37,0.7777777777777778
6,13,5,12,0,37,0.7777777777777778
6,14,5,12,0,37,0.7777777777777778
6,15,6,11,0,37,0.7962962962962963
7,7,0,17,0,37,0.6851851851851852
7,8,0,17,0,37,0.6851851851851852
7,9,2,15,0,37,0.7222222222222222
7,10,4,13,0,37,0.7592592592592593
7,11,5,12,0,37,0.7777777777777778
7,12,5,12,0,37,0.7777777777777778
7,13,4,13,0,37,0.7592592592592593
7,14,4,13,0,37,0.7592592592592593
7,15,5,12,0,37,0.7777777777777778
8,8,0,17,0,37,0.6851851851851852
8,9,0,17,0,37,0.6851851851851852
8,10,1,16,0,37,0.7037037037037037
8,11,5,12,0,37,0.7777777777777778
8,12,4,13,0,37,0.7592592592592593
8,13,4,13,0,37,0.7592592592592593
8,14,4,13,0,37,0.7592592592592593
8,15,5,12,0,37,0.7777777777777778
9,9,0,17,0,37,0.6851851851851852
9,10,1,16,0,37,0.7037037037037037
9,11,3,14,0,37,0.7407407407407407
9,12,3,14,0,37,0.7407407407407407
9,13,3,14,0,37,0.7407407407407407
9,14,4,13,0,37,0.7592592592592593
9,15,5,12,0,37,0.7777777777777778
10,10,0,17,0,37,0.6851851851851852
10,11,4,13,1,36,0.7407407407407407
10,12,4,13,1,36,0.7407407407407407
10,13,4,13,1,36,0.7407407407407407
10,14,3,14,0,37,0.7407407407407407
10,15,5,12,0,37,0.7777777777777778
11,11,2,15,1,36,0.7037037037037037
11,12,3,14,1,36,0.7222222222222222
11,13,2,15,1,36,0.7037037037037037
11,14,2,15,0,37,0.7222222222222222
11,15,3,14,0,37,0.7407407407407407
12,12,0,17,0,37,0.6851851851851852
12,13,2,15,1,36,0.7037037037037037
12,14,2,15,0,37,0.7222222222222222
12,15,3,14,0,37,0.7407407407407407
13,13,2,15,1,36,0.7037037037037037
13,14,2,15,1,36,0.7037037037037037
13,15,3,14,0,37,0.7407407407407407
14,14,1,16,0,37,0.7037037037037037
14,15,1,16,0,37,0.7037037037037037
15,15,1,16,0,37,0.7037037037037037
