features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,0,13,0,35,0.7291666666666666
1,2,2,11,0,35,0.7708333333333334
1,3,3,10,0,35,0.7916666666666666
1,4,3,10,0,35,0.7916666666666666
1,5,3,10,0,35,0.7916666666666666
1,6,5,8,0,35,0.8333333333333334
1,7,5,8,0,35,0.8333333333333334
2,2,0,13,0,35,0.7291666666666666
2,3,0,13,0,35,0.7291666666666666
2,4,1,12,0,35,0.75
2,5,1,12,0,35,0.75
2,6,2,11,0,35,0.7708333333333334
2,7,5,8,0,35,0.8333333333333334
3,3,0,13,0,35,0.7291666666666666
3,4,1,12,0,35,0.75
3,5,1,12,0,35,0.75
3,6,2,11,0,35,0.7708333333333334
3,7,5,8,0,35,0.8333333333333334
4,4,0,13,0,35,0.7291666666666666
4,5,1,12,0,35,0.75
4,6,2,11,0,35,0.7708333333333334
4,7,6,7,0,35,0.8541666666666666
5,5,0,13,0,35,0.7291666666666666
5,6,2,11,0,35,0.7708333333333334
5,7,6,7,0,35,0.8541666666666666
6,6,1,12,0,35,0.75
6,7,5,8,0,35,0.8333333333333334
7,7,3,10,0,35,0.7916666666666666
