features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,6,12,1,36,0.763636363636
1,2,4,14,0,37,0.745454545455
1,3,4,14,0,37,0.745454545455
1,4,3,15,0,37,0.727272727273
1,5,3,15,0,37,0.727272727273
1,6,3,15,0,37,0.727272727273
1,7,3,15,0,37,0.727272727273
1,8,3,15,0,37,0.727272727273
1,9,3,15,0,37,0.727272727273
1,10,7,11,0,37,0.8
1,11,12,6,1,36,0.872727272727
2,2,3,15,0,37,0.727272727273
2,3,3,15,0,37,0.727272727273
2,4,3,15,0,37,0.727272727273
2,5,3,15,0,37,0.727272727273
2,6,4,14,0,37,0.745454545455
2,7,4,14,0,37,0.745454545455
2,8,4,14,0,37,0.745454545455
2,9,4,14,0,37,0.745454545455
2,10,9,9,1,36,0.818181818182
2,11,12,6,1,36,0.872727272727
3,3,3,15,0,37,0.727272727273
3,4,3,15,0,37,0.727272727273
3,5,3,15,0,37,0.727272727273
3,6,4,14,0,37,0.745454545455
3,7,5,13,2,35,0.727272727273
3,8,5,13,0,37,0.763636363636
3,9,5,13,0,37,0.763636363636
3,10,9,9,2,35,0.8
3,11,11,7,1,36,0.854545454545
4,4,3,15,0,37,0.727272727273
4,5,3,15,0,37,0.727272727273
4,6,3,15,0,37,0.727272727273
4,7,6,12,3,34,0.727272727273
4,8,6,12,3,34,0.727272727273
4,9,6,12,3,34,0.727272727273
4,10,10,8,2,35,0.818181818182
4,11,10,8,1,36,0.836363636364
5,5,0,18,0,37,0.672727272727
5,6,1,17,0,37,0.690909090909
5,7,7,11,6,31,0.690909090909
5,8,9,9,4,33,0.763636363636
5,9,8,10,4,33,0.745454545455
5,10,11,7,6,31,0.763636363636
5,11,10,8,1,36,0.836363636364
6,6,4,14,3,34,0.690909090909
6,7,11,7,8,29,0.727272727273
6,8,13,5,9,28,0.745454545455
6,9,10,8,8,29,0.709090909091
6,10,12,6,5,32,0.8
6,11,10,8,1,36,0.836363636364
7,7,11,7,8,29,0.727272727273
7,8,11,7,7,30,0.745454545455
7,9,11,7,7,30,0.745454545455
7,10,12,6,5,32,0.8
7,11,10,8,1,36,0.836363636364
8,8,0,18,0,37,0.672727272727
8,9,9,9,7,30,0.709090909091
8,10,13,5,5,32,0.818181818182
8,11,11,7,3,34,0.818181818182
9,9,9,9,7,30,0.709090909091
9,10,11,7,5,32,0.781818181818
9,11,11,7,2,35,0.836363636364
10,10,1,17,0,37,0.690909090909
10,11,7,11,1,36,0.781818181818
11,11,7,11,2,35,0.763636363636
