features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,9,12,10,28,0.627118644068
1,2,7,14,14,24,0.525423728814
1,3,6,15,16,22,0.474576271186
1,4,7,14,13,25,0.542372881356
1,5,7,14,12,26,0.559322033898
1,6,7,14,12,26,0.559322033898
1,7,7,14,14,24,0.525423728814
1,8,7,14,14,24,0.525423728814
1,9,8,13,15,23,0.525423728814
1,10,9,12,14,24,0.559322033898
1,11,9,12,14,24,0.559322033898
1,12,9,12,15,23,0.542372881356
1,13,10,11,15,23,0.559322033898
1,14,12,9,14,24,0.610169491525
1,15,11,10,9,29,0.677966101695
1,16,14,7,12,26,0.677966101695
1,17,12,9,11,27,0.661016949153
1,18,12,9,8,30,0.71186440678
1,19,12,9,11,27,0.661016949153
1,20,12,9,6,32,0.745762711864
1,21,7,14,3,35,0.71186440678
2,2,8,13,14,24,0.542372881356
2,3,6,15,9,29,0.593220338983
2,4,6,15,9,29,0.593220338983
2,5,8,13,13,25,0.559322033898
2,6,7,14,14,24,0.525423728814
2,7,9,12,15,23,0.542372881356
2,8,6,15,11,27,0.559322033898
2,9,8,13,14,24,0.542372881356
2,10,9,12,15,23,0.542372881356
2,11,12,9,15,23,0.593220338983
2,12,12,9,14,24,0.610169491525
2,13,12,9,14,24,0.610169491525
2,14,12,9,13,25,0.627118644068
2,15,12,9,7,31,0.728813559322
2,16,11,10,12,26,0.627118644068
2,17,11,10,11,27,0.64406779661
2,18,14,7,10,28,0.71186440678
2,19,13,8,12,26,0.661016949153
2,20,11,10,6,32,0.728813559322
2,21,7,14,3,35,0.71186440678
3,3,6,15,12,26,0.542372881356
3,4,7,14,11,27,0.576271186441
3,5,9,12,14,24,0.559322033898
3,6,0,21,2,36,0.610169491525
3,7,10,11,14,24,0.576271186441
3,8,6,15,10,28,0.576271186441
3,9,7,14,14,24,0.525423728814
3,10,1,20,2,36,0.627118644068
3,11,0,21,1,37,0.627118644068
3,12,4,17,8,30,0.576271186441
3,13,4,17,8,30,0.576271186441
3,14,10,11,12,26,0.610169491525
3,15,10,11,6,32,0.71186440678
3,16,11,10,12,26,0.627118644068
3,17,11,10,12,26,0.627118644068
3,18,8,13,6,32,0.677966101695
3,19,12,9,10,28,0.677966101695
3,20,12,9,10,28,0.677966101695
3,21,12,9,10,28,0.677966101695
4,4,0,21,0,38,0.64406779661
4,5,1,20,0,38,0.661016949153
4,6,9,12,15,23,0.542372881356
4,7,9,12,13,25,0.576271186441
4,8,6,15,9,29,0.593220338983
4,9,6,15,12,26,0.542372881356
4,10,0,21,1,37,0.627118644068
4,11,0,21,1,37,0.627118644068
4,12,0,21,1,37,0.627118644068
4,13,0,21,1,37,0.627118644068
4,14,10,11,12,26,0.610169491525
4,15,10,11,5,33,0.728813559322
4,16,9,12,6,32,0.694915254237
4,17,11,10,12,26,0.627118644068
4,18,10,11,6,32,0.71186440678
4,19,11,10,10,28,0.661016949153
4,20,9,12,6,32,0.694915254237
4,21,7,14,3,35,0.71186440678
5,5,1,20,2,36,0.627118644068
