username,active_num_days,active_avg_count,active_sum_count,problem_avg_count,problem_sum_count,video_pause_backward_seek_sum,video_pause_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
104602001,1.75,109.2625,274.6666667,4.708333333,8.416666667,0.75,8.833333333,2.166666667,1.083333333,0.666666667,1.166666667,9.486111111,8.75,58.21
104602002,1.833333333,104.7152778,321.9166667,7.25,17.5,0.75,11.25,2.916666667,1.583333333,1,1.916666667,9.611111111,8.152777778,69.33
104602003,2.083333333,156.7708333,397.1666667,7.416666667,15.75,2.25,15.33333333,2.666666667,1.416666667,0.916666667,1.416666667,9.527777778,6.944444445,55.3
104602005,2.166666667,168.8055556,390,16.04166667,27.33333333,1.083333333,10.16666667,6.166666667,1.833333333,1.166666667,2.25,9.833333334,9.166666667,74.12
104602006,1.666666667,86.74305555,231.25,3.541666667,7.083333333,1.083333333,9.583333333,3.416666667,1.333333333,1.083333333,1.666666667,9.763888889,6.583333333,61.13
104602007,2.416666667,177.675,673.5,3.572222223,14.5,2.916666667,25.16666667,2.75,1.583333333,1.333333333,2,9.625,9.722222222,85.72
104602008,1.5,46.61388889,174.25,6.916666667,6.916666667,0.583333333,4.833333333,3.166666667,1.25,0.75,1.333333333,9.855555556,9.236111111,72.53
104602009,0.5,112.8055556,180.25,10.29166667,13.58333333,0,1.083333333,3.583333333,1.416666667,0.916666667,1.583333333,9.730555556,9.638888889,79.78
104602010,1.5,144.5694444,422.25,10.20833333,13.33333333,1.083333333,9.75,3.333333333,1.416666667,1,1.5,9.988888889,9.944444445,76.68
104602011,2.916666667,122.8867064,395.75,10.85,19.66666667,1.5,16.08333333,3.416666667,1.333333333,1.083333333,1.416666667,9.75,8.833333333,70.97
104602012,3.333333333,181.9652778,606.75,12.00694444,23.5,4,30.66666667,5,1.583333333,1.083333333,2,9.833333333,8.694444445,88.14
104602013,1.5,107.5277778,306.5,5.625,8.25,2.333333333,15.41666667,2.833333333,1.416666667,0.916666667,1.5,9.863888889,8.75,66.43
104602016,0.666666667,16.44444444,35.08333333,0,0,0,1.75,2.416666667,0.833333333,0.75,0.916666667,9.716666667,6.333333333,25.71
104602017,1,141.0208333,261.3333333,13.58333333,25.16666667,0.083333333,5.416666667,3.666666667,1.083333333,0.583333333,1.416666667,9.513888889,8.75,52.83
104602018,1.5,91.97361111,324.9166667,9.138888889,17.91666667,0.166666667,6.083333333,3.166666667,1.166666667,0.833333333,1.5,9.583333333,7.555555556,54.02
104602019,3,103.7236111,439,13.65277778,21.66666667,1.5,9.333333333,4.583333333,1.416666667,0.916666667,1.5,9.841666667,6.388888889,80.67
104602020,1.166666667,83.01944444,216.25,15.95833333,18.25,0,0.333333333,2.666666667,1.083333333,0.75,1.083333333,9.416666667,9.111111111,77.99
104602021,1.916666667,34.50972222,138,3.416666667,6.833333333,0.25,2.166666667,2,0.916666667,0.5,0.916666667,9.344444444,6.25,80.61
104602022,1.833333333,178.1916667,372.5,14.08333333,14.08333333,1.083333333,6.666666667,2.25,1.083333333,0.833333333,1.083333333,9.672222222,9.583333334,83.56
104602023,1.166666667,39.5,142.0833333,2.416666667,7.25,0,1.333333333,3.166666667,1.166666667,0.666666667,1.333333333,8.066666667,9.333333333,95.5
104602024,1.666666667,115.1291667,189.75,8.375,8.583333333,0.25,1.25,2.166666667,0.75,0.5,0.833333333,7.861111111,6.944444445,72.67
104602025,2.083333333,49.09722222,172,5.708333333,14.08333333,0,1.5,4.083333333,1.333333333,0.75,1.416666667,8.083333333,6.152777778,61.38
104602027,2.833333333,84.06388889,265.3333333,7.5,11.25,0.75,6.25,3.166666667,1.166666667,0.75,1.166666667,9.591666667,9.305555555,57.3
104602028,1.416666667,133.0763889,332.0833333,14.66666667,21.75,0.666666667,11.25,2.25,1.25,0.666666667,1.25,9.863888889,9.5,104.16
104602029,2.166666667,105.2430556,294.6666667,14.75,14.75,0.75,5.75,5.166666667,1.583333333,1.166666667,1.916666667,9.744444445,6.944444445,67.13
104602030,1,84.17777777,237,6.75,6.75,0.166666667,5.333333333,2.166666667,0.833333333,0.5,0.916666667,9.625,5.638888889,54.11
104602031,1.75,101.1944444,239.5,12.03472222,18.08333333,0.083333333,2,3,1,0.833333333,1.083333333,9.377777778,6.111111111,50.2
104602032,0.166666667,22.25,22.25,1.416666667,1.416666667,0,0.25,0.166666667,0.166666667,0.166666667,0.166666667,9.680555556,9.722222222,51.06
104602033,2.333333333,154.2611111,400.25,10.46527778,24.5,0.666666667,5.166666667,2.166666667,1,0.583333333,1,8.558333333,7.013888889,82.94
104602035,1.75,115.525,266.5,7.791666667,11.25,0.666666667,4,4.083333333,1.583333333,1.5,2.166666667,9.847222222,9.722222222,80.48
104602037,2.166666667,234.5902778,510.4166667,22.38888889,36.58333333,0.25,5.25,4.416666667,1.666666667,0.916666667,1.916666667,9.805555556,8.472222222,61.61
