username,active_num_days,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
104602001,1.333333333,0.833333333,0.5,0.333333333,0.5,9.494444445,8.333333333,58.21
104602002,1.333333333,1.666666667,1.333333333,0.833333333,1.333333333,9.461111111,8.361111111,69.33
104602003,1.666666667,1.833333333,1.333333333,0.833333333,1.333333333,9.511111111,6.277777778,55.3
104602005,1.666666667,5,1.5,1,1.833333333,9.866666667,9.166666667,74.12
104602006,1.333333333,2.833333333,1.166666667,0.833333333,1.5,9.738888889,6.666666666,61.13
104602007,2.5,2.333333333,1.166666667,0.833333333,1.333333333,9.666666667,9.555555556,85.72
104602008,1.833333333,2.5,0.833333333,0.5,0.833333333,9.822222222,9.361111111,72.53
104602010,1,3.5,1,0.666666667,1,9.988888889,9.944444445,76.68
104602011,2.5,3,1,0.666666667,1,9.616666667,8.5,70.97
104602012,2.833333333,5.333333333,1.166666667,1,1.833333333,9.75,8.444444445,88.14
104602013,0.333333333,2,1,0.666666667,1,9.855555556,9.166666667,66.43
104602017,0.333333333,0.666666667,0.333333333,0.166666667,0.333333333,9.505555556,8.666666667,52.83
104602018,0.666666667,0.833333333,0.333333333,0.166666667,0.333333333,9.4,7.888888889,54.02
104602019,2.5,3,0.833333333,0.666666667,0.833333333,9.816666667,6.888888889,80.67
104602020,0.166666667,0.833333333,0.333333333,0.166666667,0.333333333,9.3,9.277777778,77.99
104602021,1.333333333,0.833333333,0.333333333,0.166666667,0.333333333,9.394444444,6.166666667,80.61
104602022,2.333333333,1.166666667,0.5,0.333333333,0.5,9.638888889,9.333333334,83.56
104602023,0.5,1.333333333,0.333333333,0.333333333,0.666666667,8.85,9,95.5
104602024,1.5,0.666666667,0.333333333,0.166666667,0.333333333,7.927777778,6.444444445,72.67
104602025,1.666666667,4.333333333,1.166666667,0.833333333,1.333333333,8.733333333,6.694444445,61.38
104602027,1.666666667,2.833333333,1,0.666666667,1,9.55,8.888888889,57.3
104602028,0.333333333,0.333333333,0.333333333,0.166666667,0.333333333,9.822222222,9.333333333,104.16
104602029,1.166666667,3.333333333,1.333333333,1.166666667,1.666666667,9.661111111,5.944444445,67.13
104602030,1,0.333333333,0.166666667,0.166666667,0.166666667,9.516666667,3.888888889,54.11
104602031,0.833333333,0.666666667,0.5,0.5,0.5,9.161111111,4.611111111,50.2
104602033,1,0.666666667,0.333333333,0.166666667,0.333333333,9.016666667,6.805555556,82.94
104602035,1.166666667,4.5,1.333333333,1.333333333,2,9.805555556,9.555555556,80.48
104602037,1.5,2.333333333,1.166666667,0.5,1.166666667,9.705555556,8.555555556,61.61
104602501,2.5,1,0.333333333,0.166666667,0.333333333,9.638888889,7.416666667,56.93
104602502,2,3.166666667,1.333333333,1,1.5,9.605555555,7.833333333,67.38
104602503,1.166666667,2.833333333,0.833333333,0.666666667,0.833333333,8.394444445,6,48.27
104602504,2.5,2.5,1.333333333,1,1.833333333,9.688888889,5.666666667,71.49
104602505,1.5,2.5,1.166666667,0.666666667,1.333333333,9.611111111,9.444444445,81.71
104602506,1,2.833333333,1,0.833333333,1.333333333,9.5,8.111111111,63.62
104602508,1.833333333,2.333333333,1.166666667,1,1.333333333,9.366666667,6.111111111,60.32
104602509,1.833333333,0.333333333,0.333333333,0.333333333,0.333333333,9.1,3.833333333,47.45
104602510,2.333333333,2.5,0.833333333,0.666666667,1,9.838888889,9,70.1
104602511,2.5,2.5,0.833333333,0.833333333,1,9.777777778,9.111111111,78.77
104602513,2.5,5,1.166666667,1,1.833333333,9.888888889,9.5,93.69
104602514,1.666666667,3.833333333,1,0.833333333,1.333333333,9.516666666,8.666666667,74.75
104602515,0.833333333,2,0.333333333,0.166666667,0.333333333,8.261111111,8,60.84
104602516,2.666666667,3,1.166666667,1,1.333333333,9.766666666,9.5,56.89
104602519,2.166666667,4.5,1.333333333,1.333333333,2.166666667,9.777777778,9.111111111,94.97
104602520,2.333333333,2.833333333,0.833333333,0.333333333,0.833333333,7.411111111,5.388888889,48.24
104602521,1.833333333,3.166666667,1.333333333,1,1.5,9.655555555,8.638888889,80.87
104602522,3.333333333,5.666666667,1.333333333,1.666666667,2.333333333,8.961111111,6.472222222,59.34
104602524,1.166666667,2.166666667,1,0.666666667,1,9.233333333,6.666666667,68.02
104602526,0.666666667,0.333333333,0.166666667,0.166666667,0.166666667,9.805555556,8.777777778,76.48
