username,final_score
101302503,6
101602507,6
102602012,5
103602527,4
104602001,5
104602002,6
104602003,5
104602004,2
104602005,7
104602006,6
104602007,8
104602008,7
104602009,7
104602010,7
104602011,7
104602012,8
104602013,6
104602014,5
104602015,1
104602016,2
104602017,5
104602018,5
104602019,8
104602020,7
104602021,8
104602022,8
104602023,9
104602024,7
104602025,6
104602026,2
104602027,5
104602028,10
104602029,6
104602030,5
104602031,5
104602032,5
104602033,8
104602035,8
104602037,6
104602501,5
104602502,6
104602503,4
104602504,7
104602505,8
104602506,6
104602507,3
104602508,6
104602509,4
104602510,7
104602511,7
104602513,9
104602514,7
104602515,6
104602516,5
104602517,8
104602519,9
104602520,4
104602521,8
104602522,5
104602524,6
104602525,5
104602526,7
