evaluation_num,pMAPC,pMSE,mean_train_score,mean_test_score
1.0,0.9999999999999998,5.170575202221031e-28,1.0,1.0
2.0,0.9999999999999998,2.5243548967072382e-28,1.0,1.0
3.0,0.9999999999999998,1.4232138814194255e-27,1.0,1.0
4.0,0.9999999999999998,6.50239002703554e-28,1.0,1.0
5.0,0.9999999999999998,9.627367295717949e-28,1.0,1.0
6.0,0.9999999999999998,3.220728661316131e-28,1.0,1.0
7.0,0.9999999999999998,4.500315453784972e-28,1.0,1.0
8.0,0.9999999999999998,3.055339892221519e-28,1.0,1.0
9.0,0.9999999999999998,1.915027852674456e-28,1.0,1.0
10.0,0.9999999999999998,6.223840521191983e-28,1.0,1.0
11.0,0.9999999999999998,3.7343043127151895e-28,1.0,1.0
12.0,0.9999999999999998,6.632960107899707e-28,1.0,1.0
13.0,0.9999999999999998,1.4179910781848587e-27,1.0,1.0
14.0,0.9999999999999998,7.137831087241154e-28,1.0,1.0
15.0,1.0,3.2990707098346314e-28,1.0,1.0
16.0,0.9999999999999998,3.9606257862130796e-28,1.0,1.0
17.0,0.9999999999999998,6.27606855353765e-28,1.0,1.0
18.0,0.9999999999999998,4.596066846418694e-28,1.0,1.0
19.0,0.9999999999999998,2.933474483414963e-28,1.0,1.0
20.0,0.9999999999999998,4.822388319916585e-28,1.0,1.0
21.0,0.9999999999999998,3.2729566936617973e-28,1.0,1.0
22.0,0.9999999999999998,1.041078778090295e-27,1.0,1.0
23.0,0.9999999999999998,1.1925400718927295e-27,1.0,1.0
24.0,0.9999999999999998,2.959588499587796e-28,1.0,1.0
25.0,0.9999999999999998,4.85720700814703e-28,1.0,1.0
26.0,0.9999999999999998,3.3425940701226868e-28,1.0,1.0
27.0,0.9999999999999997,8.983221563454722e-28,1.0,1.0
28.0,0.9999999999999998,4.822388319916585e-28,1.0,1.0
29.0,0.9999999999999998,3.908397753867413e-28,1.0,1.0
30.0,0.9999999999999998,6.50239002703554e-28,1.0,1.0
31.0,0.9999999999999998,4.578657502303472e-28,1.0,1.0
32.0,0.9999999999999998,3.5079828392172993e-28,1.0,1.0
33.0,0.9999999999999998,3.81264636123369e-28,1.0,1.0
34.0,0.9999999999999998,4.979072416953586e-28,1.0,1.0
35.0,0.9999999999999998,4.160833243538138e-28,1.0,1.0
36.0,0.9999999999999998,3.647257592139078e-28,1.0,1.0
37.0,0.9999999999999998,1.076767933526501e-27,1.0,1.0
38.0,0.9999999999999998,6.014928391809314e-28,1.0,1.0
39.0,0.9999999999999998,4.143423899422914e-28,1.0,1.0
40.0,0.9999999999999998,3.9171024259250242e-28,1.0,1.0
41.0,0.9999999999999998,8.28684779884583e-28,1.0,1.0
42.0,0.9999999999999997,2.3641889308471925e-27,1.0,1.0
43.0,1.0,2.785495058435572e-28,1.0,1.0
44.0,0.9999999999999998,2.219691374690847e-28,1.0,1.0
45.0,0.9999999999999998,2.750676370205128e-28,1.0,1.0
46.0,0.9999999999999998,2.681038993744238e-28,1.0,1.0
47.0,0.9999999999999998,4.126014555307692e-28,1.0,1.0
48.0,0.9999999999999998,5.875653638887536e-28,1.0,1.0
49.0,0.9999999999999998,5.588399460986367e-28,1.0,1.0
50.0,0.9999999999999998,7.329333872508601e-28,1.0,1.0
51.0,0.9999999999999998,1.0271513027981175e-27,1.0,1.0
52.0,0.9999999999999998,2.794199730493184e-28,1.0,1.0
53.0,0.9999999999999998,3.986739802385913e-28,1.0,1.0
54.0,0.9999999999999998,2.5852876011105154e-28,1.0,1.0
55.0,0.9999999999999998,2.411194159958292e-28,1.0,1.0
56.0,0.9999999999999998,3.194614645143297e-28,1.0,1.0
57.0,0.9999999999999998,2.54176424082246e-28,1.0,1.0
58.0,0.9999999999999998,3.6733716083119114e-28,1.0,1.0
59.0,0.9999999999999998,1.3135350134935248e-27,1.0,1.0
60.0,0.9999999999999997,6.13679380061587e-28,1.0,1.0
61.0,0.9999999999999998,5.475238724237423e-28,1.0,1.0
62.0,0.9999999999999998,4.152128571480525e-28,1.0,1.0
63.0,0.9999999999999998,3.2381380054313533e-28,1.0,1.0
64.0,0.9999999999999998,3.090158580451963e-28,1.0,1.0
65.0,0.9999999999999998,7.581769362179325e-28,1.0,1.0
66.0,0.9999999999999998,4.900730368435087e-28,1.0,1.0
67.0,0.9999999999999998,3.6646669362543005e-28,1.0,1.0
68.0,0.9999999999999998,5.109642497817752e-28,1.0,1.0
69.0,0.9999999999999998,2.446012848188737e-28,1.0,1.0
70.0,0.9999999999999998,4.691818239052417e-28,1.0,1.0
71.0,0.9999999999999998,3.525392183332521e-28,1.0,1.0
72.0,1.0,2.5243548967072382e-28,1.0,1.0
73.0,0.9999999999999998,2.959588499587796e-28,1.0,1.0
74.0,0.9999999999999998,2.68974366580185e-28,1.0,1.0
75.0,0.9999999999999998,8.156277717981661e-28,1.0,1.0
76.0,0.9999999999999998,3.377412758353131e-28,1.0,1.0
77.0,0.9999999999999998,3.020521203991074e-28,1.0,1.0
78.0,0.9999999999999998,4.404564061151249e-28,1.0,1.0
79.0,0.9999999999999998,2.3415567834974035e-28,1.0,1.0
80.0,0.9999999999999998,3.0988632525095743e-28,1.0,1.0
81.0,0.9999999999999998,4.970367744895974e-28,1.0,1.0
82.0,0.9999999999999998,3.908397753867413e-28,1.0,1.0
83.0,0.9999999999999998,3.420936118641188e-28,1.0,1.0
84.0,0.9999999999999998,3.864874393579357e-28,1.0,1.0
85.0,0.9999999999999997,7.7906814915619935e-28,1.0,1.0
86.0,0.9999999999999998,3.377412758353131e-28,1.0,1.0
87.0,0.9999999999999998,4.239175292056637e-28,1.0,1.0
88.0,0.9999999999999998,4.569952830245861e-28,1.0,1.0
89.0,0.9999999999999998,5.823425606541868e-28,1.0,1.0
90.0,0.9999999999999998,5.675446181562479e-28,1.0,1.0
91.0,0.9999999999999998,2.785495058435572e-28,1.0,1.0
92.0,0.9999999999999998,9.018040251685167e-28,1.0,1.0
93.0,0.9999999999999998,6.049747080039759e-28,1.0,1.0
94.0,0.9999999999999998,4.282698652344693e-28,1.0,1.0
95.0,0.9999999999999998,3.7952370171184685e-28,1.0,1.0
96.0,0.9999999999999998,3.2381380054313533e-28,1.0,1.0
97.0,0.9999999999999998,9.86239344127345e-28,1.0,1.0
98.0,0.9999999999999998,3.7343043127151895e-28,1.0,1.0
99.0,0.9999999999999998,4.822388319916585e-28,1.0,1.0
100.0,0.9999999999999998,4.0041491465011355e-28,1.0,1.0
