evaluation_num,pmse,r_square,adj_r_square
1,6.904981109700056e-28,1.0,1.0
2,2.953059995544588e-28,1.0,1.0
3,7.877728212138104e-28,1.0,1.0
4,4.415444901223264e-28,1.0,1.0
5,6.881043261541625e-28,1.0,1.0
6,5.288088274998782e-28,1.0,1.0
7,1.173389793365985e-27,1.0,1.0
8,1.1773068957919101e-27,1.0,1.0
9,5.242388746696324e-28,1.0,1.0
10,3.283837533733812e-28,1.0,1.0
11,3.188086141100089e-28,1.0,1.0
12,8.809128122302498e-28,1.0,1.0
13,4.963839240852767e-28,1.0,1.0
14,1.0117005098958577e-27,1.0,1.0
15,2.5178263926640293e-28,1.0,1.0
16,4.075962690976428e-28,1.0,1.0
17,9.41845516633528e-28,1.0,1.0
18,1.4643434568916382e-27,1.0,1.0
19,2.5826761994932326e-27,1.0,1.0
20,3.244231275871681e-27,1.0,1.0
21,3.34477023813709e-28,1.0,1.0
22,4.215237443898206e-28,1.0,1.0
23,3.7908846810896623e-28,1.0,1.0
24,2.3720231356990423e-28,1.0,1.0
25,4.406740229165652e-28,1.0,1.0
26,3.7691230009456344e-28,1.0,1.0
27,3.971506626285094e-28,1.0,1.0
28,3.3338893980650763e-28,1.0,1.0
29,2.7289146900611e-28,1.0,1.0
30,3.240314173445756e-28,1.0,1.0
31,5.12269950590417e-28,1.0,1.0
32,4.371921540935208e-28,1.0,1.0
33,6.445809658661068e-28,1.0,1.0
34,4.633061702663542e-28,1.0,1.0
35,2.4481890162031403e-28,1.0,1.0
36,4.824564487930988e-28,1.0,1.0
37,2.395960983857473e-28,1.0,1.0
38,4.230470619999026e-28,1.0,1.0
39,3.4840449910588685e-28,1.0,1.0
40,1.6619395125994118e-27,1.0,1.0
41,1.4408408423360881e-27,1.0,1.0
42,8.85700381861936e-28,1.0,1.0
43,1.6656389982238963e-27,1.0,1.0
44,3.327360894021868e-28,1.0,1.0
45,1.6103643306580655e-28,1.0,1.0
46,5.20757005846588e-28,1.0,1.0
47,4.24135146007104e-28,1.0,1.0
48,3.022697372005477e-28,1.0,1.0
49,3.135858108754422e-28,1.0,1.0
50,8.793894946201679e-28,1.0,1.0
51,3.9105739218818157e-28,1.0,1.0
52,2.874717947026087e-28,1.0,1.0
53,3.823527201305704e-28,1.0,1.0
54,2.635992315846101e-27,1.0,1.0
55,4.354512196819985e-28,1.0,1.0
56,8.036588477189507e-28,1.0,1.0
57,9.681771496078019e-28,1.0,1.0
58,4.580833670317876e-28,1.0,1.0
59,4.859383176161433e-28,1.0,1.0
60,2.378551639742251e-28,1.0,1.0
61,4.772336455585321e-28,1.0,1.0
62,3.138034276768825e-28,1.0,1.0
63,3.9105739218818157e-28,1.0,1.0
64,3.9867398023859132e-28,1.0,1.0
65,7.1421834232699605e-28,1.0,1.0
66,5.503528908424659e-28,1.0,1.0
67,1.20842609839787e-27,1.0,1.0
68,1.2554313275089703e-27,1.0,1.0
69,4.424149573280874e-28,1.0,1.0
70,3.658138432211092e-28,1.0,1.0
71,5.470886388208617e-28,1.0,1.0
72,8.20197724628412e-28,1.0,1.0
73,1.5577010647095179e-27,1.0,1.0
74,2.3237122057793004e-27,1.0,1.0
75,4.0172061545875525e-28,1.0,1.0
76,2.624458625369766e-28,1.0,1.0
77,2.4209869160231054e-27,1.0,1.0
78,7.836381019864451e-28,1.0,1.0
79,4.839797664031808e-28,1.0,1.0
80,9.69918084019324e-28,1.0,1.0
81,3.2316095013881447e-28,1.0,1.0
82,9.977730346036797e-28,1.0,1.0
83,1.9700849034388468e-27,1.0,1.0
84,3.982387466357108e-28,1.0,1.0
85,6.746120844648653e-28,1.0,1.0
86,4.652647214793167e-28,1.0,1.0
87,3.834408041377718e-28,1.0,1.0
88,1.3274624887857026e-27,1.0,1.0
89,2.72108048520925e-27,1.0,1.0
90,6.008399887766107e-28,1.0,1.0
91,3.292542205791423e-28,1.0,1.0
92,1.9570278953524303e-27,1.0,1.0
93,1.4149444429646948e-27,1.0,1.0
94,5.705912533764118e-28,1.0,1.0
95,4.580833670317876e-28,1.0,1.0
96,3.292542205791423e-28,1.0,1.0
97,1.0402083108845341e-27,1.0,1.0
98,7.464256289401574e-28,1.0,1.0
99,5.166222866192226e-28,1.0,1.0
100,5.851715790729105e-28,1.0,1.0
