evaluation_num,pmse,r_square,adj_r_square
1,353.4938690273072,-0.3595256286148871,-0.38337695543269223
2,360.89015066146334,-0.3879714810585453,-0.4123218579192216
3,294.7649222739205,-0.13365605845094009,-0.15354476123078098
4,349.4374965686337,-0.3439249554491852,-0.3675025862465393
5,331.05997933065777,-0.27324563717956596,-0.2955832799371023
6,291.67164006167644,-0.1217593982467442,-0.14143938768966957
7,281.971544232471,-0.08445315325835834,-0.10347864717517163
8,301.81470134576955,-0.16076927359841675,-0.18113364681944155
9,288.9186305025667,-0.11117141531586539,-0.13066565067228408
10,364.03695823226104,-0.40007399800626775,-0.42463669972567586
11,319.895673361516,-0.2303080888353426,-0.25189244127105037
12,272.52926227137584,-0.0481384518067034,-0.06652684569804901
13,286.714733588152,-0.1026953012994698,-0.12204083290121481
14,284.088313057875,-0.09259417555079175,-0.11176249442010389
15,332.3218004895947,-0.2780985592656655,-0.30052134100716854
16,299.8213862210706,-0.15310305012079173,-0.17333292819308643
17,356.8669979310203,-0.3724985698594925,-0.3965774921377292
18,315.28692772202317,-0.21258300684198717,-0.2338563929269344
19,321.62760539650856,-0.23696904166903887,-0.25867025292639045
20,337.363490954588,-0.2974887326159479,-0.3202516928372803
21,315.5814818507862,-0.21371585219562683,-0.23500911276046232
22,304.87516084529244,-0.17253969874437058,-0.19311057065216652
23,276.44803459202615,-0.06320991943156118,-0.08186272503562364
24,308.7943792949095,-0.1876128821663523,-0.2084481958885689
25,338.51222542149463,-0.30190672705678523,-0.32474719595251833
26,255.89016287174144,0.01585496944588982,-0.0014107328445331913
27,305.71502181988785,-0.17576977603701982,-0.19639731596749388
28,319.54434356931085,-0.22895688617399768,-0.2505175332998575
29,338.2705207888177,-0.30097713910216717,-0.32380129943729274
30,375.7262764043013,-0.445030725769755,-0.47038214201132966
31,294.53540008327036,-0.1327733237619808,-0.15264653996833122
32,299.20346300744745,-0.15072653805355785,-0.17091472293169052
33,286.5323246795751,-0.10199376272178484,-0.12132698662918462
34,322.2275776782636,-0.23927651505110648,-0.2610182082976171
35,264.3464668597246,-0.016667693610915135,-0.03450396893742247
36,304.76224573018703,-0.17210543097823838,-0.1926686841532952
37,375.0602939540319,-0.44246937948151355,-0.4677758598232946
38,325.901565767447,-0.25340655068712725,-0.2753961392956734
39,315.55880913608036,-0.21362865369117268,-0.2349203844576846
40,317.4841853422868,-0.22103358635454717,-0.24245522822041643
41,280.3979348952194,-0.07840110423892832,-0.09732042185715506
42,362.81132158531256,-0.3953602403462517,-0.4198402445628526
43,313.1340061343931,-0.20430294223199752,-0.22543106402554125
44,366.0217592304878,-0.4077074764374906,-0.43240409883113085
45,357.00138757058704,-0.3730154279303657,-0.39710341789405623
46,290.5528364916372,-0.11745651703683935,-0.13706101733573117
47,312.79546339384535,-0.20300091814478272,-0.22410619741048055
48,323.1815850020319,-0.24294559539504013,-0.2647516584721461
49,356.93871421614165,-0.37277438829979426,-0.39685814949803633
50,361.9569725834533,-0.392074442584029,-0.4164968012258543
51,319.67547017165515,-0.22946119471256177,-0.25103068935664186
52,326.5929908338158,-0.25606574842818475,-0.27810198962867916
53,374.20285525032193,-0.4391716988290384,-0.46442032512428466
54,300.2329943406285,-0.15468608121840255,-0.1749437317660938
55,312.1441495000514,-0.20049598663544055,-0.22155731973430792
56,297.13471307960253,-0.1427701948393474,-0.16281879474880956
57,270.5548153929575,-0.040544794974876286,-0.05879996681654087
58,289.2997468730482,-0.11263717616365576,-0.1321571266226671
59,296.04877152035124,-0.13859369982673853,-0.15856902789387428
60,332.587484922223,-0.27912037273099055,-0.3015610810245166
61,345.04217523968003,-0.32702069623486585,-0.3503017610810917
62,259.5537509496903,0.0017649319061583402,-0.015747964025312422
63,346.71442026480895,-0.3334520948196342,-0.3568459912199786
64,325.69170848947704,-0.2525994465963639,-0.2745748754840194
65,300.75323494906723,-0.15668690924454332,-0.17697966203830706
66,369.21555843426523,-0.41999072163813067,-0.4449028395616066
67,291.21240920848203,-0.11999321170414157,-0.13964221541824928
68,300.85231928759106,-0.1570679843053011,-0.17736742262644678
69,306.3964810461609,-0.17839064548950434,-0.19906416558581141
70,332.10500621916293,-0.27726477573329444,-0.2996729296935279
71,328.7657522130107,-0.2644221162147269,-0.286604960358845
72,316.29982928379826,-0.2164785924607322,-0.23782032215302573
73,290.85337175995005,-0.11861236565367128,-0.13823714399847264
74,331.79948263609265,-0.2760897422243034,-0.29847728156157194
75,323.61990461861205,-0.24463135801917035,-0.2664669958791559
76,326.3955213116811,-0.25530628723313975,-0.27732920455301935
77,337.395767432989,-0.29761286687521626,-0.3203780048905709
78,367.78029160028103,-0.4144707332715101,-0.43928600929381734
79,341.4683189306325,-0.31327576408510494,-0.3363156897708084
80,266.4253218155845,-0.024662900425792555,-0.042639442538525696
81,272.36109800936833,-0.04749169766455852,-0.06586874499200701
82,304.92882728763635,-0.17274609809144814,-0.19332059104042076
83,288.72211939586725,-0.11041564015461436,-0.1298966162976778
84,281.5108462813231,-0.0826813243059652,-0.10167573350431547
85,246.65341882667835,0.051379178928711466,0.0347367083836011
86,273.9875205814682,-0.0537468646234982,-0.07223365172215601
87,322.46558667995936,-0.24019188973224792,-0.2619496421836909
88,332.4236076010173,-0.27849010602016766,-0.3009197570029776
89,335.2754119700358,-0.2894580504944102,-0.31208012155571563
90,312.3455043931013,-0.20127039083741893,-0.22234530997491753
91,301.70743751156203,-0.1603567404701065,-0.18071387626782776
92,369.8975096459652,-0.4226134832501558,-0.4475716145352464
93,312.4933072308099,-0.2018388356209162,-0.22292372747391465
94,320.8549435657538,-0.2339974100420068,-0.2556464874111648
95,270.71063382194063,-0.04114406745503474,-0.059409752848982755
96,300.33057626443275,-0.15506137804226694,-0.17532561274476288
97,296.6134172413763,-0.14076530843464363,-0.16077873489840933
98,340.5133357342763,-0.3096029305677499,-0.3325784205777105
99,285.04238937342984,-0.09626352123483506,-0.11549621458983217
100,327.76156858163205,-0.2605600594654782,-0.2826751482280305
