evaluation_num,score,num_of_same,num_of_positive,num_of_negative,posi_error,nega_error,max_posi_error,min_nega_error,mean_posi_error_rate,mean_nega_error_rate,max_posi_error_rate,min_naga_error_rate
1,0 to 10,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
1,10 to 20,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
1,20 to 30,0,1,0,32.4575949226,,32.4575949226,0.0,1.26245021091,0.0,1.26245021091,0.0
1,30 to 40,0,1,0,23.612820127,,23.612820127,0.0,0.592245300401,0.0,0.592245300401,0.0
1,40 to 50,0,3,0,6.85728458603,,10.7645026687,0.0,0.14240669703,0.0,0.223144748522,0.0
1,50 to 60,0,11,2,13.8700378544,-9.62655603525,30.4294228466,-19.1353298108,0.254333719352,-0.188993393818,0.595954227313,-0.376013554938
1,60 to 70,0,4,7,7.54609448417,-4.21394221154,11.7273333314,-7.9299795898,0.122552248365,-0.0637073564594,0.19275695811,-0.118128699386
1,70 to 80,0,4,8,3.20685769225,-4.54711603586,5.8696727606,-8.8184971672,0.0424906451716,-0.060187524612,0.0765476364189,-0.114955925639
1,80 to 90,0,0,10,,-11.4076732594,0.0,-25.8335238391,0.0,-0.138220488631,0.0,-0.320475422889
1,90 to 100,0,0,3,,-17.427607224,0.0,-19.4732495903,0.0,-0.184017483852,0.0,-0.205046326106
2,0 to 10,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
2,10 to 20,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
2,20 to 30,0,1,0,39.4758087169,,39.4758087169,0.0,1.53542624336,0.0,1.53542624336,0.0
2,30 to 40,0,1,0,28.2592523707,,28.2592523707,0.0,0.708784860063,0.0,0.708784860063,0.0
2,40 to 50,0,3,0,7.1180367997,,10.5600639597,0.0,0.147907174028,0.0,0.218906798501,0.0
2,50 to 60,0,11,2,14.290683119,-10.9815459704,31.0935197099,-21.2967604856,0.261892987097,-0.214824678462,0.608960433018,-0.418486156133
2,60 to 70,0,7,4,5.26286176036,-6.20686378257,9.2966834668,-8.8572787079,0.0840409855401,-0.0924902236369,0.152805448172,-0.13194218245
2,70 to 80,0,4,8,2.2816722187,-4.96717531012,3.2956655725,-11.0356186981,0.0310712303481,-0.0661080020215,0.04297946756,-0.154365907093
2,80 to 90,0,1,9,1.8844474645,-12.9862304666,1.8844474645,-26.588425658,0.0234151026901,-0.157397991513,0.0234151026901,-0.329840288525
2,90 to 100,0,0,3,,-17.4597440228,0.0,-19.5344497057,0.0,-0.184368277212,0.0,-0.205690741347
3,0 to 10,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
3,10 to 20,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
3,20 to 30,0,1,0,35.4388284317,,35.4388284317,0.0,1.37840639563,0.0,1.37840639563,0.0
3,30 to 40,0,1,0,22.3518959142,,22.3518959142,0.0,0.560619410941,0.0,0.560619410941,0.0
3,40 to 50,0,3,0,7.5933772035,,10.5934099517,0.0,0.157960639913,0.0,0.219598050408,0.0
3,50 to 60,0,11,2,13.6562452505,-11.8853066975,31.4360423571,-22.3882884561,0.251023941655,-0.231546664067,0.61566867131,-0.439934927414
3,60 to 70,0,4,7,6.5777867158,-4.96956353423,11.0274260226,-7.9529897332,0.106176634727,-0.0749242322313,0.178987599783,-0.118471469286
3,70 to 80,0,5,7,2.30024483484,-5.40365311427,5.7502240267,-10.8485264775,0.0310722341668,-0.0718743723603,0.0749898803691,-0.15174886666
3,80 to 90,0,1,9,2.7316025714,-13.0126617775,2.7316025714,-26.6914793107,0.0339413838395,-0.157366032409,0.0339413838395,-0.331118711211
3,90 to 100,0,0,3,,-15.6535709413,0.0,-17.8450793275,0.0,-0.165313536644,0.0,-0.187902277851
4,0 to 10,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
4,10 to 20,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
4,20 to 30,0,1,0,34.687937107,,34.687937107,0.0,1.34920019864,0.0,1.34920019864,0.0
4,30 to 40,0,1,0,22.3980240761,,22.3980240761,0.0,0.561776375122,0.0,0.561776375122,0.0
4,40 to 50,0,2,1,6.3328140332,-0.2905290107,7.4072283532,-0.2905290107,0.132136941226,-0.00602257484867,0.153454078169,-0.00602257484867
4,50 to 60,0,10,3,15.120180672,-8.37757519987,31.5310346054,-20.3871298006,0.277921333853,-0.161321212598,0.617529075703,-0.400611707616
4,60 to 70,0,4,7,6.4846868261,-5.03673678144,11.6844281567,-10.3696412582,0.104557809737,-0.0756405034269,0.189651487692,-0.154471045109
