evaluation_num,kfold_split_num,label_val_predict,label_val_test,positive_error,negative_error,positive_error_rate,negative_error_rate
1.0,1.0,70.4790932045,69.33,1.1490932045,0.0,0.0165742565195,0.0
1.0,1.0,62.0939813191,61.13,0.9639813191,0.0,0.0157693655995,0.0
1.0,1.0,79.1908299066,70.97,8.2208299066,0.0,0.115835281198,0.0
1.0,1.0,28.0069153812,50.89,0.0,-22.8830846188,0.0,-0.449657783824
1.0,1.0,71.7689372716,61.38,10.3889372716,0.0,0.169256065031,0.0
1.0,1.0,77.3417219736,76.48,0.8617219736,0.0,0.0112672852197,0.0
1.0,2.0,75.8658120193,74.12,1.7458120193,0.0,0.0235538588681,0.0
1.0,2.0,52.0193487503,54.11,0.0,-2.0906512497,0.0,-0.0386370587636
1.0,2.0,52.0865902963,56.93,0.0,-4.8434097037,0.0,-0.0850765800755
1.0,2.0,71.3524733564,60.32,11.0324733564,0.0,0.182899094105,0.0
1.0,2.0,68.7483013419,70.1,0.0,-1.3516986581,0.0,-0.019282434495
1.0,2.0,75.6647143717,60.84,14.8247143717,0.0,0.243667231619,0.0
1.0,3.0,30.3283657083,52.57,0.0,-22.2416342917,0.0,-0.423086062235
1.0,3.0,76.710944042,72.53,4.180944042,0.0,0.0576443408521,0.0
1.0,3.0,80.0947996804,77.99,2.1047996804,0.0,0.0269880712963,0.0
1.0,3.0,66.0316484413,80.61,0.0,-14.5783515587,0.0,-0.180850410107
1.0,3.0,69.6022737176,72.67,0.0,-3.0677262824,0.0,-0.0422144802862
1.0,3.0,49.9282440517,50.2,0.0,-0.2717559483,0.0,-0.00541346510558
1.0,4.0,49.5970211141,47.15,2.4470211141,0.0,0.0518986450498,0.0
1.0,4.0,78.1424309118,66.43,11.7124309118,0.0,0.1763123726,0.0
1.0,4.0,48.381229941,25.71,22.671229941,0.0,0.881805909802,0.0
1.0,4.0,85.6696301864,83.56,2.1096301864,0.0,0.0252468906941,0.0
1.0,4.0,70.9663201646,67.13,3.8363201646,0.0,0.0571476264651,0.0
1.0,4.0,78.1437628595,82.94,0.0,-4.7962371405,0.0,-0.0578277928683
1.0,5.0,55.3062501098,55.3,0.0062501098,0.0,0.000113021877034,0.0
1.0,5.0,79.8305420737,79.78,0.0505420737,0.0,0.000633518096014,0.0
1.0,5.0,47.7037525268,25.57,22.1337525268,0.0,0.865614099601,0.0
1.0,5.0,76.7082716076,80.48,0.0,-3.7717283924,0.0,-0.0468654124304
1.0,5.0,76.262382798,61.61,14.652382798,0.0,0.237824749197,0.0
1.0,5.0,71.4650853243,63.62,7.8450853243,0.0,0.123311620942,0.0
1.0,6.0,75.1551442316,81.71,0.0,-6.5548557684,0.0,-0.0802209737902
1.0,6.0,78.6780635565,78.77,0.0,-0.0919364435,0.0,-0.00116715048242
1.0,6.0,76.0865331393,74.75,1.3365331393,0.0,0.0178800419973,0.0
1.0,6.0,66.5147499749,82.97,0.0,-16.4552500251,0.0,-0.198327709113
1.0,6.0,84.7114437431,94.97,0.0,-10.2585562569,0.0,-0.10801891394
1.0,6.0,33.9800018025,59.69,0.0,-25.7099981975,0.0,-0.430725384445
1.0,7.0,67.0991978889,61.0,6.0991978889,0.0,0.0999868506377,0.0
1.0,7.0,82.3182111914,85.72,0.0,-3.4017888086,0.0,-0.039684890441
1.0,7.0,78.8557410156,88.14,0.0,-9.2842589844,0.0,-0.105335364016
1.0,7.0,66.1355127112,80.67,0.0,-14.5344872888,0.0,-0.180172149359
1.0,7.0,84.5097933943,95.5,0.0,-10.9902066057,0.0,-0.115080697442
1.0,7.0,83.0513395598,104.16,0.0,-21.1086604402,0.0,-0.202656110217
1.0,8.0,83.719236736,76.68,7.039236736,0.0,0.0918001660929,0.0
1.0,8.0,57.4923000655,57.3,0.1923000655,0.0,0.00335602208551,0.0
1.0,8.0,68.4439378748,71.49,0.0,-3.0460621252,0.0,-0.0426082266779
1.0,8.0,56.9935095073,39.87,17.1235095073,0.0,0.42948355925,0.0
1.0,8.0,80.1651413613,93.69,0.0,-13.5248586387,0.0,-0.144357547643
1.0,8.0,50.5428008857,56.89,0.0,-6.3471991143,0.0,-0.111569680336
1.0,9.0,54.4622103199,51.06,3.4022103199,0.0,0.0666316161359,0.0
1.0,9.0,50.6789152776,48.27,2.4089152776,0.0,0.0499050192169,0.0
1.0,9.0,48.8823795086,48.24,0.6423795086,0.0,0.0133163248051,0.0
1.0,9.0,79.087697731,80.87,0.0,-1.782302269,0.0,-0.0220391031161
1.0,9.0,52.2818892976,59.34,0.0,-7.0581107024,0.0,-0.118943557506
