username,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,mt_mean,hw_mean,qz_mean,counseling_join_num,final_score
101302503,3,796,3,7,7,4,7,7,48,9,3,22,9,0,0,0,0,0.0,9.9,7.0,0,61.0
102602012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,52.57
103602527,1,291,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,9.488888889,7.777777778,0,47.15
104602001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.151428571,9.555555556,8.333333333,0,58.21
104602002,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,6.591111111,9.588888889,6.722222222,0,69.33
104602003,1,13,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6.502833333,9.522222222,6.555555556,0,55.3
104602005,3,656,1,1,0,0,1,0,8,0,0,4,0,2,1,1,1,7.107850242,9.766666667,8.333333333,0,74.12
104602006,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,6.246973684,9.811111111,6.333333333,0,61.13
104602007,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,7.824927536,9.666666667,9.777777778,0,85.72
104602008,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,7.357843137,9.877777778,9.055555556,0,72.53
104602009,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.833201754,9.777777778,9.444444444,0,79.78
104602010,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,7.705392157,9.977777778,9.888888889,0,76.68
104602011,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,7.545462963,9.766666667,8.333333333,0,70.97
104602012,1,543,1,6,1,6,4,1,44,24,0,10,1,2,1,1,1,8.011069703,9.833333333,8.888888889,1,88.14
104602013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8.324398148,9.877777778,8.666666667,0,66.43
104602014,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3.619166667,7.188888889,3.111111111,0,50.89
104602016,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,4.782,9.766666667,6.0,0,25.71
104602017,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,6.658333333,9.577777778,9.0,0,52.83
104602018,1,12,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,6.157969697,9.6,7.777777778,0,54.02
104602019,2,7,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,6.750218254,9.8,6.444444444,0,80.67
104602020,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,7.901805556,9.333333333,9.222222222,0,77.99
104602021,2,3,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,7.361833333,9.322222222,6.0,0,80.61
104602022,1,24,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,7.701742424,9.611111111,9.666666667,0,83.56
104602023,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,8.468051282,8.3,9.333333333,0,95.5
104602024,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,6.962083333,6.955555556,6.888888889,0,72.67
104602025,1,26,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,5.523313725,8.333333333,5.388888889,0,61.38
104602026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.444444444,1.888888889,0,25.57
104602027,3,578,2,4,1,2,2,1,11,5,0,2,1,2,1,1,1,5.858166667,9.6,9.444444444,0,57.3
104602028,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,7.72974359,9.811111111,9.333333333,4,104.16
104602029,3,83,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,5.191957672,9.755555556,6.888888889,0,67.13
104602030,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,7.619277778,9.666666667,4.777777778,0,54.11
104602031,3,244,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,5.850649351,9.488888889,5.222222222,0,50.2
104602032,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10.0,9.711111111,9.777777778,0,51.06
104602033,1,323,1,4,4,0,1,4,9,0,0,2,4,3,1,1,1,6.097222222,8.5,6.611111111,0,82.94
104602035,1,177,1,3,2,0,2,2,7,0,0,4,2,1,1,1,1,5.18452381,9.877777778,9.777777778,0,80.48
104602037,4,119,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,7.116666667,9.811111111,8.777777778,0,61.61
