username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,incomplete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050160,1.0,822.0,822.0,1.0,82.0,82.0,1.0,84.0,84.0,0.0,0.0,0.0,10.0,6.0,4.0,0.6,0.4,10.84917531,3.0,8.0,0.8,10.0,1.0,0.0,0.0,28.0,2.8,12.0,1.2,12.0,1.2,6.0,0.6,0.0,0.0,40.0,4.0,18.0,1.8,58.0,5.8,24.0,2.4,0.0,0.0,68.0,6.8,150.0,15.0,0.0,0.0,0.0,0.0,0.0,75.0,30.0
Y1050161,2.0,328.0,656.0,2.0,38.5,77.0,1.0,43.0,43.0,0.0,0.0,0.0,6.0,1.0,5.0,0.166666667,0.833333333,10.85981772,3.0,3.0,0.5,6.0,1.0,0.0,0.0,6.0,1.0,5.0,0.833333333,13.0,2.166666667,2.0,0.333333333,0.0,0.0,19.0,3.166666667,7.0,1.166666667,26.0,4.333333333,21.0,3.5,0.0,0.0,32.0,5.333333333,79.0,13.16666667,0.0,0.0,0.0,0.0,0.0,85.0,40.0
Y1050162,3.0,459.0,1377.0,2.0,28.0,56.0,2.0,132.0,264.0,0.0,0.0,0.0,13.0,11.0,2.0,0.846153846,0.153846154,4.45940118,6.0,11.0,0.846153846,13.0,1.0,1.0,0.076923077,39.0,3.0,82.0,6.307692307999999,82.0,6.307692307999999,24.0,1.846153846,1.0,0.076923077,121.0,9.307692308,107.0,8.230769231,228.0,17.53846154,118.0,9.076923077,1.0,0.076923077,241.0,18.53846154,588.0,45.23076923,0.0,0.0,0.0,0.0,0.0,85.0,30.0
Y1050163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050164,3.0,36.33333333,109.0,0.0,0.0,0.0,3.0,4.0,12.0,0.0,0.0,0.0,6.0,4.0,2.0,0.666666667,0.333333333,7.430377629,2.0,1.0,0.166666667,4.0,0.666666667,2.0,0.333333333,0.0,0.0,0.0,0.0,1.0,0.166666667,0.0,0.0,1.0,0.166666667,1.0,0.166666667,1.0,0.166666667,2.0,0.333333333,5.0,0.833333333,2.0,0.333333333,8.0,1.333333333,17.0,2.833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050165,2.0,70.5,141.0,0.0,0.0,0.0,2.0,17.0,34.0,0.0,0.0,0.0,3.0,1.0,2.0,0.333333333,0.666666667,7.4981928139999985,2.0,2.0,0.666666667,3.0,1.0,1.0,0.333333333,3.0,1.0,1.0,0.333333333,22.0,7.333333333,1.0,0.333333333,0.0,0.0,25.0,8.333333332999999,2.0,0.666666667,27.0,9.0,25.0,8.333333332999999,1.0,0.333333333,30.0,10.0,83.0,27.66666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050166,3.0,96.0,288.0,2.0,5.5,11.0,3.0,5.666666667,17.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,7.578262402999999,2.0,1.0,0.333333333,3.0,1.0,0.0,0.0,4.0,1.333333333,0.0,0.0,8.0,2.666666667,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,12.0,4.0,11.0,3.666666667,0.0,0.0,15.0,5.0,38.0,12.66666667,0.0,0.0,0.0,0.0,0.0,85.0,20.0
Y1050167,3.0,161.66666669999995,485.0,2.0,26.5,53.0,2.0,11.5,23.0,0.0,0.0,0.0,4.0,3.0,1.0,0.75,0.25,9.706875067999999,6.0,1.0,0.25,4.0,1.0,2.0,0.5,1.0,0.25,1.0,0.25,6.0,1.5,1.0,0.25,1.0,0.25,7.0,1.75,3.0,0.75,10.0,2.5,9.0,2.25,2.0,0.5,14.0,3.5,35.0,8.75,4.0,3.0,5.0,3.0,7.333333333,90.0,30.0
Y1050168,3.0,263.0,789.0,2.0,27.5,55.0,3.0,26.0,78.0,0.0,0.0,0.0,9.0,8.0,1.0,0.8888888890000001,0.111111111,14.48436201,2.0,6.0,0.666666667,6.0,0.666666667,5.0,0.5555555560000001,25.0,2.777777778,15.0,1.666666667,8.0,0.8888888890000001,8.0,0.8888888890000001,4.0,0.444444444,33.0,3.666666667,27.0,3.0,60.0,6.666666667,22.0,2.444444444,6.0,0.666666667,69.0,7.666666667,157.0,17.44444444,4.0,4.0,1.0,4.0,5.833333333,35.0,10.0
Y1050169,3.0,317.6666667,953.0,2.0,40.0,80.0,3.0,47.33333333,142.0,0.0,0.0,0.0,11.0,9.0,2.0,0.818181818,0.181818182,2.614786922,2.0,6.0,0.545454545,10.0,0.909090909,1.0,0.090909091,61.0,5.545454545,15.0,1.363636364,39.0,3.545454545,4.0,0.363636364,0.0,0.0,100.0,9.090909091,19.0,1.727272727,119.0,10.81818182,52.0,4.727272727,1.0,0.090909091,130.0,11.81818182,302.0,27.45454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
