feature,logistic,linear_svc,svc,GaNB,Decision_tree,Random_forest,NN
active_num_days,0.7270114942528736,0.7126436781609196,0.7442528735632183,0.7614942528735632,0.8936781609195402,0.8879310344827586,0.735632183908046
active_avg_count,0.6091954022988506,0.5517241379310345,0.6091954022988506,0.6120689655172413,0.9971264367816092,0.9482758620689655,0.5689655172413793
active_sum_count,0.6896551724137931,0.5689655172413792,0.6954022988505746,0.6954022988505746,0.9971264367816092,0.9655172413793103,0.5229885057471264
problem_num_days,0.6867816091954022,0.6781609195402298,0.7011494252873564,0.7097701149425286,0.8706896551724138,0.8563218390804597,0.6925287356321839
problem_avg_count,0.6379310344827587,0.6206896551724138,0.5977011494252874,0.6666666666666667,0.9913793103448276,0.9425287356321839,0.5603448275862069
problem_sum_count,0.6867816091954022,0.5747126436781609,0.7097701149425287,0.7011494252873562,0.985632183908046,0.9511494252873564,0.5804597701149425
video_num_days,0.6580459770114941,0.6637931034482758,0.6695402298850575,0.6925287356321839,0.8706896551724137,0.853448275862069,0.7011494252873562
video_avg_count,0.5459770114942528,0.6091954022988506,0.6235632183908045,0.6293103448275862,0.985632183908046,0.9540229885057472,0.5603448275862069
video_sum_count,0.6235632183908046,0.5488505747126438,0.6293103448275862,0.646551724137931,0.9712643678160919,0.9425287356321839,0.5028735632183908
forum_num_days,0.5545977011494252,0.5545977011494252,0.5459770114942529,0.5488505747126436,0.5632183908045977,0.5632183908045977,0.5431034482758621
forum_avg_count,0.5517241379310345,0.5517241379310345,0.5459770114942529,0.5488505747126436,0.5603448275862069,0.5545977011494252,0.5517241379310345
forum_sum_count,0.5545977011494252,0.5545977011494252,0.5459770114942529,0.5488505747126436,0.5632183908045977,0.5632183908045977,0.5545977011494252
num_watched,0.632183908045977,0.6206896551724138,0.6551724137931034,0.6522988505747126,0.9281609195402298,0.9022988505747126,0.6494252873563219
num_complete,0.6522988505747127,0.6350574712643677,0.6350574712643677,0.617816091954023,0.9022988505747127,0.8850574712643678,0.6551724137931034
num_incomplete,0.632183908045977,0.632183908045977,0.6522988505747126,0.646551724137931,0.8563218390804598,0.8362068965517242,0.6810344827586207
complete_rate,0.6637931034482758,0.6666666666666667,0.6580459770114943,0.6235632183908045,0.9798850574712643,0.9626436781609196,0.5747126436781609
incomplete_rate,0.5689655172413793,0.5689655172413792,0.5689655172413793,0.617816091954023,0.9741379310344828,0.9425287356321839,0.5459770114942528
watched_time_hour,0.617816091954023,0.6149425287356322,0.6149425287356323,0.6408045977011494,0.9971264367816092,0.9655172413793103,0.6120689655172413
watched_time_weekday,0.5517241379310345,0.5747126436781609,0.5689655172413793,0.5833333333333333,0.8620689655172413,0.8534482758620691,0.5545977011494253
seek_video_sum,0.6264367816091954,0.6091954022988506,0.6206896551724137,0.617816091954023,0.8879310344827586,0.8735632183908046,0.6350574712643678
seek_video_avg,0.5919540229885056,0.5948275862068966,0.6091954022988506,0.6005747126436781,0.9798850574712643,0.9367816091954022,0.6120689655172414
