feature,pearson,p-value,distance_correlation
num_days,0.828852604102,1.41406786569e-33,0.171147395898
active_num_days,0.828852604102,1.41406786569e-33,0.171147395898
active_avg_count,0.590841157558,2.11343894188e-13,0.409158842442
active_sum_count,0.760067548695,2.40740486631e-25,0.239932451305
problem_num_days,0.751515799484,1.62662253302e-24,0.248484200516
problem_avg_count,0.661144840343,2.00859038195e-17,0.338855159657
problem_sum_count,0.748662335642,3.02473906587e-24,0.251337664358
video_num_days,0.754415413663,8.58545437657e-25,0.245584586337
video_avg_count,0.349356484974,5.30293476086e-05,0.650643515026
video_sum_count,0.432015182163,3.5448090145e-07,0.567984817837
forum_num_days,0.197718082049,0.0252789089674,0.802281917951
forum_avg_count,0.181464633358,0.0403692920174,0.818535366642
forum_sum_count,0.199105452379,0.0242508152584,0.800894547621
num_watched,0.705209190839,1.51558665343e-20,0.294790809161
num_complete,0.677519100996,1.606431484e-18,0.322480899004
num_incomplete,0.498811370353,2.06720839008e-09,0.501188629647
complete_rate,0.717927440382,1.47813653339e-21,0.282072559618
incomplete_rate,0.466660375525,2.82133107787e-08,0.533339624475
watched_time_hour,0.618926716735,6.89918152312e-15,0.381073283265
watched_time_weekday,0.561502376171,5.38990048161e-12,0.438497623829
seek_video_sum,0.546108947017,2.60639433593e-11,0.453891052983
seek_video_avg,0.599617890778,7.51789401276e-14,0.400382109222
pause_video_sum,0.719749619764,1.04792385831e-21,0.280250380236
pause_video_avg,0.728827070043,1.81213318825e-22,0.271172929957
stop_video_sum,0.611215960451,1.82599329399e-14,0.388784039549
stop_video_avg,0.569479162441,2.30590653435e-12,0.430520837559
video_forward_seek_sum,0.24937361305,0.0045304329599,0.75062638695
video_forward_seek_avg,0.323098827106,0.000199326753711,0.676901172894
video_backward_seek_sum,0.384664635537,7.35917433983e-06,0.615335364463
video_backward_seek_avg,0.429400833288,4.24315164994e-07,0.570599166712
video_pause_forward_seek_sum,0.553509846128,1.23403047208e-11,0.446490153872
video_pause_forward_seek_avg,0.469611321596,2.24428834775e-08,0.530388678404
video_pause_backward_seek_sum,0.574414198263,1.348073995e-12,0.425585801737
video_pause_backward_seek_avg,0.530921127698,1.14320284785e-10,0.469078872302
video_stop_backward_seek_sum,0.504822065482,1.22988032789e-09,0.495177934518
video_stop_backward_seek_avg,0.454182284352,7.25176014443e-08,0.545817715648
all_type_video_forward_seek_sum,0.374174100338,1.35583229796e-05,0.625825899662
all_type_video_forward_seek_avg,0.50083644157,1.73736449309e-09,0.49916355843
all_type_video_backward_seek_sum,0.447928296097,1.14776310777e-07,0.552071703903
all_type_video_backward_seek_avg,0.512821445033,6.06540988104e-10,0.487178554967
all_type_video_seek_sum,0.403866383501,2.27441803033e-06,0.596133616499
all_type_video_seek_avg,0.535208669062,7.58736207821e-11,0.464791330938
video_pause_sum,0.619556275287,6.36461168228e-15,0.380443724713
video_pause_avg,0.544860146938,2.95156577255e-11,0.455139853062
video_stop_sum,0.60924963202,2.33057508552e-14,0.39075036798
video_stop_avg,0.572821629442,1.60461195548e-12,0.427178370558
video_play_sum,0.432069976999,3.53141689024e-07,0.567930023001
video_play_avg,0.566749429045,3.09128530059e-12,0.433250570955
video_events_sum,0.459777047092,4.7713419846e-08,0.540222952908
video_events_avg,0.567528092172,2.84410798156e-12,0.432471907828
mt_practice_sum,0.652085098403,7.60253965968e-17,0.347914901597
mt_unit_sum,0.76735031524,4.43754762498e-26,0.23264968476
mt_online_num_day,0.704945997413,1.58829669979e-20,0.295054002587
mt_online_practice_num_day,0.738045132556,2.83225429129e-23,0.261954867444
hw_mean,0.76059795857,2.13278109818e-25,0.23940204143
qz_mean,0.921110049089,1.8286691298e-53,0.0788899509109
