username,active_num_days,problem_num_days,video_num_days,complete_rate,pause_video_sum,pause_video_avg,all_type_video_backward_seek_sum,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050160,1.166666667,1.166666667,1.166666667,0.1,3.0,0.666666667,5.5,0.0,0.0,0.0,0.0,37.0,1
Y1050161,0.833333333,0.5,0.166666667,0.027777778,1.0,0.166666667,1.166666667,0.0,0.0,0.0,0.0,52.5,1
Y1050162,2.333333333,2.166666667,2.166666667,0.657295482,9.5,0.8222222220000001,90.5,0.0,0.0,0.0,0.0,44.16666667,1
Y1050163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050164,0.5,0.0,0.5,0.111111111,0.666666667,0.111111111,0.166666667,0.0,0.0,0.0,0.0,0.0,0
Y1050165,0.5,0.0,0.333333333,0.055555556,0.5,0.166666667,0.333333333,0.0,0.0,0.0,0.0,0.0,0
Y1050166,1.166666667,0.5,0.833333333,0.0,0.666666667,0.333333333,0.833333333,0.0,0.0,0.0,0.0,27.5,0
Y1050167,1.166666667,0.666666667,0.833333333,0.27483165,3.5,0.444444445,1.333333333,0.666666667,0.5,0.5,1.294117647,47.66666667,1
Y1050168,1.0,0.666666667,0.666666667,0.148148148,1.333333333,0.27777777800000003,4.5,0.666666667,0.666666667,0.666666667,1.029411765,11.33333333,0
Y1050169,1.166666667,1.0,1.166666667,0.25,3.833333333,0.484848485,9.833333332999999,0.0,0.0,0.0,0.0,0.0,0
Y1050170,1.333333333,0.833333333,1.0,0.438492064,5.0,0.486111111,5.833333333,1.333333333,1.166666667,1.166666667,3.3264705880000003,0.0,0
Y1050171,2.833333333,2.166666667,2.333333333,0.80952381,7.5,0.766594517,2.833333333,0.333333333,0.333333333,0.333333333,0.529411765,13.0,0
Y1050172,0.5,0.166666667,0.333333333,0.166666667,1.333333333,0.3125,2.333333333,0.333333333,0.333333333,0.333333333,0.0,15.5,0
Y1050173,3.0,2.0,1.666666667,0.480555556,5.5,0.819444445,9.0,0.833333333,0.833333333,0.833333333,1.058823529,87.16666667,2
Y1050174,5.166666667,3.333333333,1.0,0.411111111,2.833333333,0.5,2.0,5.666666667,2.833333333,3.666666667,6.71,83.33333333,3
Y1050175,2.666666667,2.5,2.666666667,0.536556036,7.5,0.7010582009999999,9.5,0.5,0.333333333,0.333333333,0.529411765,37.16666667,1
Y1050176,4.333333333,3.0,3.833333333,0.837606838,10.0,1.0,15.16666667,14.16666667,3.0,3.666666667,9.484705882,81.0,3
Y1050177,2.333333333,1.0,1.166666667,0.282142857,4.166666667,0.5380952379999999,25.16666667,1.333333333,0.833333333,0.833333333,1.058823529,28.83333333,0
Y1050178,0.333333333,0.333333333,0.333333333,0.17424242399999998,2.666666667,0.254545455,2.666666667,0.333333333,0.333333333,0.333333333,0.308823529,32.5,0
Y1050179,4.833333333,3.5,4.333333333,0.848009116,11.16666667,0.981424149,38.33333333,3.666666667,1.833333333,2.5,7.980588235,96.33333333,3
Y1050180,3.5,0.333333333,1.0,0.254545455,3.0,0.28636363600000003,2.0,0.333333333,0.333333333,0.333333333,0.352941176,51.33333333,1
Y1050181,2.0,1.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0
Y1050182,4.5,3.166666667,4.0,0.696136788,11.66666667,0.975694445,35.66666667,2.666666667,2.0,2.333333333,7.1176470589999985,89.16666667,3
Y1050183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0
Y1050184,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.647058824,18.83333333,0
Y1050185,5.833333333,2.5,2.833333333,0.8821830340000001,8.333333332999999,0.785953177,13.16666667,9.833333332999999,3.0,4.166666667,10.0,90.66666667,3
Y1050186,4.333333333,2.5,3.5,0.780830281,9.833333332999999,0.974358974,37.83333333,6.0,2.666666667,4.0,8.436470587999999,83.83333333,3
Y1050187,0.333333333,0.166666667,0.166666667,0.055555556,0.666666667,0.111111111,1.0,0.0,0.0,0.0,0.0,26.66666667,0
Y1050188,3.833333333,2.5,2.166666667,0.261111111,2.666666667,1.0,4.0,1.333333333,0.666666667,0.833333333,2.705882353,55.0,1
Y1050189,3.333333333,2.333333333,2.0,0.844907407,10.83333333,0.946990741,28.0,4.0,3.0,3.5,7.52,91.66666667,3
Y1050190,3.833333333,2.833333333,2.5,0.799801587,9.833333332999999,0.967361111,60.66666667,7.333333333,2.666666667,5.166666667,6.987647059,88.83333333,3
Y1050191,3.0,1.666666667,2.333333333,0.217592593,6.833333333,0.756613757,11.33333333,0.166666667,0.166666667,0.166666667,0.294117647,41.66666667,1
Y1050192,2.666666667,1.833333333,2.166666667,0.749065518,10.5,0.900992064,19.5,14.5,3.0,5.0,7.862941176,66.83333333,2
Y1050193,2.0,0.833333333,1.666666667,0.322222222,3.333333333,0.5,5.833333333,0.333333333,0.333333333,0.333333333,0.05882352900000001,25.83333333,0
Y1050194,2.5,1.833333333,1.666666667,0.402236652,4.833333333,0.833333333,30.5,0.5,0.5,0.5,0.941176471,25.0,0
Y1050195,4.666666667,3.5,3.166666667,0.7410256409999999,9.166666667000001,0.833333333,26.16666667,1.333333333,1.166666667,1.333333333,1.382352941,53.0,1
Y1050196,1.166666667,0.166666667,0.333333333,0.0,0.5,0.333333333,0.166666667,0.0,0.0,0.0,0.0,9.166666667000001,0
Y1050197,3.333333333,2.5,2.833333333,0.867760181,19.66666667,0.925584465,104.5,3.333333333,2.166666667,2.333333333,5.4117647060000005,80.5,3
Y1050198,1.166666667,0.833333333,1.0,0.375,2.666666667,0.666666667,6.333333333,0.0,0.0,0.0,0.0,36.5,0
Y1050199,1.666666667,1.0,1.5,0.350396826,5.666666667,0.472222222,11.33333333,8.5,1.666666667,2.833333333,4.147058824,35.0,1
Y1050200,2.5,1.333333333,2.0,0.609704185,5.666666667,0.976190476,29.5,2.333333333,0.666666667,0.666666667,1.529411765,27.66666667,1
Y1050201,3.666666667,2.333333333,3.166666667,0.803907127,14.16666667,0.9559133,31.5,5.166666667,1.666666667,2.666666667,6.644117647000001,66.0,2
Y1050202,4.0,2.833333333,3.0,0.965079365,9.666666667000001,1.0,12.66666667,2.5,1.666666667,2.166666667,6.907058824,76.66666667,2
Y1050203,0.333333333,0.166666667,0.333333333,0.083333333,0.166666667,0.166666667,0.0,0.0,0.0,0.0,0.0,12.83333333,0
