username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050160,1.75,323.75,423.25,1.75,30.20833333325,38.75,1.75,31.20833333325,40.5,0.0,0.0,0.0,4.5,1.5,3.0,0.15,7.7285004712499985,1.5,3.5,0.7625,4.5,1.0,0.0,0.0,12.5,3.075,5.5,1.3625,8.25,2.925,2.75,0.4625,0.0,20.75,6.0,8.25,1.825,29.0,7.825,14.5,4.2875,0.0,0.0,33.5,8.825,77.0,20.9375,0.0,0.0,0.0,0.0,0.0,49.25,30.0
Y1050161,1.25,140.0,222.25,0.75,19.375,29.0,0.25,10.75,10.75,0.0,0.0,0.0,1.5,0.25,1.25,0.04166666675,2.71495443,0.75,0.75,0.125,1.5,0.25,0.0,0.0,1.5,0.25,1.25,0.20833333325,3.25,0.54166666675,0.5,0.08333333325,0.0,4.75,0.79166666675,1.75,0.29166666675,6.5,1.08333333325,5.25,0.875,0.0,0.0,8.0,1.33333333325,19.75,3.2916666675,0.0,0.0,0.0,0.0,0.0,63.75,40.0
Y1050162,2.75,466.166666675,1347.5,2.5,21.5416666675,54.75,2.5,113.91666665,297.75,0.0,0.0,0.0,11.0,9.0,2.0,0.8073717947500001,10.386783235,5.25,9.75,0.8615384614999999,10.75,0.98333333325,0.25,0.01923076925,48.5,3.8833333335,90.5,8.2935897445,98.5,9.085256409500001,29.5,2.719871795,0.25,147.0,12.968589744500001,120.25,11.032692307000001,267.25,24.00128205,138.25,12.74839743675,0.25,0.01923076925,278.25,25.00128205,684.0,61.7701923075,0.0,0.0,0.0,0.0,0.0,43.75,30.0
Y1050163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050164,0.75,9.0833333325,27.25,0.0,0.0,0.0,0.75,1.0,3.0,0.0,0.0,0.0,1.5,1.0,0.5,0.16666666675,1.85759440725,0.5,0.25,0.04166666675,1.0,0.16666666675,0.5,0.08333333325,0.0,0.0,0.0,0.0,0.25,0.04166666675,0.0,0.0,0.25,0.25,0.04166666675,0.25,0.04166666675,0.5,0.08333333325,1.25,0.20833333325,0.5,0.08333333325,2.0,0.33333333325,4.25,0.70833333325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050165,0.75,18.625,36.25,0.0,0.0,0.0,0.5,4.25,8.5,0.0,0.0,0.0,0.75,0.25,0.5,0.08333333325,1.8745482035,0.5,0.5,0.16666666675,0.75,0.25,0.25,0.08333333325,0.75,0.25,0.25,0.08333333325,5.5,1.83333333325,0.25,0.08333333325,0.0,6.25,2.08333333325,0.5,0.16666666675,6.75,2.25,6.25,2.08333333325,0.25,0.08333333325,7.5,2.5,20.75,6.9166666675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050166,1.75,37.25,98.5,0.75,1.625,3.0,1.25,3.66666666675,8.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.212530134,1.25,0.5,0.33333333325000003,1.0,0.5,0.0,0.0,1.0,0.33333333325,0.25,0.25,3.0,1.66666666675,1.0,1.0,0.0,4.0,2.0,1.25,1.25,5.25,3.25,5.0,3.1666666667500003,0.0,0.0,6.25,3.75,16.5,10.1666666675,0.0,0.0,0.0,0.0,0.0,41.25,20.0
Y1050167,1.75,213.041666675,466.5,1.0,53.125,59.75,1.25,13.5,19.5,0.0,0.0,0.0,6.0,3.0,3.0,0.41224747475,4.8198809335,3.5,2.0,0.2468434345,5.25,0.66666666675,0.75,0.15277777775,1.25,0.168560606,1.0,0.14583333325,5.75,0.8017676767499999,0.75,0.11300505050000001,0.25,7.0,0.97032828275,2.0,0.32133838375,9.0,1.29166666675,10.75,1.4059343435,0.75,0.15277777775,15.0,2.0416666667500003,35.5,4.8920454545,1.0,0.75,1.25,0.75,1.833333333,71.5,30.0
Y1050168,1.5,89.375,238.25,1.0,8.375,15.25,1.0,7.0,20.0,0.0,0.0,0.0,2.75,2.0,0.75,0.22222222225,5.4394754935,2.25,1.5,0.16666666675,2.0,0.41666666675,1.25,0.13888888900000002,6.25,0.6944444445,3.75,0.41666666674999997,2.0,0.22222222225,2.0,0.22222222225,1.0,8.25,0.91666666675,6.75,0.75,15.0,1.66666666675,6.0,0.8611111109999999,1.5,0.16666666675,17.75,2.1666666667500003,40.25,4.86111111,1.0,1.0,0.25,1.0,1.458333333,15.0,10.0
Y1050169,1.75,198.25,526.25,1.5,20.0,43.5,1.75,29.3333333325,79.0,0.0,0.0,0.0,6.0,3.0,3.0,0.375,3.95574657275,2.25,3.5,0.5227272725000001,5.75,0.7272727272499999,0.25,0.02272727275,30.5,4.409090909,10.75,0.9772727272499999,22.5,2.04545454525,4.0,0.36363636375,0.0,53.0,6.454545454500001,14.75,1.3409090907500003,67.75,7.795454545,31.75,3.0909090907500003,0.25,0.02272727275,73.75,8.545454545,173.5,19.4545454525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
