username,active_num_days,problem_num_days,video_num_days,num_complete,num_incomplete,pause_video_sum,pause_video_avg,stop_video_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,final_score
Y1050160,1.166666667,1.166666667,1.166666667,1.0,2.0,3.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Y1050161,0.833333333,0.5,0.166666667,0.166666667,0.833333333,1.0,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Y1050162,2.333333333,2.166666667,2.166666667,7.666666667,2.0,9.5,0.8222222220000001,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0,1
Y1050163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050164,0.5,0.0,0.5,0.666666667,0.333333333,0.666666667,0.111111111,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0,0
Y1050165,0.5,0.0,0.333333333,0.166666667,0.333333333,0.5,0.166666667,0.166666667,0.166666667,0.0,0.0,0.0,0.0,0.0,0
Y1050166,1.166666667,0.5,0.833333333,0.0,0.666666667,0.666666667,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050167,1.166666667,0.666666667,0.833333333,2.0,2.0,3.5,0.444444445,0.5,0.5,0.666666667,0.5,0.833333333,0.5,1.294117647,1
Y1050168,1.0,0.666666667,0.666666667,1.333333333,0.5,1.333333333,0.27777777800000003,0.833333333,1.0,0.666666667,0.666666667,0.166666667,0.666666667,1.029411765,0
Y1050169,1.166666667,1.0,1.166666667,2.0,2.0,3.833333333,0.484848485,0.166666667,0.166666667,0.0,0.0,0.0,0.0,0.0,0
Y1050170,1.333333333,0.833333333,1.0,4.666666667,0.5,5.0,0.486111111,1.0,1.0,1.333333333,1.166666667,0.833333333,1.166666667,3.3264705880000003,0
Y1050171,2.833333333,2.166666667,2.333333333,8.0,0.166666667,7.5,0.766594517,1.833333333,1.833333333,0.333333333,0.333333333,0.166666667,0.333333333,0.529411765,0
Y1050172,0.5,0.166666667,0.333333333,1.333333333,0.166666667,1.333333333,0.3125,0.333333333,0.333333333,0.333333333,0.333333333,0.166666667,0.333333333,0.0,0
Y1050173,3.0,2.0,1.666666667,3.666666667,2.0,5.5,0.819444445,1.166666667,1.166666667,0.833333333,0.833333333,0.333333333,0.833333333,1.058823529,2
