username,active_num_days,active_sum_count,problem_num_days,problem_sum_count,video_num_days,num_watched,num_incomplete,complete_rate,pause_video_sum,pause_video_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050160,1.166666667,282.1666667,1.166666667,25.83333333,1.166666667,3.0,2.0,0.1,3.0,0.666666667,0.0,0.0,0.0,0.0,37.0,1
Y1050161,0.833333333,148.16666669999995,0.5,19.33333333,0.166666667,1.0,0.833333333,0.027777778,1.0,0.166666667,0.0,0.0,0.0,0.0,52.5,1
Y1050162,2.333333333,1070.333333,2.166666667,48.0,2.166666667,9.666666667000001,2.0,0.657295482,9.5,0.8222222220000001,0.0,0.0,0.0,0.0,44.16666667,1
Y1050163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050164,0.5,18.16666667,0.0,0.0,0.5,1.0,0.333333333,0.111111111,0.666666667,0.111111111,0.0,0.0,0.0,0.0,0.0,0
Y1050165,0.5,24.16666667,0.0,0.0,0.333333333,0.5,0.333333333,0.055555556,0.5,0.166666667,0.0,0.0,0.0,0.0,0.0,0
Y1050166,1.166666667,65.66666667,0.5,2.0,0.833333333,0.666666667,0.666666667,0.0,0.666666667,0.333333333,0.0,0.0,0.0,0.0,27.5,0
Y1050167,1.166666667,311.0,0.666666667,39.83333333,0.833333333,4.0,2.0,0.27483165,3.5,0.444444445,0.666666667,0.5,0.5,1.294117647,47.66666667,1
Y1050168,1.0,158.83333330000005,0.666666667,10.16666667,0.666666667,1.833333333,0.5,0.148148148,1.333333333,0.27777777800000003,0.666666667,0.666666667,0.666666667,1.029411765,11.33333333,0
Y1050169,1.166666667,350.8333333,1.0,29.0,1.166666667,4.0,2.0,0.25,3.833333333,0.484848485,0.0,0.0,0.0,0.0,0.0,0
Y1050170,1.333333333,355.1666667,0.833333333,30.16666667,1.0,5.166666667,0.5,0.438492064,5.0,0.486111111,1.333333333,1.166666667,1.166666667,3.3264705880000003,0.0,0
Y1050171,2.833333333,491.0,2.166666667,65.0,2.333333333,8.166666667000001,0.166666667,0.80952381,7.5,0.766594517,0.333333333,0.333333333,0.333333333,0.529411765,13.0,0
Y1050172,0.5,157.5,0.166666667,7.666666667,0.333333333,1.5,0.166666667,0.166666667,1.333333333,0.3125,0.333333333,0.333333333,0.333333333,0.0,15.5,0
Y1050173,3.0,554.8333332999998,2.0,45.66666667,1.666666667,5.666666667,2.0,0.480555556,5.5,0.819444445,0.833333333,0.833333333,0.833333333,1.058823529,87.16666667,2
Y1050174,5.166666667,613.3333332999998,3.333333333,73.33333333,1.0,3.0,0.833333333,0.411111111,2.833333333,0.5,5.666666667,2.833333333,3.666666667,6.71,83.33333333,3
Y1050175,2.666666667,575.6666667000002,2.5,54.0,2.666666667,8.666666667000001,2.833333333,0.536556036,7.5,0.7010582009999999,0.5,0.333333333,0.333333333,0.529411765,37.16666667,1
Y1050176,4.333333333,993.1666667000003,3.0,85.16666667,3.833333333,10.0,1.333333333,0.837606838,10.0,1.0,14.16666667,3.0,3.666666667,9.484705882,81.0,3
Y1050177,2.333333333,738.3333332999998,1.0,62.66666667,1.166666667,5.166666667,2.666666667,0.282142857,4.166666667,0.5380952379999999,1.333333333,0.833333333,0.833333333,1.058823529,28.83333333,0
Y1050178,0.333333333,135.33333330000002,0.333333333,9.166666667000001,0.333333333,3.5,1.666666667,0.17424242399999998,2.666666667,0.254545455,0.333333333,0.333333333,0.333333333,0.308823529,32.5,0
Y1050179,4.833333333,1269.5,3.5,96.66666667,4.333333333,11.5,1.333333333,0.848009116,11.16666667,0.981424149,3.666666667,1.833333333,2.5,7.980588235,96.33333333,3
Y1050180,3.5,153.83333330000005,0.333333333,7.666666667,1.0,3.5,0.833333333,0.254545455,3.0,0.28636363600000003,0.333333333,0.333333333,0.333333333,0.352941176,51.33333333,1
Y1050181,2.0,215.0,1.333333333,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0
Y1050182,4.5,941.0,3.166666667,58.16666667,4.0,12.0,3.5,0.696136788,11.66666667,0.975694445,2.666666667,2.0,2.333333333,7.1176470589999985,89.16666667,3
Y1050183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0
Y1050184,0.166666667,10.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.647058824,18.83333333,0
Y1050185,5.833333333,733.5,2.5,70.5,2.833333333,9.5,1.833333333,0.8821830340000001,8.333333332999999,0.785953177,9.833333332999999,3.0,4.166666667,10.0,90.66666667,3
Y1050186,4.333333333,967.1666667000003,2.5,79.66666667,3.5,10.16666667,1.666666667,0.780830281,9.833333332999999,0.974358974,6.0,2.666666667,4.0,8.436470587999999,83.83333333,3
Y1050187,0.333333333,50.5,0.166666667,1.333333333,0.166666667,1.0,0.666666667,0.055555556,0.666666667,0.111111111,0.0,0.0,0.0,0.0,26.66666667,0
Y1050188,3.833333333,323.1666667,2.5,17.0,2.166666667,2.666666667,1.666666667,0.261111111,2.666666667,1.0,1.333333333,0.666666667,0.833333333,2.705882353,55.0,1
