feature,pearson,p-value,distance_correlation
active_num_days,0.6814510017933153,2.5017386218365854e-26,0.3185489982066847
active_avg_count,0.6156144827574322,1.800387120973995e-20,0.38438551724256775
active_sum_count,0.7059333017639581,6.431231478311136e-29,0.2940666982360419
problem_num_days,0.6744127070903658,1.2495004747743845e-25,0.32558729290963406
problem_avg_count,0.5139976341739679,9.937242947807544e-14,0.48600236582603207
problem_sum_count,0.6413559905690761,1.3645039148035535e-22,0.3586440094309239
video_num_days,0.6688688810297915,4.300175193441038e-25,0.3311311189702084
video_avg_count,0.40636067429985345,1.1451707957805117e-08,0.5936393257001467
video_sum_count,0.5416890502371965,2.4094692046869857e-15,0.4583109497628035
forum_num_days,0.18799476783232694,0.010819218042505024,0.8120052321676731
forum_avg_count,0.019275288809852048,0.79564401511661,0.9807247111901479
forum_sum_count,0.019275288809852048,0.79564401511661,0.9807247111901479
num_watched,0.6997267662584193,3.088136026085281e-28,0.30027323374158066
num_complete,0.6764754990511638,7.834778017542866e-26,0.3235245009488362
num_incomplete,0.4093298955521302,8.74393206998629e-09,0.5906701044478699
complete_rate,0.6406696164129588,1.5636380533340715e-22,0.35933038358704106
incomplete_rate,0.2170937969276663,0.003157689081747358,0.7829062030723337
watched_time_hour,0.6024398484432716,1.850208413030789e-19,0.3975601515567284
watched_time_weekday,0.38465160436594026,7.61146602159103e-08,0.6153483956340597
seek_video_sum,0.5956353841977896,5.9125019528682475e-19,0.4043646158022104
seek_video_avg,0.5500454985745109,7.323570101842775e-16,0.4499545014254891
pause_video_sum,0.6986388734490376,4.048868578998233e-28,0.30136112655096225
pause_video_avg,0.6447777564619439,6.88310320864948e-23,0.355222243538056
stop_video_sum,0.5377002440154555,4.205198654007913e-15,0.46229975598454454
stop_video_avg,0.3979786066023796,2.4182717387147024e-08,0.6020213933976204
video_forward_seek_sum,0.3159399363538885,1.3198387161893646e-05,0.6840600636461115
video_forward_seek_avg,0.28741779840638215,7.978627565086261e-05,0.7125822015936178
video_backward_seek_sum,0.40509195727685826,1.2840594347055384e-08,0.5949080427231418
video_backward_seek_avg,0.3568296525361153,7.113876310171261e-07,0.6431703474638848
video_pause_forward_seek_sum,0.5201986120497337,4.448343010605207e-14,0.4798013879502664
video_pause_forward_seek_avg,0.4696699731085397,1.9838827250520894e-11,0.5303300268914602
video_pause_backward_seek_sum,0.4663831223285861,2.8527890698627188e-11,0.5336168776714139
video_pause_backward_seek_avg,0.4374180228996521,5.959037269775136e-10,0.562581977100348
video_stop_backward_seek_sum,0.3343319317627714,3.735606317825714e-06,0.6656680682372286
video_stop_backward_seek_avg,0.2656748390146877,0.0002780889387125268,0.7343251609853123
all_type_video_forward_seek_sum,0.49895935095561456,6.531784930739893e-13,0.5010406490443854
all_type_video_forward_seek_avg,0.4657663382434899,3.052712023786073e-11,0.5342336617565101
all_type_video_backward_seek_sum,0.4745669309119174,1.146432967669447e-11,0.5254330690880826
all_type_video_backward_seek_avg,0.44749851955440995,2.1370400774185103e-10,0.55250148044559
all_type_video_seek_sum,0.5137818003038601,1.0216183477372482e-13,0.4862181996961399
all_type_video_seek_avg,0.4823028415309108,4.735052026702143e-12,0.5176971584690893
video_pause_sum,0.5543539189499994,3.9119071866043823e-16,0.4456460810500006
video_pause_avg,0.5146270013101462,9.165565921084962e-14,0.48537299868985384
video_stop_sum,0.5301996603649799,1.1750276885992692e-14,0.4698003396350201
video_stop_avg,0.3988727830984893,2.2351167551403447e-08,0.6011272169015107
video_play_sum,0.5361465204027841,5.213600117063416e-15,0.463853479597216
video_play_avg,0.5053426608299887,2.9703153484887723e-13,0.4946573391700113
video_events_sum,0.541981495304399,2.312398327867209e-15,0.458018504695601
video_events_avg,0.5101344988798598,1.6262262712402058e-13,0.48986550112014016
mt_practice_sum,0.7929724329738161,8.333260019214974e-41,0.20702756702618397
mt_unit_sum,0.7929724329738161,8.333260019214974e-41,0.20702756702618397
mt_online_num_day,0.7546589673092622,5.842752823463448e-35,0.2453410326907377
mt_online_practice_num_day,0.7929724329738161,8.333260019214974e-41,0.20702756702618397
hw_mean,0.8399327995538615,6.32719618307418e-50,0.16006720044613854
qz_mean,0.9257006968442976,2.4268295295511934e-78,0.07429930315570243
