username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_sum_count,video_num_days,video_sum_count,num_watched,num_complete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050274,2.0,122.5,245.0,1.0,26.0,1.0,7.0,6.0,5.0,0.833333333,7.897979712000001,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.166666667,0.0,0.0,0.0,1.0,0.166666667,0.0,0.0,1.0,0.166666667,7.0,1.166666667,0.0,0.0,7.0,1.166666667,15.0,2.5,3.0,3.0,2.0,3.0,9.65,10.0,80.0
Y1050275,3.0,131.3333333,394.0,1.0,33.0,1.0,27.0,8.0,6.0,0.75,13.93254599,5.0,0.625,7.0,0.875,0.0,0.0,7.0,6.0,0.75,3.0,0.375,0.0,0.0,0.0,10.0,1.25,6.0,0.75,16.0,2.0,10.0,1.25,0.0,0.0,24.0,3.0,50.0,6.25,3.0,3.0,1.0,3.0,8.0,8.0,20.0
Y1050276,3.0,418.0,1254.0,1.0,144.0,2.0,62.0,16.0,9.0,0.5625,3.2995002060000003,2.0,0.125,16.0,1.0,0.0,0.0,1.0,3.0,0.1875,25.0,1.5625,8.0,0.0,0.0,26.0,1.625,11.0,0.6875,37.0,2.3125,49.0,3.0625,0.0,0.0,53.0,3.3125,139.0,8.6875,3.0,3.0,2.0,3.0,4.6,10.0,40.0
Y1050277,3.0,717.3333332999998,2152.0,3.0,125.0,3.0,349.0,24.0,24.0,1.0,12.23027267,16.0,0.666666667,24.0,1.0,4.0,0.166666667,24.0,55.0,2.291666667,178.0,7.416666667,41.0,0.0,0.0,202.0,8.416666667000001,96.0,4.0,298.0,12.41666667,239.0,9.958333332999999,4.0,0.166666667,322.0,13.41666667,863.0,35.95833333,0.0,0.0,0.0,0.0,0.0,6.0,10.0
Y1050278,4.0,144.0,576.0,3.0,67.0,3.0,26.0,10.0,8.0,0.8,12.61060403,2.0,0.2,8.0,0.8,3.0,0.3,5.0,4.0,0.4,2.0,0.2,2.0,0.0,0.0,7.0,0.7,6.0,0.6,13.0,1.3,11.0,1.1,3.0,0.3,23.0,2.3,50.0,5.0,3.0,3.0,1.0,3.0,7.968,10.0,54.0
Y1050279,4.0,520.25,2081.0,4.0,183.0,3.0,122.0,14.0,9.0,0.642857143,11.56938129,8.0,0.571428571,13.0,0.928571429,1.0,0.071428571,5.0,15.0,1.071428571,51.0,3.642857143,23.0,0.0,0.0,56.0,4.0,38.0,2.714285714,94.0,6.714285714,86.0,6.142857143,1.0,0.071428571,108.0,7.714285714,289.0,20.64285714,3.0,3.0,2.0,3.0,9.55,10.0,70.0
Y1050280,3.0,65.66666667,197.0,0.0,0.0,2.0,30.0,6.0,5.0,0.833333333,7.2387557660000015,1.0,0.166666667,4.0,0.666666667,2.0,0.333333333,0.0,1.0,0.166666667,14.0,2.333333333,6.0,0.0,0.0,14.0,2.333333333,7.0,1.166666667,21.0,3.5,24.0,4.0,2.0,0.333333333,27.0,4.5,74.0,12.33333333,1.0,1.0,1.0,1.0,1.4,6.0,10.0
Y1050281,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0
Y1050282,2.0,251.0,502.0,2.0,27.0,2.0,73.0,4.0,1.0,0.25,7.425270077,2.0,0.5,3.0,0.75,1.0,0.25,19.0,1.0,0.25,8.0,2.0,1.0,0.0,0.0,27.0,6.75,2.0,0.5,29.0,7.25,11.0,2.75,1.0,0.25,33.0,8.25,74.0,18.5,0.0,0.0,0.0,0.0,0.0,6.0,10.0
Y1050283,2.0,360.5,721.0,2.0,77.0,2.0,69.0,10.0,2.0,0.2,7.197425569,4.0,0.4,10.0,1.0,1.0,0.1,15.0,22.0,2.2,9.0,0.9,2.0,0.0,0.0,24.0,2.4,24.0,2.4,48.0,4.8,20.0,2.0,1.0,0.1,58.0,5.8,127.0,12.7,1.0,1.0,1.0,1.0,1.2,6.0,20.0
