feature,pearson,p-value,distance_correlation
active_num_days,0.3312694479616283,0.010380276737122988,0.6687305520383716
active_avg_count,0.3061464372152158,0.018365271612434727,0.6938535627847842
active_sum_count,0.3421770399140812,0.007985746474101978,0.6578229600859187
problem_num_days,0.18017899791157652,0.17207236469349757,0.8198210020884236
problem_avg_count,0.2748785742852815,0.03511929475750073,0.7251214257147185
problem_sum_count,0.29351157846144077,0.024057288459479544,0.7064884215385592
video_num_days,0.25360772212029864,0.05260695397102762,0.7463922778797014
video_avg_count,0.12514120541352097,0.3449751613336366,0.874858794586479
video_sum_count,0.15337466043303763,0.246144923879641,0.8466253395669623
forum_num_days,,1.0,
forum_avg_count,,1.0,
forum_sum_count,,1.0,
num_watched,0.22591641824019665,0.0853435941700681,0.7740835817598034
num_complete,0.21274071139692602,0.10572572691782052,0.787259288603074
num_incomplete,0.1305683763112577,0.32428816659264026,0.8694316236887423
complete_rate,0.19563520562432563,0.13755939094047281,0.8043647943756743
incomplete_rate,0.11636192014394417,0.380130517038879,0.8836380798560558
watched_time_hour,0.18710588891651225,0.15589792779473166,0.8128941110834877
watched_time_weekday,0.16942682679142745,0.1995464199952562,0.8305731732085725
seek_video_sum,0.2047645512672997,0.11977737777683618,0.7952354487327002
seek_video_avg,0.16814580876061938,0.20301653224694893,0.8318541912393806
pause_video_sum,0.24645836398928367,0.05987431839772016,0.7535416360107163
pause_video_avg,0.22264989775240931,0.09008239566817344,0.7773501022475906
stop_video_sum,0.18685407736076376,0.15646550627696698,0.8131459226392362
stop_video_avg,0.17922774876902503,0.17438560536251824,0.820772251230975
video_forward_seek_sum,0.16816310275212057,0.20296940201762978,0.8318368972478795
video_forward_seek_avg,0.11598308443847367,0.3816941738196066,0.8840169155615263
video_backward_seek_sum,0.21572764697368135,0.10080429230052908,0.7842723530263187
video_backward_seek_avg,0.06013177822635111,0.6509748951391021,0.9398682217736489
video_pause_forward_seek_sum,0.08138250156319864,0.5400392377592236,0.9186174984368014
video_pause_forward_seek_avg,-0.0037014125497768446,0.9778034365674441,1.0037014125497767
video_pause_backward_seek_sum,0.27266315857330914,0.03667878379906426,0.727336841426691
video_pause_backward_seek_avg,0.21908995569706474,0.09547900527642493,0.7809100443029352
video_stop_backward_seek_sum,0.14322190199854523,0.27918100297988885,0.8567780980014548
video_stop_backward_seek_avg,0.1053054507430775,0.4273290424390739,0.8946945492569225
all_type_video_forward_seek_sum,0.16839279807899474,0.202344163329043,0.8316072019210052
all_type_video_forward_seek_avg,0.11389020886366422,0.3904016043598557,0.8861097911363358
all_type_video_backward_seek_sum,0.23550871995918005,0.07255472861691463,0.7644912800408199
all_type_video_backward_seek_avg,0.08808729896240353,0.5070577805700758,0.9119127010375965
all_type_video_seek_sum,0.19650722903272563,0.13577986720318316,0.8034927709672743
all_type_video_seek_avg,0.11590460803561736,0.3820185673513714,0.8840953919643827
video_pause_sum,0.2668503193433197,0.0410454297562011,0.7331496806566803
video_pause_avg,0.176202848246245,0.18189163411342205,0.823797151753755
video_stop_sum,0.16391233681917095,0.2147881638337738,0.836087663180829
video_stop_avg,0.1520045558697926,0.25044016008449366,0.8479954441302073
video_play_sum,0.24075222497753887,0.06623860210777954,0.7592477750224611
video_play_avg,0.1519728670307729,0.2505401025778992,0.8480271329692272
video_events_sum,0.24189054809434934,0.06492746336131595,0.7581094519056506
video_events_avg,0.15253886522032334,0.24875909715337818,0.8474611347796767
mt_practice_sum,0.3458235329438484,0.0073006168679667265,0.6541764670561516
mt_unit_sum,0.474846875067919,0.0001447216824590444,0.525153124932081
mt_online_num_day,0.38063793190380774,0.0029393744470880305,0.6193620680961922
mt_online_practice_num_day,0.451603352895446,0.0003304081480895438,0.548396647104554
hw_mean,0.34269453493611296,0.007885226522352712,0.657305465063887
qz_mean,0.5928342034015872,7.530469146616264e-07,0.4071657965984127
